"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"sembly Constituency :054---Kishanganj                                                                                                                                       No of Voters :211836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"No of valid votes caste in favour oTf otal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"BOOTH NO"	"ABUL KALAM AZAD"	"TASIR UDDIN"	"DILIP KUMAR RAM"	"DR MOHAMMAD
JAWAID"	"MOHAMMAD KALIM UDDIN"	"SWEETY SINGH"	"MAHABIR CHAUHAN"	"MOHAMMAD NISSAR ALAM"	"SANJAY KUMAR
SRIVASTWA"	"SAYED ASAD HASNAIN"	"CHOTE LAL MAHTO"	"MOHAMMAD NOORUL
HAQUE"	"RAJU RANJAN"	"Total"
"5"	"1"	"31"	"195"	"19"	"384"	"21"	"10"	"8"	"8"	"15"	"3"	"11"	"8"	"12"	"725"
"6"	"2"	"26"	"38"	"7"	"250"	"7"	"17"	"5"	"11"	"3"	"2"	"1"	"8"	"10"	"385"
"7"	"3"	"41"	"34"	"4"	"93"	"5"	"331"	"3"	"10"	"2"	"6"	"4"	"2"	"6"	"541"
"8"	"4"	"59"	"36"	"3"	"79"	"4"	"271"	"15"	"25"	"7"	"2"	"2"	"4"	"14"	"521"
"9"	"5"	"28"	"15"	"8"	"111"	"6"	"185"	"13"	"7"	"8"	"8"	"1"	"6"	"10"	"406"
"10"	"6"	"28"	"185"	"9"	"300"	"43"	"47"	"7"	"12"	"9"	"11"	"10"	"28"	"22"	"711"
"11"	"7"	"7"	"1"	"0"	"8"	"4"	"353"	"10"	"7"	"4"	"1"	"2"	"1"	"2"	"400"
"12"	"8"	"15"	"0"	"0"	"19"	"4"	"288"	"7"	"5"	"4"	"1"	"1"	"3"	"4"	"351"
"13"	"9"	"17"	"2"	"3"	"20"	"6"	"508"	"12"	"7"	"5"	"5"	"3"	"6"	"15"	"609"
"14"	"10"	"4"	"10"	"3"	"102"	"16"	"625"	"14"	"14"	"7"	"10"	"10"	"7"	"20"	"842"
"15"	"11"	"17"	"80"	"7"	"243"	"17"	"367"	"12"	"21"	"19"	"6"	"13"	"15"	"17"	"834"
"16"	"12"	"1"	"6"	"0"	"38"	"1"	"113"	"1"	"2"	"2"	"1"	"0"	"1"	"0"	"166"
"17"	"13"	"12"	"65"	"10"	"295"	"14"	"433"	"5"	"43"	"6"	"3"	"4"	"5"	"2"	"897"
"18"	"14"	"15"	"70"	"6"	"430"	"12"	"59"	"3"	"6"	"8"	"3"	"3"	"3"	"3"	"621"
"19"	"15"	"6"	"48"	"5"	"290"	"1"	"246"	"3"	"16"	"7"	"3"	"2"	"6"	"7"	"640"
"20"	"16"	"8"	"27"	"4"	"405"	"14"	"12"	"0"	"12"	"7"	"3"	"3"	"3"	"7"	"505"
"21"	"17"	"21"	"106"	"13"	"383"	"15"	"243"	"10"	"5"	"11"	"1"	"8"	"8"	"15"	"839"
"22"	"18"	"8"	"22"	"2"	"132"	"6"	"243"	"4"	"17"	"3"	"3"	"1"	"6"	"9"	"456"
"23"	"19"	"14"	"145"	"6"	"350"	"4"	"129"	"6"	"1"	"6"	"0"	"8"	"7"	"5"	"681"
"24"	"20"	"14"	"2"	"1"	"16"	"2"	"483"	"10"	"9"	"4"	"3"	"2"	"5"	"9"	"560"
"25"	"21"	"74"	"27"	"4"	"156"	"8"	"224"	"3"	"5"	"3"	"1"	"2"	"0"	"3"	"510"
"26"	"22"	"29"	"0"	"0"	"22"	"4"	"299"	"5"	"24"	"5"	"4"	"4"	"4"	"13"	"413"
"27"	"23"	"25"	"4"	"1"	"21"	"8"	"639"	"12"	"60"	"8"	"2"	"3"	"4"	"7"	"794"
"28"	"24"	"25"	"35"	"8"	"259"	"29"	"397"	"9"	"7"	"11"	"6"	"3"	"7"	"10"	"806"
