"No..and.Name.of.Assembly.Constituency...114.Manjhi."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"1"	"Total No. of Electors in Assembly Consitituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly…………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"( in the case of election from a parliamentary constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FORM  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"FINAL  RESULT  SHEET [ SEE  RULE  56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"ELECTION  TO  THE  114 -MANJHI  LEGISLATIVE ASSEMBLY  CONSTITUENCY  2010 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Round No. - 01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Sl. No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"10"	""	""	"Krishna Mishra"	"Gautam Singh"	"Budhan Prasad Yadav"	"Satyendra Yadav"	"Surendra Prasad Gupta"	"Hem Narayan Singh"	"Sujit Puri"	"Abdul Kadir Khan"	"Ashok Kumar Singh"	"Om Prakash Prasad"	"Ghanshyam Singh,
Alias- Pappu"	"Jitendra Kumar Singh"	"Dalan Prasad Yadav"	"Din Dayal Singh"	"Manoj Kumar Tiwary"	"Mukesh Kumar"	"Mustafa Khan"	"Rabindra Nath Mishra"	"Rana Pratap Singh"	"Ram narayan Yadav"	"Rinku Devi"	"Subash Singh"	"Hasmuddin Khan"	""
"11"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"12"	"1"	"i apk; r Hkou buk; ri wj i wohZ Hkkx"	"5"	"67"	"16"	"4"	"3"	"2"	"2"	"1"	"2"	"85"	"6"	"81"	"6"	"3"	"3"	"6"	"6"	"12"	"11"	"6"	"7"	"11"	"20"	"365"
"13"	"2"	"l keqnkf; d Hkou ukjk; .ki qj"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"138"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"2"	"0"	"0"	"152"
"14"	"3"	"i apk; r Hkou buk; ri qj i f' peh Hkkx"	"18"	"92"	"7"	"13"	"5"	"9"	"1"	"9"	"4"	"119"	"8"	"197"	"3"	"7"	"4"	"5"	"2"	"2"	"4"	"2"	"0"	"6"	"3"	"520"
"15"	"4"	"i zkFkfed fo| ky;  cyks[kjk"	"8"	"44"	"6"	"8"	"2"	"18"	"2"	"4"	"9"	"150"	"2"	"76"	"1"	"5"	"3"	"2"	"26"	"33"	"14"	"8"	"6"	"9"	"7"	"443"
"16"	"5"	"jkt dh;  e/;  fo| ky;  cjoka cqt qxZ mRrjh Hkkx"	"8"	"20"	"11"	"4"	"0"	"4"	"0"	"1"	"2"	"11"	"4"	"432"	"2"	"1"	"1"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"506"
"17"	"6"	"jkt dh;  i zkFkfed fo| ky;  cjokWa cqt qxZ"	"0"	"17"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"1"	"0"	"601"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"632"
"18"	"7"	"i zkFkfed dU; k fo| ky;  fi yqbZ"	"3"	"84"	"15"	"13"	"8"	"173"	"6"	"3"	"9"	"248"	"7"	"86"	"17"	"5"	"10"	"8"	"3"	"2"	"1"	"4"	"1"	"9"	"2"	"717"
"19"	"8"	"mRØfer e/;  fo| ky; ] [kM+jfg; k"	"21"	"268"	"29"	"13"	"4"	"25"	"5"	"6"	"19"	"18"	"7"	"50"	"0"	"16"	"13"	"2"	"3"	"6"	"2"	"1"	"3"	"1"	"4"	"516"
"20"	"9"	"mRØfer e/;  fo| ky; ] pejfg; k¡"	"13"	"195"	"41"	"17"	"7"	"132"	"4"	"3"	"2"	"3"	"1"	"15"	"1"	"6"	"5"	"6"	"9"	"11"	"4"	"2"	"2"	"6"	"2"	"487"
