"B00TH.N0."	"AMARDEEP.CHAUDHARY"	"DILIP.KR..YADAV"	"PRABHASH.KUMAR"	"RANJEET.RANJAN"	"RENU.KUMARI"	"ASH0K.KUMAR.VERMA"	"NAVEEN.KUMAR.MEHTA"	"BRAJ.KISH0R.YADAV"	"ARVIND.KUMAR.PAMPAL"	"KAMLESH.MEHTA"	"KAMLESHWARI.MAHT0"	"YASHWANT.KUMAR"	"RAJEEV.RANJAN"	"SHIV.PRASAD.RISIDE0"
"1"	1	22	7	133	52	416	5	9	3	4	11	6	5	11	18
"2"	2	8	2	43	45	413	8	6	1	3	6	6	1	3	15
"3"	NA	7	1	66	35	296	3	5	2	0	2	0	3	0	7
"4"	3	7	9	202	180	426	3	15	3	2	6	9	16	15	24
"5"	4	8	1	103	26	391	5	2	0	1	1	0	0	1	1
"6"	5	2	1	144	29	359	5	3	2	0	5	3	1	0	4
"7"	6	5	1	81	19	298	5	9	2	6	7	6	3	4	13
"8"	NA	9	5	140	21	333	5	9	5	4	3	2	3	0	6
"9"	7	4	0	196	14	359	3	4	2	1	0	0	1	0	1
"10"	8	13	7	421	21	91	2	2	1	4	3	4	11	6	12
"11"	9	6	3	405	30	159	8	3	2	1	4	3	5	8	21
"12"	NA	6	8	419	14	66	2	2	0	0	1	2	0	0	6
"13"	10	12	4	315	43	129	3	6	1	1	2	3	8	2	8
"14"	11	5	1	69	222	407	7	11	5	17	14	7	10	5	13
"15"	12	10	5	84	260	303	5	5	0	25	4	6	2	3	9
"16"	13	4	4	62	161	421	9	14	6	15	12	8	6	13	26
"17"	14	2	1	7	104	448	1	8	1	1	2	0	2	2	3
"18"	15	2	12	54	48	563	2	12	4	5	4	1	0	0	7
"19"	16	7	7	178	62	472	9	7	3	6	5	5	1	2	4
"20"	17	12	12	365	173	319	3	5	5	10	3	1	10	4	4
"21"	18	8	5	135	98	495	5	8	2	3	4	3	2	1	4
"22"	19	10	6	158	134	488	14	15	12	17	10	5	5	10	11
"23"	20	9	5	17	76	683	10	11	1	11	11	0	2	1	9
"24"	21	5	4	93	130	221	2	5	5	7	3	4	4	2	10
"25"	NA	9	10	68	134	299	8	6	6	6	2	0	2	2	5
"26"	22	2	3	17	67	454	5	8	2	2	3	4	5	5	10
"27"	23	1	0	10	38	304	0	4	3	6	2	3	3	2	20
"28"	24	5	5	243	124	99	6	8	2	12	12	11	17	5	22
"29"	25	8	8	266	266	103	7	11	10	6	7	2	4	3	2
"30"	26	17	11	408	127	280	3	6	11	4	5	7	6	2	6
"31"	27	10	5	128	93	353	6	1	8	3	8	0	4	6	10
"32"	28	7	3	86	105	492	2	2	6	2	4	3	8	7	7
"33"	29	10	5	103	290	146	6	6	11	38	6	4	6	3	15
"34"	30	20	5	122	203	198	5	8	7	15	5	7	6	10	21
"35"	31	6	2	125	142	210	3	7	5	77	5	8	10	11	13
"36"	32	5	3	118	44	405	4	7	8	5	12	1	11	3	14
"37"	33	9	7	176	74	304	8	8	3	3	5	5	5	5	10
"38"	34	17	7	244	182	163	6	9	11	2	3	0	2	3	4
"39"	35	12	7	232	147	59	6	3	30	1	4	6	3	1	4
"40"	36	20	16	361	244	207	5	6	8	4	3	4	6	2	5
"41"	37	22	8	405	294	165	5	3	15	6	7	7	4	4	10
"42"	38	16	16	294	274	91	3	4	7	4	8	6	7	10	5
"43"	39	22	10	36	46	609	4	6	8	1	2	4	0	1	5
"44"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"45"	40	3	1	30	44	537	3	7	3	4	18	8	8	4	22
"46"	41	6	7	270	337	38	9	0	0	4	3	1	1	7	2
"47"	42	13	8	258	239	104	4	4	2	3	5	7	11	10	15
"48"	43	12	6	229	97	181	4	4	12	2	1	2	6	3	1
"49"	44	14	8	225	154	118	4	12	23	4	11	7	16	8	31
"50"	45	19	7	269	46	198	10	9	10	6	5	6	9	6	22
"51"	46	12	6	322	117	296	13	10	26	8	11	6	17	12	32
"52"	47	18	50	284	84	341	5	8	3	3	2	3	8	2	3
"53"	48	8	4	112	11	404	3	8	2	2	3	3	2	2	4
"54"	49	9	6	266	115	197	7	5	3	1	9	8	3	6	10
"55"	50	15	11	305	59	443	9	5	7	2	1	0	5	4	8
"56"	51	3	2	84	166	234	4	6	6	1	1	5	4	1	4
"57"	52	13	5	288	87	188	4	7	14	4	6	8	8	8	12
"58"	53	11	11	258	46	196	1	3	4	2	5	4	6	6	7
"59"	54	2	3	398	67	398	0	4	8	1	5	2	7	3	13
