"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 130---Patepur (SC) CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :130---Patepur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of Voters :222801"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"No of valid votes caste in favour of                                               Total Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Candidates Name"	"No Of Valid Votes Caste in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	"PREMA CHAUDHARY"	"BABITA DEVI"	"BALESHWAR SINGH PASWAN"	"MAHENDRA BAITHA"	"SHRI RAM"	"UPENDRA KUMAR"	"TAPESHWAR PASWAN"	"MAHESH RAM"	"RINA KUMARI"	"SURESH MALICK"	"RAMESH PASWAN"	"RITA DEVI"	"SANJAY PASWAN"	"Total Valid Votes"
"9"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"11"	"1"	""	"217"	"8"	"5"	"213"	"8"	"1"	"0"	"15"	"1"	"5"	"5"	"12"	"16"	"506"
"12"	"2"	""	"132"	"14"	"3"	"314"	"7"	"1"	"1"	"7"	"1"	"1"	"0"	"6"	"6"	"493"
"13"	"3"	""	"46"	"23"	"7"	"191"	"2"	"0"	"2"	"1"	"3"	"7"	"0"	"5"	"6"	"293"
"14"	"3A"	""	"57"	"6"	"1"	"181"	"6"	"0"	"0"	"4"	"1"	"23"	"9"	"11"	"14"	"313"
"15"	"4"	""	"317"	"6"	"1"	"94"	"31"	"3"	"2"	"7"	"3"	"0"	"1"	"2"	"12"	"479"
"16"	"5"	""	"261"	"9"	"5"	"140"	"10"	"4"	"0"	"9"	"2"	"6"	"1"	"6"	"23"	"476"
"17"	"6"	""	"135"	"4"	"5"	"267"	"4"	"1"	"4"	"10"	"2"	"5"	"4"	"7"	"12"	"460"
"18"	"7"	""	"161"	"8"	"1"	"186"	"7"	"4"	"2"	"5"	"3"	"6"	"3"	"5"	"14"	"405"
"19"	"8"	""	"259"	"12"	"7"	"239"	"9"	"6"	"6"	"22"	"4"	"6"	"1"	"13"	"11"	"595"
"20"	"9"	""	"477"	"5"	"1"	"48"	"7"	"1"	"1"	"4"	"1"	"4"	"3"	"5"	"16"	"573"
"21"	"10"	""	"279"	"26"	"9"	"173"	"33"	"3"	"3"	"6"	"7"	"11"	"4"	"13"	"28"	"595"
"22"	"11"	""	"232"	"7"	"3"	"162"	"10"	"2"	"1"	"10"	"5"	"8"	"10"	"12"	"63"	"525"
"23"	"12"	""	"286"	"9"	"6"	"151"	"12"	"3"	"7"	"9"	"5"	"11"	"12"	"15"	"66"	"592"
"24"	"13"	""	"388"	"18"	"8"	"219"	"9"	"2"	"4"	"9"	"4"	"7"	"5"	"19"	"13"	"705"
"25"	"14"	""	"126"	"8"	"3"	"252"	"18"	"0"	"2"	"11"	"1"	"4"	"6"	"10"	"11"	"452"
"26"	"15"	""	"35"	"7"	"5"	"125"	"10"	"1"	"0"	"5"	"0"	"3"	"0"	"2"	"4"	"197"
"27"	"16"	""	"115"	"14"	"9"	"191"	"22"	"3"	"4"	"11"	"8"	"21"	"12"	"15"	"44"	"469"
"28"	"17"	""	"39"	"15"	"5"	"334"	"22"	"2"	"1"	"9"	"5"	"8"	"3"	"4"	"13"	"460"
"29"	"18"	""	"31"	"11"	"16"	"286"	"57"	"5"	"4"	"17"	"3"	"3"	"4"	"4"	"3"	"444"
"30"	"19"	""	"18"	"13"	"3"	"231"	"5"	"2"	"0"	"5"	"1"	"4"	"0"	"1"	"2"	"285"
"31"	"20"	""	"98"	"10"	"5"	"281"	"4"	"3"	"3"	"2"	"6"	"14"	"3"	"7"	"22"	"458"
"32"	"21"	""	"170"	"18"	"6"	"253"	"8"	"7"	"4"	"13"	"5"	"8"	"1"	"11"	"8"	"512"
