"Assembly.Constituency...113.EKMA"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULTS SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 113-EKMA CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"NO. OF VOTERS:- 213752"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	""	""	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CANDIDAT ES NAME"	""	"ARUN KR. SINGH"	""	"KAMESHWAR KR. SINGH"	""	"MANORANJAN SINGH"	""	"YOGENDRA SHARMA"	""	"SHEO KUMAR SINGH"	""	"PANKAJ KUMAR"	""	"RAJ KUMAR PATHAK"	""	"BINOD KUMAR BHARTI"	""	"AWDHESH SINGH"	""	"JAKIR HUSSAIN"	""	"PANKAJ RAJ"	""	"MANORANJAN KUMAR SINGH"	""	"RAJIV RANJAN MISHRA"	""	"RAMJI RAI"	""	"BINOD SINGH"	""	"BRINDA PATHAK"	""	"SANJAY KUMAR SINGH"	""	"SANJEEV KUMAR"	""	"TOTAL VALID VOTES"	""	""
"7"	"BOOTH
_NO"	"O OT
H_"	"CANDI1"	""	"CANDI2"	""	"CANDI3"	""	"CANDI4"	""	"CANDI5"	""	"CANDI6"	""	"CANDI7"	""	"CANDI8"	""	"CANDI9"	""	"CANDI10"	""	"CANDI11"	""	"CANDI12"	""	"CANDI13"	""	"CANDI14"	""	"CANDI15"	""	"CANDI16"	""	"CANDI17"	""	"CANDI18"	""	"TOTAL"	""	""
"8"	"1"	""	"10"	""	"206"	""	"216"	""	"6"	""	"12"	""	"1"	""	"5"	""	"9"	""	"1"	""	"12"	""	"1"	""	"1"	""	"5"	""	"1"	""	"4"	""	"5"	""	"29"	""	"3"	""	"527
457
429
332
500
386
457
199
348
246
598
204
496
619"	""	""
"9"	"2"	""	"3"	""	"82"	""	"255"	""	"46"	""	"5"	""	"0"	""	"4"	""	"7"	""	"0"	""	"1"	""	"0"	""	"0"	""	"3"	""	"2"	""	"0"	""	"2"	""	"45"	""	"2"	""	""	""	""
"10"	"3"	""	"5"	""	"121"	""	"242"	""	"3"	""	"7"	""	"5"	""	"3"	""	"3"	""	"0"	""	"3"	""	"0"	""	"2"	""	"6"	""	"10"	""	"7"	""	"6"	""	"2"	""	"4"	""	""	""	""
"11"	"4"	""	"4"	""	"17"	""	"248"	""	"12"	""	"2"	""	"1"	""	"4"	""	"33"	""	"2"	""	"3"	""	"1"	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"2"	""	"1"	""	""	""	""
"12"	"5"	""	"2"	""	"46"	""	"387"	""	"2"	""	"9"	""	"2"	""	"7"	""	"2"	""	"0"	""	"1"	""	"4"	""	"3"	""	"7"	""	"11"	""	"6"	""	"1"	""	"5"	""	"5"	""	""	""	""
"13"	"6"	""	"0"	""	"140"	""	"196"	""	"3"	""	"11"	""	"2"	""	"7"	""	"2"	""	"0"	""	"1"	""	"1"	""	"0"	""	"3"	""	"2"	""	"5"	""	"3"	""	"9"	""	"1"	""	""	""	""
"14"	"7"	""	"5"	""	"158"	""	"202"	""	"5"	""	"16"	""	"2"	""	"6"	""	"3"	""	"0"	""	"11"	""	"2"	""	"4"	""	"7"	""	"9"	""	"10"	""	"4"	""	"9"	""	"4"	""	""	""	""
"15"	"8"	""	"1"	""	"92"	""	"75"	""	"2"	""	"1"	""	"1"	""	"3"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"4"	""	"2"	""	"3"	""	"2"	""	"12"	""	"0"	""	""	""	""
"16"	"9"	""	"6"	""	"33"	""	"236"	""	"3"	""	"6"	""	"4"	""	"4"	""	"2"	""	"0"	""	"6"	""	"4"	""	"0"	""	"10"	""	"18"	""	"2"	""	"5"	""	"5"	""	"4"	""	""	""	""
