"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"Assembly Constituency :045---Chhatapur"	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :212169"	""	""	""	""	""	""
"2"	"S.No."	"AKEEL AHMAD"	"NEERAJ KUMAR SINGH"	"BALRAM SINGH YADAV"	"MANOJ KUMAR JAISWAL"	"LALAN KUMAR"	"SHAH JAMAAL"	"GULAB CHAND PASWAN"	"JAI PRAKASH YADAV"	"MAHESH PRASAD MEHTA"	"AMAR NATH MISHRA"	"AMANULLA H KHAN"	"JITENDRA KUMAR SINGH"	"PHEK NARAYAN MANDAL"	"RAMENDRA PRASAD GUPTA"	"RAMESH KUMAR MUKHIYA"	"REETA DEVI"	"VINODA NAND"	"VIPIIN KUMAR YADAV"	"Total Valid Votes"
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"4"	"1"	"94"	"373"	"7"	"1"	"0"	"21"	"37"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"6"	"3"	"3"	"1"	"552"
"5"	"2"	"64"	"317"	"8"	"0"	"0"	"12"	"39"	"4"	"0"	"0"	"0"	"0"	"0"	"3"	"4"	"4"	"1"	"3"	"459"
"6"	"3"	"20"	"159"	"4"	"2"	"0"	"16"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"219"
"7"	"4"	"40"	"272"	"3"	"1"	"1"	"21"	"16"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"2"	"1"	"3"	"364"
"8"	"5"	"72"	"389"	"7"	"3"	"0"	"2"	"33"	"4"	"6"	"1"	"0"	"1"	"0"	"2"	"8"	"4"	"3"	"4"	"539"
"9"	"6"	"130"	"337"	"46"	"3"	"2"	"4"	"40"	"5"	"23"	"2"	"1"	"1"	"1"	"6"	"6"	"21"	"5"	"3"	"636"
"10"	"6A"	"314"	"77"	"7"	"2"	"7"	"1"	"15"	"2"	"3"	"1"	"3"	"5"	"0"	"2"	"5"	"12"	"7"	"4"	"467"
"11"	"7"	"336"	"328"	"7"	"2"	"1"	"14"	"33"	"3"	"5"	"3"	"2"	"4"	"2"	"6"	"11"	"25"	"32"	"16"	"830"
"12"	"8"	"191"	"441"	"7"	"0"	"3"	"1"	"26"	"5"	"4"	"4"	"1"	"2"	"4"	"3"	"15"	"9"	"6"	"12"	"734"
