"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"DR. USHA VIDYARTHI"	"JAI VARDHAN YADAV"	"DHANANJAY KUMAR"	"DHARMENDR A DHARI SINGH"	"ASHA DEVI"	"KAUSHAL KISHORE RAY"	"CHANDRA KANT MANI"	"N. K. NANDA"	"BABY PRAVEEN"	"RANA RAJESH PRATAP SINGH"	"SANT KUMAR SINGH"	"DINANATH SINGH YADAV"	"MAHADEV PRASAD"	"SACHCHIDAN AND SINGH"	""	""	""	""
"2"	"1"	"51"	"396"	"20"	"3"	"5"	"3"	"17"	"115"	"13"	"8"	"7"	"15"	"20"	"28"	"701"	"0"	"701"	"0"
"3"	"2"	"238"	"1"	"1"	"10"	"0"	"0"	"10"	"29"	"0"	"1"	"0"	"1"	"0"	"6"	"297"	"0"	"297"	"0"
"4"	"3"	"250"	"54"	"3"	"5"	"1"	"0"	"3"	"13"	"1"	"3"	"0"	"3"	"3"	"14"	"353"	"0"	"353"	"0"
"5"	"4"	"163"	"59"	"21"	"6"	"0"	"0"	"10"	"132"	"11"	"5"	"2"	"10"	"10"	"17"	"446"	"0"	"446"	"0"
"6"	"5"	"55"	"128"	"5"	"3"	"4"	"2"	"1"	"3"	"6"	"3"	"10"	"241"	"6"	"17"	"484"	"0"	"484"	"0"
"7"	"6"	"103"	"16"	"8"	"6"	"0"	"2"	"6"	"117"	"4"	"6"	"0"	"6"	"0"	"14"	"288"	"0"	"288"	"0"
"8"	"7"	"125"	"84"	"6"	"8"	"6"	"2"	"5"	"65"	"4"	"0"	"1"	"6"	"4"	"10"	"326"	"0"	"326"	"0"
"9"	"8"	"482"	"40"	"6"	"32"	"2"	"2"	"8"	"112"	"7"	"1"	"0"	"1"	"2"	"1"	"696"	"0"	"696"	"0"
"10"	"9"	"240"	"15"	"2"	"17"	"4"	"1"	"5"	"113"	"4"	"2"	"0"	"3"	"3"	"7"	"416"	"0"	"416"	"0"
"11"	"10"	"291"	"32"	"1"	"10"	"1"	"1"	"9"	"18"	"3"	"0"	"6"	"21"	"6"	"13"	"412"	"0"	"412"	"0"
"12"	"11"	"19"	"327"	"16"	"7"	"1"	"3"	"0"	"4"	"0"	"1"	"0"	"24"	"4"	"13"	"419"	"0"	"419"	"0"
"13"	"12"	"21"	"245"	"1"	"0"	"1"	"5"	"3"	"17"	"4"	"1"	"0"	"15"	"8"	"4"	"325"	"0"	"325"	"0"
"14"	"13"	"7"	"260"	"15"	"4"	"0"	"0"	"27"	"8"	"1"	"1"	"1"	"69"	"7"	"12"	"412"	"0"	"412"	"0"
"15"	"14"	"220"	"120"	"8"	"27"	"4"	"3"	"21"	"84"	"5"	"3"	"6"	"9"	"8"	"15"	"533"	"0"	"533"	"0"
"16"	"15"	"517"	"115"	"10"	"12"	"3"	"1"	"12"	"12"	"3"	"3"	"2"	"17"	"5"	"16"	"728"	"0"	"728"	"0"
"17"	"16"	"210"	"134"	"115"	"10"	"0"	"1"	"1"	"34"	"1"	"4"	"3"	"11"	"6"	"16"	"546"	"0"	"546"	"0"
"18"	"17"	"242"	"48"	"15"	"8"	"0"	"0"	"5"	"59"	"1"	"0"	"0"	"2"	"4"	"6"	"390"	"0"	"390"	"0"
"19"	"18"	"24"	"280"	"2"	"6"	"0"	"1"	"0"	"10"	"0"	"0"	"0"	"43"	"2"	"3"	"371"	"0"	"371"	"0"
"20"	"19"	"178"	"204"	"8"	"12"	"2"	"1"	"3"	"72"	"6"	"2"	"4"	"51"	"4"	"16"	"563"	"0"	"563"	"0"
"21"	"20"	"288"	"87"	"3"	"36"	"2"	"24"	"3"	"21"	"7"	"2"	"4"	"66"	"2"	"7"	"552"	"0"	"552"	"0"
