"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy ,  mi ; ksx esa yk; k t k, ½ 163&csygj  fo/kku   l Hkk fuokZpu {ks= esa fo/kku l Hkk l nL;  ds fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"¼l l anh;   vkSj  fo/kku  l Hkk  nksuksa  fuokZpuksa  d s  fy ,  mi ; ksx  esa  y k; k  t k, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ 163&csygj  fo/kku l Hkk fuokZpu {ks= [ k.M esa fuokZpdksa dh dqy  l a[ ; k 247575"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"9"	""	"fxfj /kkj h
; kno"	"efgi y ky
i afMr"	"e`R; qat ;
d qekj i afMr"	"j kenso
; kno"	"foy {k. k
j fonkl"	"v Vy
fogkj h"	"VquVqu
nkl"	"cspq
; kno"	"Jh/kj
; kno"	"l qj sUnz
i zl kn xqIr k"	"mes' k
; kno"	"eukst
; kno"	"e`xsUnz
d qekj fl ag"	"j kt
fd ' kksj
i zl kn  mQZ i Ii q  ; kno"	""	""	""	""
"10"	"1"	"67"	"16"	"5"	"109"	"1"	"3"	"5"	"44"	"4"	"32"	"4"	"13"	"6"	"7"	"316"	"0"	"316"	"0"
"11"	"2"	"24"	"4"	"0"	"71"	"4"	"2"	"1"	"21"	"3"	"16"	"4"	"4"	"3"	"5"	"162"	"0"	"162"	"0"
"12"	"3"	"136"	"77"	"4"	"128"	"16"	"4"	"6"	"44"	"6"	"49"	"8"	"10"	"13"	"17"	"518"	"0"	"518"	"0"
"13"	"4"	"148"	"13"	"5"	"183"	"6"	"7"	"5"	"31"	"2"	"39"	"4"	"6"	"3"	"8"	"460"	"0"	"460"	"0"
"14"	"5"	"112"	"9"	"2"	"71"	"3"	"4"	"2"	"45"	"4"	"53"	"11"	"6"	"11"	"18"	"351"	"0"	"351"	"0"
"15"	"6"	"93"	"19"	"4"	"136"	"16"	"3"	"2"	"28"	"1"	"50"	"2"	"1"	"1"	"8"	"364"	"0"	"364"	"0"
"16"	"7"	"106"	"18"	"9"	"247"	"6"	"4"	"5"	"26"	"5"	"31"	"4"	"5"	"4"	"13"	"483"	"0"	"483"	"0"
"17"	"8"	"232"	"36"	"11"	"34"	"43"	"4"	"3"	"13"	"1"	"51"	"5"	"53"	"6"	"10"	"502"	"0"	"502"	"0"
"18"	"9"	"246"	"17"	"23"	"160"	"58"	"3"	"2"	"34"	"1"	"58"	"10"	"17"	"9"	"14"	"652"	"0"	"652"	"0"
