"SEGID"	"BOOTH._NO"	"BOOTH_.EXT"	"Ashok.Kumar.Singh"	"Madhwi.Singh"	"Mohamm.ad.Abdul.Qudus.Ansari"	"Mohammad.Nehaluddin"	"Kalimuddin.Khan"	"Tulsi.Yadav"	"Nafis.Ahmed.Khan"	"Mahendra.Prasad"	"Lal.Mohan.Ram"	"Satyendra.Narayan"	"Nurul.Hoda.Khan"	"Mohamad.Ashab.Ansari"	"Ravi.Ranjan.Kumar.Singh"	"Rajesh.Kumar"	"Shah.Faisal"	"TOTAL"	"SLNO"
"1"	224	1	""	336	16	9	94	9	2	1	0	3	3	1	3	7	5	13	502	1
"2"	224	2	""	409	20	2	66	3	0	2	1	3	3	6	7	10	5	30	567	2
"3"	224	3	""	64	11	0	108	3	0	0	1	0	1	1	2	2	1	1	195	3
"4"	224	4	""	195	81	32	218	18	2	3	4	5	4	10	16	12	7	24	631	4
"5"	224	5	""	266	25	22	242	20	7	9	7	9	9	9	9	8	8	9	659	5
"6"	224	6	""	54	9	8	137	13	6	2	4	2	3	6	8	7	3	12	274	6
"7"	224	7	""	236	29	19	127	23	4	0	3	6	55	10	11	15	9	17	564	7
"8"	224	8	""	152	26	7	147	9	3	1	0	2	5	5	5	4	1	10	377	8
"9"	224	9	""	311	34	1	13	2	0	0	0	0	1	0	0	0	0	0	362	9
"10"	224	10	""	283	8	51	87	16	2	1	2	3	7	3	2	6	5	18	494	10
"11"	224	11	""	208	10	12	97	22	1	2	1	8	119	3	2	8	3	18	514	11
"12"	224	12	""	176	38	38	65	6	0	0	0	3	1	4	5	5	4	10	355	12
"13"	224	13	""	222	23	17	72	11	6	2	5	1	13	1	5	9	2	17	406	13
"14"	224	14	""	47	8	0	303	14	2	0	2	0	0	5	19	2	2	4	408	14
"15"	224	15	""	364	52	4	44	6	1	4	7	6	7	6	9	9	9	21	549	15
"16"	224	16	""	153	139	14	107	5	0	1	1	0	3	0	0	0	3	2	428	16
"17"	224	17	""	84	8	5	316	11	2	0	2	1	0	0	6	3	1	4	443	17
"18"	224	18	""	159	28	5	308	10	10	1	0	0	4	4	4	6	3	9	551	18
"19"	224	19	""	163	49	4	45	1	1	1	0	1	0	1	3	4	0	4	277	19
"20"	224	20	""	128	42	7	288	20	4	3	4	4	2	4	9	8	7	14	544	20
"21"	224	21	""	252	107	12	41	9	0	1	1	3	3	3	1	8	4	7	452	21
"22"	224	22	""	84	5	48	32	6	1	0	0	3	3	2	1	4	4	4	197	22
