"BOOTH.NO"	"MD.ANWAR.ALAM.ANSARI"	"ASRAR.ALAM"	"MANOJ.KUMAR.YADAV"	"RAZIA.KHATOON"	"RAJESHWAR.PRASAD.SINGH"	"RAMAYAN.SINGH"	"ASHOK.KUMAR.RAM"	"MUKESH.PRASAD"	"ARPANA.DEVI"	"ASHOK.KUMAR"	"PRABHAKAR.YADAV"	"BRIJESH.OJHA"	"TOTAL"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	""
"2"	1	10	1	109	189	7	7	2	6	5	3	6	16	"361"
"3"	2	31	4	50	202	65	11	6	4	12	2	0	20	"407"
"4"	3	65	10	155	297	55	23	2	14	4	3	7	24	"659"
"5"	4	24	2	76	184	62	7	2	4	12	3	6	26	"408"
"6"	5	15	5	429	42	28	3	3	6	2	6	6	4	"549"
"7"	6	30	4	69	284	22	59	5	11	30	3	5	30	"552"
"8"	7	2	3	97	145	3	10	3	11	3	5	3	14	"299"
"9"	8	11	7	134	336	37	20	8	19	34	13	4	30	"653"
"10"	9	7	0	99	237	33	14	1	25	12	4	4	23	"459"
"11"	10	9	1	87	184	6	59	3	11	12	4	1	9	"386"
"12"	11	34	2	50	271	82	72	3	12	174	7	2	17	"726"
"13"	12	23	9	78	299	28	130	3	22	41	3	2	18	"656"
"14"	13	10	1	49	302	37	168	6	21	6	7	4	18	"629"
"15"	14	29	2	428	161	29	8	5	10	4	4	4	13	"697"
"16"	15	3	3	214	98	6	1	2	3	0	2	1	3	"336"
"17"	16	20	8	226	180	7	20	1	13	1	4	3	12	"495"
"18"	17	18	2	155	171	4	45	4	15	4	4	4	9	"435"
"19"	18	23	2	184	232	109	173	11	8	6	5	5	25	"783"
"20"	19	35	4	198	214	10	135	2	12	67	5	7	17	"706"
"21"	20	24	9	20	377	18	76	9	35	59	10	5	46	"688"
"22"	21	13	1	38	132	23	54	3	12	45	11	9	50	"391"
"23"	22	10	3	17	143	11	47	2	2	62	2	2	15	"316"
"24"	23	27	8	488	141	3	13	1	7	5	1	3	8	"705"
"25"	24	14	5	43	405	42	23	6	21	26	21	11	39	"656"
"26"	25	21	23	42	419	33	26	0	8	23	9	5	33	"642"
"27"	26	13	5	170	286	15	62	4	24	22	5	8	29	"643"
"28"	27	15	3	111	160	8	52	2	8	109	1	6	28	"503"
"29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL"
"30"	1	2	3	4	5	6	7	8	9	10	11	12	13	""
"31"	28	6	2	29	231	47	29	1	6	168	2	1	19	"541"
"32"	29	6	8	28	183	23	43	3	5	98	6	3	24	"430"
"33"	30	37	11	278	143	52	86	5	5	78	6	2	15	"718"
"34"	31	6	3	62	243	5	38	1	10	11	3	2	11	"395"
"35"	32	27	2	53	370	2	12	1	4	8	2	1	9	"491"
"36"	33	5	3	196	170	6	20	3	9	7	15	2	39	"475"
"37"	34	11	4	303	132	1	5	3	4	5	6	3	10	"487"
"38"	35	19	2	103	289	6	90	7	11	7	12	9	35	"590"
"39"	36	11	3	130	355	45	60	3	23	15	6	8	52	"711"
"40"	37	21	4	273	188	14	76	3	9	11	16	8	37	"660"
"41"	38	16	3	257	268	14	38	8	22	22	11	9	48	"716"
"42"	39	31	2	339	329	12	7	3	10	10	8	2	15	"768"
"43"	40	5	1	102	380	29	7	2	12	2	7	3	21	"571"
"44"	41	16	5	199	357	12	20	0	14	7	5	4	18	"657"
"45"	42	19	2	224	172	1	6	0	7	8	2	2	12	"455"
"46"	43	11	5	312	150	39	13	3	9	9	10	122	24	"707"
"47"	44	8	11	574	59	5	31	6	9	8	13	7	16	"747"
"48"	45	27	10	301	249	12	122	12	20	14	12	8	50	"837"
"49"	46	7	5	118	304	19	71	11	24	13	4	4	32	"612"
"50"	47	9	1	52	212	3	25	4	10	4	4	4	18	"346"
"51"	48	12	9	358	176	13	103	2	6	7	9	4	17	"716"
"52"	49	15	11	479	118	4	166	8	6	9	13	6	28	"863"
"53"	50	28	6	151	309	14	87	6	10	16	6	5	21	"659"
"54"	51	5	0	145	228	10	26	1	18	3	7	2	24	"469"
"55"	52	10	0	7	128	9	369	5	11	38	4	8	20	"609"
"56"	53	18	1	105	224	2	105	4	9	2	6	3	16	"495"
"57"	54	7	0	6	90	4	478	5	3	1	3	5	10	"612"
"58"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL"
"59"	1	2	3	4	5	6	7	8	9	10	11	12	13	""
"60"	55	12	1	27	250	9	429	18	17	18	3	5	35	"824"
"61"	56	17	3	153	40	21	335	7	10	5	10	8	32	"641"
"62"	57	20	5	73	188	7	19	1	2	1	4	8	8	"336"
"63"	58	13	5	136	167	10	24	4	3	6	2	0	9	"379"
"64"	59	1	1	488	5	0	2	0	0	1	2	1	1	"502"
"65"	60	6	0	102	69	13	146	5	2	10	1	1	7	"362"
"66"	61	15	11	408	119	5	5	3	1	4	4	9	3	"587"
"67"	62	18	1	20	420	12	15	5	9	65	2	3	22	"592"
"68"	63	15	3	91	291	18	37	8	7	113	8	6	35	"632"
"69"	64	12	2	71	212	22	32	1	16	74	7	7	30	"486"
"70"	65	27	12	310	68	11	37	3	10	9	1	4	9	"501"
"71"	NA	15	6	118	111	16	178	6	6	13	2	2	27	"500"
"72"	66	15	5	91	110	41	132	3	2	21	3	7	8	"438"
"73"	67	22	6	70	160	15	190	14	10	18	4	6	13	"528"
"74"	68	2	0	100	54	8	22	1	3	5	2	2	5	"204"
"75"	69	12	2	55	304	15	100	1	9	9	5	2	14	"528"
"76"	70	18	4	60	334	35	40	2	7	13	10	5	101	"629"
"77"	71	8	4	321	60	2	69	7	6	6	15	6	21	"525"
"78"	72	12	4	316	123	6	11	2	12	7	10	25	34	"562"
"79"	73	4	1	94	90	33	11	4	5	5	3	11	9	"270"
"80"	74	18	9	302	225	27	69	7	23	13	17	12	35	"757"
"81"	75	6	0	47	273	10	128	4	9	21	6	4	19	"527"
"82"	76	12	0	21	359	28	73	2	4	35	2	2	37	"575"
"83"	77	10	1	91	140	4	19	2	2	5	0	1	16	"291"
"84"	78	14	3	282	259	22	23	0	9	14	9	3	51	"689"
"85"	79	21	3	119	347	108	21	8	24	18	11	6	38	"724"
"86"	80	20	1	67	282	110	23	9	18	8	8	10	159	"715"
"87"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL"
"88"	1	2	3	4	5	6	7	8	9	10	11	12	13	""
"89"	81	3	1	263	240	10	20	3	6	12	1	8	18	"585"
"90"	82	21	7	344	250	30	11	9	19	11	11	10	29	"752"
"91"	83	14	10	351	78	6	4	2	4	4	6	4	71	"554"
"92"	84	18	15	230	237	29	9	2	16	14	4	3	19	"596"
"93"	85	9	1	142	304	42	8	6	25	9	3	1	22	"572"
"94"	86	20	2	84	263	133	29	3	8	2	6	1	23	"574"
"95"	87	8	0	55	390	39	23	0	8	3	0	1	34	"561"
"96"	88	6	2	388	108	45	4	4	8	8	4	7	9	"593"
"97"	89	6	2	251	112	5	5	0	1	0	4	2	0	"388"
"98"	90	25	3	23	454	51	9	2	20	7	8	5	28	"635"
"99"	91	28	3	200	269	38	11	3	11	2	1	3	19	"588"
"100"	92	30	1	84	139	85	31	1	5	6	3	2	7	"394"
"101"	93	21	3	55	449	43	38	4	15	15	7	3	37	"690"
"102"	94	36	7	37	337	62	64	3	6	4	1	1	11	"569"
"103"	95	16	3	89	278	57	18	2	7	4	1	0	18	"493"
"104"	96	11	4	65	277	24	3	0	7	4	1	0	8	"404"
"105"	97	17	4	40	297	5	11	0	17	4	3	2	15	"415"
"106"	98	16	1	41	335	69	14	2	9	4	1	5	13	"510"
"107"	99	57	4	110	301	79	86	9	20	13	8	9	36	"732"
"108"	100	23	7	346	270	55	27	4	19	6	9	11	30	"807"
"109"	101	18	3	177	241	58	49	4	21	17	1	37	27	"653"
"110"	102	25	12	294	355	37	26	3	12	12	2	2	15	"795"
"111"	103	23	6	92	253	17	12	8	23	16	9	6	49	"514"
"112"	104	25	13	322	289	67	23	5	11	25	1	3	28	"812"
"113"	105	27	6	195	403	27	56	11	19	14	3	0	18	"779"
"114"	106	3	2	31	199	2	3	2	9	1	3	0	8	"263"
"115"	107	2	0	73	70	83	33	2	0	3	0	0	13	"279"
"116"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL"
"117"	1	2	3	4	5	6	7	8	9	10	11	12	13	""
"118"	108	13	4	45	178	106	8	3	10	11	2	4	26	"410"
"119"	109	7	3	38	160	149	13	6	18	22	6	8	39	"469"
"120"	110	13	6	120	61	83	3	0	2	12	5	1	4	"310"
"121"	111	28	4	76	192	154	8	2	10	6	14	3	13	"510"
"122"	112	10	6	48	182	105	2	0	7	8	7	4	13	"392"
"123"	113	2	1	26	42	367	12	0	6	5	1	3	14	"479"
"124"	114	5	4	51	465	59	24	5	8	32	8	4	59	"724"
"125"	115	11	32	78	379	69	8	5	23	51	5	11	44	"716"
"126"	116	11	0	140	172	11	5	2	9	5	1	5	28	"389"
"127"	117	45	122	65	124	19	6	1	4	13	3	6	15	"423"
"128"	118	8	83	87	172	13	3	2	7	18	5	9	28	"435"
"129"	119	33	6	110	333	106	5	1	3	8	5	0	8	"618"
"130"	120	38	8	237	374	73	11	6	9	10	10	3	19	"798"
"131"	121	9	3	95	435	34	4	1	7	11	4	3	13	"619"
"132"	122	10	0	33	507	18	2	3	10	55	1	3	9	"651"
"133"	123	9	0	33	368	11	2	2	18	136	11	5	35	"630"
"134"	124	5	5	4	180	234	6	0	7	10	7	4	12	"474"
"135"	125	13	4	52	229	83	32	2	7	24	3	1	14	"464"
"136"	126	2	0	52	73	91	8	1	5	1	2	1	3	"239"
"137"	127	14	5	171	102	136	27	2	7	8	7	4	8	"491"
"138"	128	15	1	13	37	140	18	3	1	2	5	0	7	"242"
"139"	129	15	3	43	247	85	24	6	12	4	4	2	22	"467"
"140"	130	14	4	74	208	36	10	1	2	2	13	1	25	"390"
"141"	131	3	3	114	131	20	9	2	6	10	1	3	31	"333"
"142"	132	5	0	132	245	49	13	3	4	9	6	1	23	"490"
"143"	133	11	6	219	47	28	192	9	8	11	12	2	22	"567"
"144"	134	15	7	187	119	18	18	2	4	16	3	1	5	"395"
"145"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL"
"146"	1	2	3	4	5	6	7	8	9	10	11	12	13	""
"147"	135	48	4	174	317	14	6	3	8	6	6	2	9	"597"
"148"	136	23	6	385	238	8	8	2	6	10	15	30	18	"749"
"149"	137	15	0	179	199	5	1	3	6	6	12	1	10	"437"
"150"	138	11	5	114	172	2	6	1	3	18	5	1	12	"350"
"151"	139	7	5	370	64	5	2	4	4	2	3	2	6	"474"
"152"	140	14	2	72	369	47	11	8	20	9	7	1	16	"576"
"153"	141	10	3	127	292	6	5	4	12	3	5	1	18	"486"
"154"	142	14	2	136	270	10	5	2	6	3	2	1	7	"458"
"155"	143	46	5	197	526	20	11	5	98	6	3	1	9	"927"
"156"	144	19	5	275	248	29	26	5	64	3	20	9	11	"714"
"157"	145	6	3	69	298	65	11	4	6	13	6	5	37	"523"
"158"	146	5	0	21	292	24	8	4	12	7	14	3	23	"413"
"159"	147	12	5	118	279	138	13	5	10	6	6	8	12	"612"
"160"	148	27	8	148	303	28	11	2	10	15	9	6	22	"589"
"161"	149	11	4	243	318	46	9	4	24	25	14	8	32	"738"
"162"	150	24	4	121	342	36	13	6	14	12	2	5	21	"600"
"163"	151	19	1	50	383	151	13	11	14	9	4	1	25	"681"
"164"	152	10	3	62	547	31	2	0	3	10	2	1	6	"677"
"165"	153	30	4	167	193	77	49	10	20	60	4	5	19	"638"
"166"	154	20	1	13	181	96	35	3	4	12	3	1	10	"379"
"167"	155	20	6	70	163	109	25	3	18	88	5	5	21	"533"
"168"	156	9	0	19	271	129	18	6	3	20	12	3	8	"498"
"169"	157	59	8	136	325	26	22	4	8	6	9	3	24	"630"
"170"	158	15	6	258	163	56	33	7	13	14	8	10	37	"620"
"171"	159	8	1	89	50	13	13	2	5	1	5	3	10	"200"
"172"	160	12	3	95	73	32	5	2	4	2	0	0	7	"235"
"173"	161	6	1	14	13	103	29	1	0	9	1	3	5	"185"
"174"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL"
"175"	1	2	3	4	5	6	7	8	9	10	11	12	13	""
"176"	162	28	6	232	320	11	19	2	12	23	4	5	18	"680"
"177"	163	3	3	147	184	23	15	2	8	8	9	5	16	"423"
"178"	164	4	3	123	337	19	7	2	14	6	2	3	15	"535"
"179"	165	35	5	205	263	57	14	6	4	6	3	6	11	"615"
"180"	166	18	7	147	303	46	27	6	12	11	16	2	36	"631"
"181"	167	19	0	82	186	10	15	1	10	1	10	2	5	"341"
"182"	NA	57	5	62	241	32	15	3	13	13	7	7	35	"490"
"183"	168	23	6	110	537	19	16	5	15	1	6	2	26	"766"
"184"	169	14	7	305	188	28	13	93	19	4	6	5	24	"706"
"185"	170	98	22	163	198	13	4	3	7	5	5	3	20	"541"
"186"	171	17	2	112	320	10	9	4	14	6	2	8	13	"517"
"187"	172	17	3	32	218	5	3	3	5	5	1	0	10	"302"
"188"	173	13	2	161	141	11	8	5	13	4	10	10	17	"395"
"189"	174	29	5	74	233	37	25	2	6	5	1	2	12	"431"
"190"	175	11	7	207	212	14	38	3	4	10	2	0	10	"518"
"191"	176	7	2	119	224	7	41	0	6	21	2	1	16	"446"
"192"	NA	3059	956	25761	41162	6937	7400	751	1953	3102	1016	914	3858	"96869"
"193"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"194"	NA	1	0	0	1	0	0	0	0	0	0	0	0	"2"
"195"	NA	3060	956	25761	41163	6937	7400	751	1953	3102	1016	914	3858	"96871"
"196"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"197"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"198"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL"
"199"	1	2	3	4	5	6	7	8	9	10	11	12	13	""
"200"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
