"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"3"	"1"	"6"	"3"	"204"	"85"	"4"	"34"	"0"	"2"	"3"	"1"	"2"	"16"	"3"	"20"	"383"	"0"	"383"	"0"
"4"	"2"	"52"	"18"	"249"	"136"	"4"	"60"	"2"	"2"	"3"	"2"	"6"	"10"	"1"	"4"	"549"	"0"	"549"	"0"
"5"	"3"	"15"	"1"	"135"	"111"	"0"	"107"	"2"	"1"	"0"	"4"	"4"	"7"	"5"	"4"	"396"	"0"	"396"	"0"
"6"	"4"	"1"	"4"	"72"	"137"	"1"	"5"	"0"	"2"	"2"	"2"	"4"	"4"	"5"	"4"	"243"	"0"	"243"	"0"
"7"	"5"	"42"	"18"	"62"	"230"	"8"	"272"	"8"	"9"	"17"	"3"	"15"	"23"	"12"	"24"	"743"	"0"	"743"	"0"
"8"	"6"	"0"	"5"	"76"	"243"	"1"	"17"	"1"	"0"	"1"	"3"	"3"	"10"	"3"	"4"	"367"	"0"	"367"	"0"
"9"	"7"	"18"	"5"	"141"	"124"	"2"	"26"	"4"	"1"	"1"	"1"	"4"	"5"	"3"	"8"	"343"	"0"	"343"	"0"
"10"	"8"	"30"	"9"	"70"	"294"	"4"	"80"	"5"	"6"	"10"	"9"	"15"	"18"	"7"	"15"	"572"	"0"	"572"	"0"
"11"	"9"	"1"	"15"	"170"	"153"	"4"	"44"	"2"	"0"	"1"	"2"	"1"	"5"	"0"	"2"	"400"	"0"	"400"	"0"
"12"	"10"	"1"	"7"	"133"	"275"	"2"	"30"	"0"	"0"	"0"	"0"	"2"	"11"	"3"	"0"	"464"	"0"	"464"	"0"
"13"	"11"	"28"	"2"	"115"	"257"	"2"	"104"	"2"	"4"	"3"	"2"	"5"	"4"	"4"	"6"	"538"	"0"	"538"	"0"
"14"	"12"	"4"	"3"	"5"	"156"	"3"	"24"	"1"	"2"	"1"	"2"	"4"	"2"	"0"	"1"	"208"	"0"	"208"	"0"
"15"	"13"	"6"	"4"	"71"	"316"	"4"	"1"	"2"	"1"	"0"	"1"	"4"	"4"	"0"	"3"	"417"	"0"	"417"	"0"
"16"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"18"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"19"	"14"	"9"	"6"	"240"	"120"	"1"	"1"	"1"	"1"	"1"	"0"	"3"	"5"	"1"	"8"	"397"	"0"	"397"	"0"
"20"	"Total"	"213"	"100"	"1743"	"2637"	"40"	"805"	"30"	"31"	"43"	"32"	"72"	"124"	"47"	"103"	"6020"	"0"	"6020"	"0"
"21"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"23"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"24"	"B.F."	"213"	"100"	"1743"	"2637"	"40"	"805"	"30"	"31"	"43"	"32"	"72"	"124"	"47"	"103"	"6020"	"0"	"6020"	"0"
"25"	"15"	"58"	"2"	"189"	"83"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"339"	"0"	"339"	"0"
"26"	"16"	"12"	"3"	"82"	"261"	"5"	"37"	"3"	"4"	"3"	"4"	"14"	"15"	"9"	"13"	"465"	"0"	"465"	"0"
"27"	"17"	"11"	"2"	"61"	"114"	"2"	"150"	"0"	"5"	"1"	"2"	"7"	"5"	"4"	"15"	"379"	"0"	"379"	"0"
"28"	"18"	"11"	"9"	"96"	"322"	"4"	"13"	"6"	"3"	"2"	"7"	"14"	"14"	"7"	"20"	"528"	"0"	"528"	"0"
"29"	"19"	"5"	"8"	"123"	"194"	"4"	"172"	"4"	"6"	"3"	"3"	"2"	"9"	"4"	"6"	"543"	"0"	"543"	"0"
"30"	"20"	"27"	"2"	"73"	"113"	"6"	"53"	"2"	"0"	"8"	"5"	"9"	"4"	"2"	"4"	"308"	"0"	"308"	"0"
"31"	"21"	"6"	"6"	"43"	"205"	"4"	"41"	"3"	"3"	"1"	"1"	"2"	"7"	"2"	"2"	"326"	"0"	"326"	"0"
"32"	"22"	"4"	"9"	"72"	"96"	"1"	"15"	"0"	"0"	"1"	"2"	"4"	"1"	"2"	"4"	"211"	"0"	"211"	"0"
"33"	"23"	"2"	"1"	"86"	"105"	"5"	"71"	"2"	"1"	"4"	"2"	"2"	"4"	"4"	"7"	"296"	"0"	"296"	"0"
"34"	"24"	"4"	"8"	"161"	"203"	"3"	"164"	"4"	"0"	"1"	"0"	"0"	"4"	"3"	"6"	"561"	"0"	"561"	"0"
"35"	"25"	"8"	"4"	"191"	"253"	"6"	"37"	"4"	"4"	"4"	"5"	"7"	"9"	"4"	"15"	"551"	"0"	"551"	"0"
"36"	"26"	"10"	"5"	"138"	"312"	"7"	"42"	"3"	"3"	"5"	"3"	"9"	"17"	"9"	"22"	"585"	"0"	"585"	"0"
"37"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
