"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Assembly elections) Name of the Assembly Segment  - 83 - Darbhanga Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of electors in Assembly constituency / Segment … 227393"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"8"	""	""	"Qamrul Hasan"	"Rakesh Nath Jha"	"Sanjay Saraogi"	"Sultan Ahmad"	"Krishna Kumar Suman Yadav"	"Navin Khattik"	"Rabindr a Kumar Dutta"	"Lal  Babu Mahto"	"Durganand Mahavir Nayak"	"Bharat Yadav"	"Bijay Shankar
Choudhary"	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"17"	"18"	"19"	"20"
"10"	"1"	"1"	"77"	"6"	"94"	"184"	"4"	"4"	"7"	"4"	"3"	"3"	"19"	"405"	"-"	"405"	""
"11"	"2"	"2"	"39"	"8"	"297"	"48"	"4"	"2"	"3"	"5"	"10"	"4"	"17"	"437"	"-"	"437"	""
"12"	"3"	"3"	"67"	"6"	"212"	"98"	"6"	"3"	"5"	"8"	"3"	"2"	"13"	"425"	"-"	"425"	""
"13"	"4"	"4"	"93"	"8"	"282"	"165"	"6"	"1"	"13"	"4"	"2"	"3"	"16"	"615"	"-"	"615"	""
"14"	"5"	"5"	"142"	"8"	"197"	"74"	"2"	"4"	"14"	"5"	"6"	"4"	"15"	"468"	"-"	"468"	""
"15"	"6"	"5A"	"69"	"30"	"212"	"48"	"7"	"5"	"3"	"6"	"7"	"1"	"9"	"388"	"-"	"388"	""
"16"	"7"	"6"	"11"	"5"	"133"	"165"	"6"	"25"	"3"	"3"	"1"	"1"	"1"	"353"	"-"	"353"	""
"17"	"8"	"7"	"20"	"21"	"264"	"186"	"15"	"2"	"4"	"8"	"12"	"3"	"11"	"539"	"-"	"539"	""
"18"	"9"	"8"	"29"	"4"	"143"	"15"	"0"	"2"	"5"	"2"	"7"	"1"	"17"	"227"	"-"	"227"	""
"19"	"10"	"9"	"35"	"14"	"248"	"86"	"7"	"3"	"3"	"4"	"6"	"6"	"15"	"417"	"-"	"417"	""
"20"	"11"	"10"	"30"	"6"	"292"	"46"	"6"	"3"	"2"	"3"	"3"	"1"	"12"	"405"	"-"	"405"	""
"21"	"12"	"11"	"28"	"4"	"60"	"234"	"3"	"2"	"3"	"3"	"2"	"0"	"3"	"340"	"-"	"340"	""
"22"	"13"	"12"	"26"	"7"	"333"	"46"	"3"	"1"	"2"	"3"	"4"	"0"	"5"	"433"	"-"	"433"	""
"23"	"14"	"13"	"34"	"2"	"349"	"153"	"5"	"4"	"25"	"3"	"5"	"5"	"9"	"596"	"-"	"596"	""
"24"	"15"	"14"	"16"	"4"	"170"	"242"	"4"	"5"	"6"	"7"	"3"	"3"	"10"	"470"	"-"	"470"	""
"25"	"16"	"15"	"9"	"1"	"582"	"48"	"2"	"0"	"8"	"1"	"3"	"1"	"7"	"662"	"-"	"662"	""
"26"	"17"	"16"	"22"	"6"	"491"	"138"	"11"	"11"	"7"	"8"	"10"	"9"	"18"	"731"	"-"	"731"	""
"27"	"18"	"17"	"9"	"6"	"357"	"110"	"9"	"13"	"2"	"8"	"14"	"7"	"15"	"550"	"-"	"550"	""
"28"	"19"	"18"	"45"	"5"	"443"	"77"	"10"	"3"	"3"	"3"	"2"	"3"	"4"	"598"	"-"	"598"	""
"29"	"20"	"19"	"17"	"5"	"44"	"298"	"10"	"7"	"7"	"15"	"3"	"3"	"12"	"421"	"-"	"421"	""
"30"	"21"	"20"	"23"	"0"	"276"	"294"	"5"	"2"	"0"	"4"	"5"	"1"	"3"	"613"	"-"	"613"	""
"31"	"22"	"21"	"16"	"2"	"144"	"280"	"2"	"2"	"1"	"3"	"5"	"2"	"8"	"465"	"-"	"465"	""
"32"	"23"	"22"	"76"	"4"	"221"	"313"	"7"	"1"	"4"	"4"	"2"	"1"	"5"	"638"	"-"	"638"	""
"33"	"24"	"23"	"14"	"5"	"127"	"118"	"14"	"2"	"78"	"6"	"2"	"9"	"11"	"386"	"-"	"386"	""
"34"	"25"	"24"	"11"	"2"	"195"	"67"	"1"	"0"	"8"	"2"	"6"	"4"	"9"	"305"	"-"	"305"	""
"35"	"26"	"25"	"19"	"2"	"422"	"202"	"10"	"3"	"51"	"10"	"5"	"8"	"17"	"749"	"-"	"749"	""
"36"	"27"	"26"	"14"	"3"	"299"	"85"	"7"	"1"	"3"	"2"	"4"	"0"	"4"	"422"	"-"	"422"	""
"37"	"28"	"27"	"58"	"3"	"64"	"426"	"23"	"7"	"6"	"14"	"3"	"1"	"10"	"615"	"-"	"615"	""
"38"	"29"	"28"	"28"	"3"	"110"	"487"	"29"	"13"	"11"	"24"	"12"	"5"	"26"	"748"	"-"	"748"	""
"39"	"30"	"29"	"11"	"2"	"376"	"182"	"3"	"2"	"2"	"4"	"7"	"7"	"9"	"605"	"-"	"605"	""
"40"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"41"	""	""	"Qamrul Hasan"	"Rakesh Nath Jha"	"Sanjay Saraogi"	"Sultan Ahmad"	"Krishna Kumar Suman Yadav"	"Navin Khattik"	"Rabindr a Kumar Dutta"	"Lal  Babu Mahto"	"Durganand Mahavir Nayak"	"Bharat Yadav"	"Bijay Shankar
Choudhary"	""	""	""	""
"42"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"17"	"18"	"19"	"20"
"43"	"31"	"30"	"28"	"9"	"162"	"238"	"7"	"5"	"5"	"7"	"7"	"3"	"9"	"480"	"-"	"480"	""
"44"	"32"	"30A"	"12"	"6"	"147"	"184"	"3"	"2"	"5"	"4"	"13"	"6"	"23"	"405"	"-"	"405"	""
"45"	"33"	"31"	"12"	"6"	"287"	"94"	"4"	"3"	"2"	"1"	"3"	"1"	"25"	"438"	"-"	"438"	""
"46"	"34"	"32"	"8"	"2"	"72"	"401"	"9"	"4"	"4"	"4"	"4"	"5"	"10"	"523"	"-"	"523"	""
"47"	"35"	"33"	"16"	"4"	"146"	"154"	"5"	"6"	"5"	"12"	"12"	"7"	"12"	"379"	"-"	"379"	""
"48"	"36"	"34"	"9"	"1"	"195"	"20"	"0"	"1"	"0"	"2"	"3"	"1"	"24"	"256"	"-"	"256"	""
"49"	"37"	"35"	"28"	"4"	"96"	"312"	"13"	"4"	"7"	"10"	"10"	"8"	"15"	"507"	"-"	"507"	""
"50"	"38"	"36"	"20"	"5"	"184"	"178"	"14"	"12"	"3"	"6"	"6"	"2"	"5"	"435"	"-"	"435"	""
"51"	"39"	"37"	"26"	"6"	"211"	"262"	"12"	"3"	"9"	"9"	"2"	"3"	"16"	"559"	"-"	"559"	""
"52"	"40"	"38"	"14"	"2"	"117"	"226"	"16"	"2"	"10"	"5"	"1"	"4"	"13"	"410"	"-"	"410"	""
"53"	"41"	"39"	"22"	"3"	"113"	"256"	"11"	"4"	"4"	"13"	"10"	"9"	"20"	"465"	"-"	"465"	""
"54"	"42"	"40"	"39"	"9"	"266"	"209"	"7"	"2"	"4"	"3"	"8"	"4"	"20"	"571"	""	"571"	""
"55"	"43"	"41"	"6"	"3"	"76"	"118"	"3"	"1"	"2"	"3"	"3"	"1"	"9"	"225"	"-"	"225"	""
"56"	"44"	"42"	"35"	"5"	"177"	"156"	"7"	"3"	"4"	"11"	"13"	"6"	"17"	"434"	"-"	"434"	""
"57"	"45"	"43"	"2"	"1"	"78"	"47"	"1"	"1"	"0"	"1"	"3"	"2"	"2"	"138"	"-"	"138"	""
"58"	"46"	"44"	"19"	"3"	"179"	"157"	"14"	"7"	"6"	"6"	"7"	"6"	"12"	"416"	"-"	"416"	""
"59"	"47"	"45"	"16"	"6"	"133"	"223"	"22"	"12"	"47"	"10"	"3"	"1"	"5"	"478"	"-"	"478"	""
"60"	"48"	"46"	"10"	"2"	"101"	"288"	"20"	"7"	"6"	"6"	"3"	"3"	"8"	"454"	"-"	"454"	""
"61"	"49"	"47"	"26"	"8"	"132"	"339"	"35"	"1"	"7"	"9"	"4"	"2"	"6"	"569"	"-"	"569"	""
