"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"2"	"ON TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 151---Parbatta CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :151---Parbatta                                          No of Voters :238304"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Candidates Name BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
"6"	""	"NARESH PD. BADAL"	"RAMANAND PRASAD SINGH"	"SAMRAT CHOUDHARY ALIAS RAKESH KUMAR"	"SUBHASH MANDAL"	"CHANDAN KUMAR"	"MANOJ KUMAR SINGH"	"DHURUB KUMAR SHARMA"	"RAKESH KUMAR"	"SHIV KUMAR MISHRA"	"SATISH PRASAD SINGH"	"Total Valid Votes"
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"13"
"8"	"1"	"28"	"156"	"488"	"25"	"7"	"5"	"15"	"25"	"16"	"34"	"799"
"9"	"2"	"230"	"382"	"89"	"2"	"5"	"4"	"7"	"7"	"14"	"18"	"758"
"10"	"3"	"26"	"105"	"379"	"10"	"2"	"3"	"4"	"25"	"4"	"12"	"570"
"11"	"4"	"47"	"42"	"244"	"2"	"1"	"3"	"1"	"4"	"3"	"11"	"358"
"12"	"5"	"32"	"273"	"223"	"30"	"3"	"2"	"7"	"7"	"3"	"5"	"585"
"13"	"6"	"129"	"60"	"152"	"10"	"1"	"1"	"1"	"6"	"2"	"3"	"365"
"14"	"7"	"162"	"161"	"134"	"16"	"5"	"3"	"5"	"7"	"9"	"37"	"539"
"15"	"8"	"13"	"232"	"405"	"7"	"3"	"2"	"5"	"7"	"6"	"17"	"697"
"16"	"9"	"10"	"305"	"131"	"5"	"1"	"1"	"4"	"13"	"7"	"13"	"490"
"17"	"10"	"23"	"142"	"143"	"30"	"4"	"0"	"5"	"7"	"8"	"8"	"370"
"18"	"11"	"16"	"38"	"653"	"9"	"2"	"4"	"12"	"16"	"7"	"10"	"767"
"19"	"12"	"35"	"312"	"194"	"1"	"2"	"4"	"5"	"12"	"10"	"10"	"585"
"20"	"13"	"12"	"248"	"149"	"4"	"6"	"3"	"5"	"7"	"12"	"20"	"466"
"21"	"14"	"29"	"182"	"181"	"1"	"5"	"3"	"9"	"15"	"10"	"16"	"451"
"22"	"15"	"19"	"330"	"102"	"3"	"0"	"2"	"2"	"5"	"8"	"5"	"476"
"23"	"16"	"22"	"264"	"475"	"8"	"1"	"5"	"7"	"16"	"5"	"7"	"810"
"24"	"17"	"22"	"186"	"344"	"16"	"1"	"4"	"8"	"23"	"13"	"21"	"638"
"25"	"18"	"17"	"377"	"194"	"3"	"1"	"2"	"3"	"1"	"6"	"7"	"611"
"26"	"19"	"6"	"29"	"368"	"13"	"1"	"3"	"3"	"8"	"1"	"7"	"439"
"27"	"20"	"25"	"38"	"529"	"8"	"1"	"2"	"0"	"9"	"4"	"5"	"621"
"28"	"21"	"23"	"390"	"175"	"3"	"2"	"2"	"4"	"7"	"1"	"10"	"617"
"29"	"22"	"17"	"47"	"333"	"2"	"0"	"0"	"3"	"4"	"1"	"8"	"415"
"30"	"23"	"7"	"66"	"369"	"3"	"0"	"1"	"6"	"1"	"2"	"6"	"461"
"31"	"24"	"10"	"146"	"522"	"10"	"1"	"3"	"4"	"6"	"7"	"5"	"714"
"32"	"25"	"15"	"319"	"360"	"17"	"4"	"5"	"4"	"11"	"7"	"16"	"758"
"33"	"26"	"16"	"323"	"73"	"9"	"22"	"8"	"9"	"7"	"6"	"10"	"483"
"34"	"27"	"10"	"526"	"83"	"4"	"0"	"4"	"2"	"1"	"3"	"8"	"641"
"35"	"28"	"14"	"381"	"294"	"5"	"1"	"3"	"6"	"19"	"7"	"22"	"752"
"36"	"29"	"10"	"66"	"659"	"15"	"5"	"2"	"15"	"28"	"8"	"27"	"835"
"37"	"30"	"10"	"120"	"389"	"24"	"4"	"7"	"6"	"13"	"5"	"9"	"587"
"38"	"31"	"10"	"120"	"430"	"10"	"3"	"5"	"7"	"24"	"5"	"16"	"630"
"39"	"32"	"25"	"288"	"215"	"6"	"2"	"1"	"10"	"6"	"5"	"15"	"573"
"40"	"33"	"12"	"284"	"150"	"2"	"1"	"1"	"2"	"1"	"4"	"4"	"461"
"41"	"34"	"18"	"275"	"337"	"12"	"2"	"7"	"5"	"6"	"10"	"19"	"691"
"42"	"35"	"12"	"237"	"312"	"9"	"3"	"3"	"4"	"17"	"3"	"9"	"609"
"43"	"36"	"11"	"265"	"158"	"8"	"0"	"1"	"0"	"1"	"1"	"0"	"445"
"44"	"37"	"11"	"186"	"342"	"9"	"1"	"1"	"3"	"8"	"3"	"10"	"574"
"45"	"38"	"11"	"287"	"238"	"9"	"1"	"2"	"4"	"4"	"8"	"9"	"573"
"46"	"39"	"24"	"178"	"367"	"3"	"1"	"4"	"3"	"16"	"6"	"10"	"612"
"47"	"40"	"31"	"257"	"35"	"0"	"0"	"0"	"0"	"1"	"2"	"5"	"331"
"48"	"41"	"15"	"240"	"291"	"4"	"2"	"1"	"8"	"11"	"6"	"7"	"585"
"49"	"42"	"105"	"262"	"470"	"15"	"12"	"3"	"7"	"12"	"8"	"22"	"916"
"50"	"43"	"92"	"284"	"284"	"82"	"9"	"7"	"3"	"12"	"9"	"23"	"805"
"51"	"44"	"19"	"286"	"63"	"15"	"1"	"2"	"3"	"3"	"3"	"9"	"404"
"52"	"45"	"7"	"101"	"287"	"5"	"2"	"2"	"10"	"9"	"7"	"10"	"440"
"53"	"46"	"14"	"214"	"191"	"8"	"4"	"7"	"2"	"10"	"2"	"9"	"461"
"54"	"47"	"64"	"218"	"220"	"10"	"2"	"5"	"7"	"7"	"9"	"13"	"555"
"55"	"48"	"268"	"262"	"147"	"6"	"2"	"5"	"10"	"4"	"4"	"15"	"723"
"56"	"49"	"477"	"193"	"153"	"21"	"3"	"0"	"10"	"10"	"11"	"26"	"904"
"57"	"50"	"30"	"42"	"224"	"32"	"3"	"2"	"8"	"13"	"2"	"15"	"371"
"58"	"51"	"13"	"214"	"289"	"11"	"3"	"6"	"6"	"7"	"3"	"8"	"560"
"59"	"52"	"136"	"278"	"343"	"15"	"2"	"9"	"13"	"20"	"15"	"27"	"858"
"60"	"53"	"269"	"282"	"85"	"8"	"3"	"3"	"3"	"8"	"2"	"13"	"676"
"61"	"54"	"167"	"272"	"43"	"8"	"0"	"8"	"2"	"1"	"9"	"15"	"525"
"62"	"55"	"168"	"132"	"16"	"197"	"2"	"0"	"7"	"2"	"7"	"16"	"547"
"63"	"56"	"275"	"229"	"99"	"21"	"2"	"5"	"3"	"8"	"7"	"19"	"668"
"64"	"57"	"159"	"141"	"186"	"6"	"1"	"6"	"6"	"14"	"5"	"13"	"537"
"65"	"58"	"218"	"113"	"26"	"3"	"0"	"1"	"0"	"1"	"3"	"15"	"380"
"66"	"59"	"299"	"146"	"68"	"2"	"3"	"1"	"2"	"3"	"7"	"11"	"542"
"67"	"60"	"85"	"283"	"318"	"6"	"4"	"3"	"3"	"11"	"8"	"16"	"737"
"68"	"61"	"16"	"139"	"443"	"6"	"1"	"1"	"1"	"8"	"5"	"6"	"626"
"69"	"62"	"18"	"242"	"274"	"4"	"3"	"2"	"7"	"10"	"10"	"13"	"583"
"70"	"63"	"5"	"117"	"343"	"6"	"1"	"1"	"3"	"9"	"4"	"12"	"501"
"71"	"64"	"11"	"309"	"263"	"12"	"5"	"2"	"0"	"9"	"6"	"17"	"634"
"72"	"65"	"19"	"383"	"289"	"10"	"6"	"2"	"8"	"8"	"4"	"19"	"748"
"73"	"66"	"47"	"157"	"238"	"8"	"3"	"2"	"2"	"9"	"5"	"7"	"478"
"74"	"67"	"49"	"295"	"200"	"7"	"2"	"3"	"0"	"4"	"5"	"13"	"578"
"75"	"68"	"10"	"90"	"339"	"10"	"2"	"5"	"9"	"19"	"7"	"13"	"504"
"76"	"69"	"10"	"223"	"373"	"0"	"1"	"1"	"7"	"12"	"1"	"3"	"631"
"77"	"70"	"17"	"515"	"49"	"5"	"2"	"1"	"6"	"6"	"20"	"16"	"637"
"78"	"71"	"46"	"234"	"304"	"10"	"1"	"7"	"7"	"10"	"5"	"13"	"637"
"79"	"72"	"6"	"261"	"26"	"0"	"0"	"1"	"0"	"2"	"0"	"2"	"298"
"80"	"73"	"21"	"404"	"141"	"2"	"1"	"4"	"5"	"6"	"5"	"8"	"597"
"81"	"74"	"180"	"494"	"201"	"8"	"8"	"3"	"5"	"8"	"5"	"6"	"918"
"82"	"75"	"58"	"385"	"118"	"0"	"4"	"5"	"0"	"6"	"12"	"16"	"604"
"83"	"76"	"12"	"124"	"374"	"15"	"2"	"1"	"7"	"10"	"7"	"8"	"560"
"84"	"77"	"12"	"42"	"661"	"6"	"3"	"3"	"7"	"14"	"6"	"11"	"765"
"85"	"78"	"14"	"22"	"600"	"13"	"7"	"6"	"12"	"23"	"10"	"38"	"745"
"86"	"79"	"15"	"324"	"108"	"6"	"3"	"1"	"3"	"6"	"8"	"1"	"475"
"87"	"80"	"4"	"15"	"466"	"9"	"0"	"2"	"5"	"6"	"1"	"6"	"514"
"88"	"81"	"4"	"32"	"426"	"6"	"1"	"3"	"6"	"15"	"3"	"9"	"505"
