"Serial.No..of.Polling.station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total..of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tend.ered.Votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"3"	"1"	13	126	13	1	149	14	1	2	5	5	9	144	"482"	"0"	"482"	"0"
"4"	"2"	8	33	156	7	9	3	2	3	4	5	12	9	"251"	"0"	"251"	"0"
"5"	"3"	15	231	220	3	15	5	4	2	5	13	81	21	"615"	"0"	"615"	"0"
"6"	"4"	24	135	19	4	314	4	17	5	6	11	27	26	"592"	"0"	"592"	"0"
"7"	"5"	21	206	59	5	96	4	3	6	5	6	9	177	"597"	"0"	"597"	"0"
"8"	"6"	11	288	5	2	5	0	0	6	1	4	90	7	"419"	"0"	"419"	"0"
"9"	"7"	16	83	72	3	19	1	1	2	4	6	88	24	"319"	"0"	"319"	"0"
"10"	"8"	16	128	54	2	121	2	6	14	2	10	105	26	"486"	"0"	"486"	"0"
"11"	"9"	31	147	92	2	242	8	4	4	6	7	13	218	"774"	"0"	"774"	"0"
"12"	"10"	17	43	152	3	42	15	3	2	0	4	6	124	"411"	"0"	"411"	"0"
"13"	"11"	17	38	93	0	19	20	1	1	1	3	7	255	"455"	"0"	"455"	"0"
"14"	"12"	16	62	4	3	308	2	3	3	3	5	9	11	"429"	"0"	"429"	"0"
"15"	"13"	1	130	4	2	38	1	1	2	0	2	1	7	"189"	"0"	"189"	"0"
"16"	"14"	44	337	92	11	81	2	7	54	3	16	19	11	"677"	"0"	"677"	"0"
"17"	"15"	60	375	29	2	29	3	10	11	4	6	10	4	"543"	"0"	"543"	"0"
"18"	"16"	80	311	19	1	120	7	1	6	3	34	23	33	"638"	"0"	"638"	"0"
"19"	"17"	65	347	9	1	86	1	7	11	1	2	50	3	"583"	"0"	"583"	"0"
"20"	"18"	68	148	8	1	72	4	3	9	19	5	46	19	"402"	"0"	"402"	"0"
"21"	"19"	28	237	33	1	70	1	1	6	4	9	38	9	"437"	"0"	"437"	"0"
"22"	"20"	89	251	15	4	88	4	5	2	3	17	37	34	"549"	"0"	"549"	"0"
"23"	"21"	17	464	17	2	14	2	0	6	5	1	24	2	"554"	"0"	"554"	"0"
"24"	"22"	12	71	278	5	24	3	1	3	0	9	5	25	"436"	"0"	"436"	"0"
"25"	"23"	16	14	0	2	782	2	1	0	0	1	1	2	"821"	"0"	"821"	"0"
"26"	"24"	35	60	151	9	251	9	2	1	6	8	2	7	"541"	"0"	"541"	"0"
"27"	"25"	11	346	13	0	47	4	4	1	3	3	12	31	"475"	"0"	"475"	"0"
"28"	"26"	17	182	13	0	18	56	7	2	3	7	3	7	"315"	"0"	"315"	"0"
"29"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total  of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tend ered Votes"
"30"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"31"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"32"	"27"	40	211	52	6	153	8	6	7	4	7	26	40	"560"	"0"	"560"	"0"
"33"	"28"	3	108	9	0	376	5	1	2	1	1	3	6	"515"	"0"	"515"	"0"
"34"	"29"	24	237	30	7	161	16	10	6	6	5	8	7	"517"	"0"	"517"	"0"
"35"	"30"	20	105	55	0	255	0	4	1	2	0	1	5	"448"	"0"	"448"	"0"
"36"	"31"	30	58	7	2	269	4	1	5	0	3	1	2	"382"	"0"	"382"	"0"
"37"	"32"	39	170	122	4	31	8	2	5	6	3	3	130	"523"	"0"	"523"	"0"
"38"	"33"	64	236	97	7	57	8	2	3	0	3	5	7	"489"	"0"	"489"	"0"
"39"	"34"	36	187	73	11	159	46	8	8	118	5	4	15	"670"	"0"	"670"	"0"
"40"	"35"	73	238	39	1	113	3	1	12	11	3	5	8	"507"	"0"	"507"	"0"
"41"	"36"	22	120	47	3	222	8	3	6	2	5	8	7	"453"	"0"	"453"	"0"
"42"	"37"	27	31	10	3	199	25	0	1	0	0	3	1	"300"	"0"	"300"	"0"
"43"	"38"	21	153	142	4	115	3	4	2	3	5	4	7	"463"	"0"	"463"	"0"
"44"	"39"	46	153	93	1	350	3	3	6	9	1	21	7	"693"	"0"	"693"	"0"
"45"	"40"	36	210	74	3	171	6	0	2	0	1	6	2	"511"	"0"	"511"	"0"
"46"	"41"	236	225	7	0	35	4	4	11	3	7	9	26	"567"	"0"	"567"	"0"
"47"	"42"	320	320	33	5	62	0	3	3	3	4	7	10	"770"	"0"	"770"	"0"
"48"	"43"	26	304	13	5	208	8	4	4	79	11	10	11	"683"	"0"	"683"	"0"
"49"	"44"	50	182	17	5	285	45	5	9	47	6	11	5	"667"	"0"	"667"	"0"
"50"	"45"	59	142	147	7	158	3	5	8	9	7	8	10	"563"	"0"	"563"	"0"
"51"	"46"	34	193	31	1	295	1	1	7	0	0	4	6	"573"	"0"	"573"	"0"
"52"	"47"	38	111	50	3	229	13	1	3	1	4	4	8	"465"	"0"	"465"	"0"
"53"	"48"	28	158	88	4	157	28	4	1	4	4	8	20	"504"	"0"	"504"	"0"
