"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 237---Nawada CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :237---Nawada                                                                                                                                                                                                                             No of Voters :263212"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Candidates Name ----- > BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	"Nivedita Singh"	"Purnima Yadav"	"Md. Prawej Alam"	"Rajballabh Prasad"	"Shiv Shankar Chauhan"	"Arvind Prasad"	"Arjun Bharti"	"Ashok Kumar Gupta"	"Mahmood Alam"	"Raj Kishor Raj"	"Rajendra Vishal"	"Savitri Devi"	"Anil Kumar"	"Krishnade o Singh"	"Rajiv Nayan"	"Rameshwar Prasad Singh"	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"33"
"8"	"1"	"5"	"56"	"7"	"114"	"4"	"2"	"2"	"1"	"0"	"0"	"1"	"2"	"0"	"150"	"1"	"6"	"351"
"9"	"2"	"42"	"24"	"1"	"15"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"3"	"15"	"375"	"5"	"6"	"490"
"10"	"3"	"9"	"11"	"4"	"2"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"4"	"278"	"1"	"5"	"319"
"11"	"4"	"50"	"33"	"3"	"8"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"3"	"8"	"405"	"3"	"8"	"525"
"12"	"5"	"8"	"92"	"8"	"154"	"4"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"3"	"3"	"1"	"3"	"280"
"13"	"6"	"13"	"83"	"6"	"194"	"3"	"4"	"0"	"2"	"2"	"0"	"2"	"7"	"15"	"59"	"6"	"10"	"406"
"14"	"7"	"45"	"183"	"2"	"107"	"5"	"2"	"2"	"3"	"2"	"7"	"4"	"8"	"16"	"123"	"24"	"33"	"566"
"15"	"8"	"19"	"203"	"7"	"126"	"8"	"3"	"2"	"5"	"2"	"3"	"3"	"3"	"18"	"101"	"18"	"11"	"532"
"16"	"9"	"33"	"283"	"14"	"183"	"10"	"6"	"4"	"17"	"1"	"1"	"8"	"18"	"46"	"32"	"38"	"29"	"723"
"17"	"10"	"91"	"133"	"4"	"60"	"3"	"1"	"0"	"2"	"2"	"1"	"3"	"5"	"11"	"104"	"10"	"13"	"443"
"18"	"11"	"21"	"130"	"3"	"286"	"8"	"2"	"1"	"1"	"0"	"0"	"4"	"6"	"7"	"7"	"7"	"6"	"489"
"19"	"12"	"162"	"159"	"2"	"104"	"1"	"0"	"2"	"7"	"0"	"0"	"1"	"3"	"10"	"45"	"11"	"7"	"514"
"20"	"13"	"132"	"113"	"3"	"51"	"0"	"1"	"0"	"5"	"4"	"0"	"1"	"2"	"2"	"92"	"11"	"11"	"428"
"21"	"14"	"16"	"320"	"12"	"127"	"3"	"1"	"1"	"7"	"2"	"4"	"3"	"5"	"6"	"31"	"31"	"6"	"575"
"22"	"15"	"11"	"123"	"6"	"117"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"3"	"2"	"269"
"23"	"16"	"23"	"189"	"9"	"201"	"40"	"4"	"2"	"5"	"1"	"3"	"4"	"9"	"18"	"14"	"18"	"10"	"550"
"24"	"17"	"5"	"142"	"2"	"68"	"3"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"7"	"4"	"10"	"0"	"245"
"25"	"18"	"16"	"112"	"6"	"203"	"2"	"0"	"1"	"3"	"0"	"1"	"1"	"5"	"19"	"3"	"7"	"5"	"384"
"26"	"19"	"47"	"32"	"1"	"110"	"4"	"1"	"0"	"3"	"0"	"1"	"1"	"1"	"5"	"12"	"0"	"4"	"222"
"27"	"Page 1 of 14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
