"BOOTH.NO"	"ARUN.SINGH"	"AVANEESH.KUMAR.SINGH"	"MANOJ.KUMAR.SINGH"	"LAXMI.NARAYAN.PR..YADAV"	"LAL.BABU.PRASAD.GUPTA"	"KAILASH.PRASAD.YADWA"	"SUSHEELA.DEVI"	"ANUGRAH.NARAIN.SINGH"	"ASHOK.RAM"	"IMTEYAJUL.HAQUE"	"MANJU.DEVI"	"SANJOY.YADAV.ALIAS.SHUBHRANSHU"	"HARENDRA.PRASAD.YADAWA"	"TOTAL"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"2"	1	5	46	4	550	8	1	5	1	3	6	26	2	23	680
"3"	2	24	128	21	128	5	2	8	4	3	7	21	9	57	417
"4"	3	20	438	28	107	11	8	7	4	2	0	23	6	5	659
"5"	4	10	314	18	165	14	4	11	2	6	11	58	5	30	648
"6"	5	5	63	211	265	18	6	11	1	6	2	12	7	28	635
"7"	6	4	15	142	235	4	2	6	3	2	3	6	3	37	462
"8"	7	12	32	24	259	7	5	5	3	3	4	2	46	28	430
"9"	8	17	104	37	450	4	4	6	4	2	5	3	4	71	711
"10"	9	15	138	99	78	9	1	5	1	1	5	22	3	81	458
"11"	10	12	180	19	368	12	4	8	3	4	5	2	4	21	642
"12"	11	8	127	12	293	29	2	8	3	3	14	6	7	61	573
"13"	12	12	336	24	140	10	4	5	5	2	23	42	10	6	619
"14"	13	9	204	14	212	15	4	5	1	7	11	62	16	24	584
"15"	14	5	356	46	62	0	4	5	2	2	34	19	2	6	543
"16"	15	12	262	28	40	7	0	9	1	3	4	3	9	9	387
"17"	16	2	88	52	44	3	1	6	1	4	157	10	5	17	390
"18"	17	4	142	16	104	4	0	5	2	3	24	9	3	19	335
"19"	18	19	377	41	76	7	3	2	1	0	23	13	8	13	583
"20"	19	3	141	59	13	13	2	5	4	4	60	28	6	26	364
"21"	20	6	59	89	20	7	1	4	3	4	61	21	7	18	300
"22"	21	9	49	48	47	3	0	3	8	5	263	77	7	7	526
"23"	22	3	49	13	15	3	0	1	3	2	132	21	5	3	250
"24"	23	5	131	81	54	6	3	6	6	5	231	28	3	15	574
"25"	24	10	77	210	102	4	5	8	4	6	69	37	12	17	561
"26"	25	8	226	33	253	42	7	4	2	5	5	22	9	17	633
"27"	26	8	55	17	332	30	8	5	5	5	7	10	11	29	522
"28"	27	14	53	27	475	23	10	10	6	8	17	27	15	58	743
"29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"31"	28	11	213	24	17	23	7	12	9	7	16	146	9	13	507
"32"	NA	1	187	4	51	3	3	8	4	4	28	10	5	4	312
"33"	29	18	124	20	325	21	3	5	1	1	8	45	4	68	643
"34"	30	6	117	15	374	24	1	3	3	3	5	20	4	68	643
"35"	31	6	98	19	247	13	3	0	0	2	7	130	6	44	575
"36"	32	13	63	108	163	50	4	8	2	2	2	31	1	1	448
"37"	33	7	141	31	170	6	1	6	3	2	14	61	6	53	501
"38"	34	3	113	10	116	3	0	3	3	2	1	81	6	24	365
"39"	35	11	166	28	123	8	3	3	0	5	9	17	5	9	387
"40"	36	18	284	28	107	14	3	22	4	5	3	78	10	30	606
"41"	37	10	62	43	310	22	1	16	2	6	9	87	5	20	593
"42"	38	1	164	12	274	4	4	5	1	4	1	1	1	5	477
"43"	39	10	285	61	82	12	2	6	3	2	8	57	4	6	538
"44"	40	1	44	13	34	3	0	2	1	0	5	406	3	2	514
"45"	41	24	374	99	74	9	4	5	1	1	4	14	9	7	625
"46"	42	17	245	63	210	8	3	16	10	13	10	50	9	18	672
"47"	43	7	90	58	73	1	0	4	3	4	7	80	10	26	363
"48"	44	16	206	23	189	7	3	9	4	8	6	35	44	31	581
"49"	45	12	485	36	46	6	3	11	4	4	5	98	17	15	742
"50"	46	29	413	36	32	10	4	14	7	9	6	37	19	26	642
"51"	47	21	397	73	147	7	4	18	4	4	1	52	6	13	747
"52"	48	9	58	7	249	14	1	10	1	4	2	106	4	15	480
"53"	49	12	112	13	168	10	9	13	5	5	11	57	7	34	456
"54"	50	4	133	61	205	7	8	18	2	12	14	254	16	27	761
"55"	51	3	142	23	237	6	5	13	1	3	3	101	2	6	545
"56"	52	5	324	201	177	19	3	11	3	8	16	41	8	20	836
"57"	53	7	12	100	96	5	0	1	3	1	7	45	4	13	294
"58"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"60"	54	16	196	21	373	20	7	9	10	9	15	109	10	28	823
"61"	55	4	98	10	159	12	3	1	2	2	10	124	2	12	439
"62"	56	5	112	23	155	4	11	1	3	2	2	10	3	82	413
"63"	57	8	115	11	140	5	2	9	0	5	6	5	4	6	316
"64"	58	2	27	5	577	2	0	1	0	0	2	1	1	3	621
"65"	59	12	86	167	421	30	4	12	1	5	6	59	5	10	818
"66"	60	28	142	30	204	6	2	11	7	3	1	30	5	8	477
"67"	61	5	347	18	34	26	1	8	1	0	2	16	10	13	481
"68"	62	13	264	15	55	18	2	1	5	3	0	34	12	16	438
"69"	63	10	191	11	162	30	1	9	1	1	2	17	6	3	444
"70"	64	3	318	48	46	22	0	4	0	1	1	4	1	3	451
"71"	65	7	338	27	102	67	6	6	4	5	13	22	10	13	620
"72"	66	2	117	2	23	377	4	0	0	1	2	6	1	1	536
"73"	67	5	194	2	20	119	0	2	0	9	5	52	13	16	437
"74"	68	7	165	39	273	5	2	3	3	6	6	16	10	13	548
"75"	69	4	397	7	157	6	3	1	1	1	3	12	5	6	603
