"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X233736.116.233852.33.Khajauli"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"3"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"4"	"1"	"57"	"400"	"24"	"13"	"248"	"6"	"17"	"9"	"4"	"7"	"8"	"4"	"0"	"22"	"18"	"6"	"843"	""	"843"	""
"5"	"2"	"62"	"330"	"18"	"7"	"91"	"6"	"9"	"7"	"5"	"5"	"1"	"3"	"4"	"4"	"14"	"6"	"572"	""	"572"	""
"6"	"3"	"51"	"188"	"12"	"4"	"84"	"4"	"5"	"6"	"23"	"5"	"2"	"6"	"10"	"6"	"21"	"4"	"431"	""	"431"	""
"7"	"4"	"294"	"295"	"16"	"7"	"61"	"3"	"11"	"4"	"3"	"3"	"3"	"5"	"0"	"2"	"12"	"14"	"733"	""	"733"	""
"8"	"5"	"62"	"257"	"22"	"24"	"88"	"10"	"16"	"12"	"81"	"4"	"3"	"2"	"3"	"3"	"10"	"1"	"598"	""	"598"	""
"9"	"6"	"98"	"135"	"17"	"8"	"37"	"4"	"1"	"2"	"9"	"3"	"1"	"3"	"3"	"5"	"2"	"8"	"336"	""	"336"	""
"10"	"7"	"104"	"265"	"15"	"7"	"133"	"5"	"8"	"3"	"18"	"5"	"4"	"5"	"7"	"2"	"5"	"5"	"591"	""	"591"	""
"11"	"8"	"108"	"194"	"9"	"2"	"96"	"1"	"10"	"4"	"17"	"4"	"4"	"7"	"5"	"1"	"11"	"7"	"480"	""	"480"	""
"12"	"9"	"193"	"260"	"30"	"22"	"227"	"9"	"17"	"9"	"15"	"6"	"5"	"7"	"2"	"2"	"12"	"9"	"825"	""	"825"	""
"13"	"10"	"80"	"227"	"19"	"4"	"38"	"9"	"5"	"1"	"50"	"3"	"5"	"0"	"1"	"6"	"8"	"9"	"465"	""	"465"	""
"14"	"11"	"142"	"245"	"10"	"5"	"19"	"3"	"0"	"2"	"7"	"0"	"0"	"2"	"1"	"1"	"5"	"2"	"444"	""	"444"	""
"15"	"12"	"125"	"333"	"20"	"10"	"61"	"3"	"2"	"1"	"2"	"1"	"3"	"9"	"1"	"1"	"7"	"7"	"586"	""	"586"	""
"16"	"13"	"225"	"173"	"4"	"2"	"46"	"1"	"2"	"1"	"5"	"1"	"0"	"1"	"0"	"1"	"5"	"3"	"470"	""	"470"	""
"17"	"14"	"133"	"214"	"38"	"1"	"22"	"4"	"0"	"1"	"3"	"0"	"2"	"1"	"0"	"0"	"0"	"2"	"421"	""	"421"	""
"18"	"Total -1"	"1734"	"3516"	"254"	"116"	"1251"	"68"	"103"	"62"	"242"	"47"	"41"	"55"	"37"	"56"	"130"	"83"	"7795"	"0"	"7795"	"0"
"19"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"22"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"23"	"B.F."	"1734"	"3516"	"254"	"116"	"1251"	"68"	"103"	"62"	"242"	"47"	"41"	"55"	"37"	"56"	"130"	"83"	"7795"	"0"	"7795"	""
"24"	"15"	"117"	"125"	"13"	"2"	"28"	"5"	"3"	"2"	"5"	"1"	"3"	"0"	"1"	"1"	"6"	"5"	"317"	""	"317"	""
"25"	"16"	"119"	"150"	"7"	"55"	"196"	"10"	"23"	"12"	"8"	"3"	"10"	"5"	"20"	"6"	"18"	"7"	"649"	""	"649"	""
"26"	"17"	"23"	"202"	"24"	"2"	"16"	"4"	"1"	"7"	"27"	"3"	"0"	"1"	"1"	"3"	"24"	"3"	"341"	""	"341"	""
"27"	"17A"	"14"	"167"	"6"	"1"	"128"	"3"	"7"	"4"	"6"	"2"	"5"	"5"	"8"	"4"	"20"	"6"	"386"	""	"386"	""
"28"	"18"	"381"	"142"	"17"	"5"	"191"	"4"	"15"	"4"	"58"	"4"	"4"	"6"	"2"	"1"	"13"	"11"	"858"	""	"858"	""
"29"	"19"	"5"	"24"	"5"	"4"	"227"	"3"	"6"	"3"	"34"	"4"	"0"	"2"	"0"	"1"	"10"	"4"	"332"	""	"332"	""
"30"	"20"	"114"	"280"	"13"	"25"	"174"	"16"	"14"	"12"	"19"	"9"	"7"	"3"	"3"	"7"	"15"	"12"	"723"	""	"723"	""
"31"	"21"	"44"	"187"	"12"	"12"	"330"	"9"	"12"	"4"	"7"	"10"	"8"	"13"	"10"	"14"	"16"	"23"	"711"	""	"711"	""
"32"	"22"	"47"	"481"	"33"	"36"	"107"	"7"	"6"	"12"	"7"	"3"	"7"	"6"	"8"	"7"	"4"	"5"	"776"	""	"776"	""
"33"	"23"	"103"	"266"	"28"	"6"	"21"	"4"	"3"	"4"	"70"	"2"	"4"	"0"	"4"	"2"	"5"	"10"	"532"	""	"532"	""
"34"	"24"	"157"	"327"	"19"	"12"	"187"	"8"	"9"	"11"	"71"	"4"	"2"	"5"	"6"	"7"	"19"	"10"	"854"	""	"854"	""
"35"	"25"	"86"	"313"	"18"	"14"	"123"	"8"	"7"	"7"	"19"	"5"	"4"	"5"	"9"	"2"	"13"	"9"	"642"	""	"642"	""
"36"	"26"	"129"	"212"	"12"	"26"	"187"	"3"	"16"	"4"	"1"	"5"	"5"	"6"	"5"	"5"	"14"	"9"	"639"	""	"639"	""
"37"	"27"	"24"	"262"	"16"	"4"	"124"	"2"	"7"	"6"	"7"	"2"	"1"	"2"	"2"	"0"	"5"	"2"	"466"	""	"466"	""
"38"	"Total -2"	"1363"	"3138"	"223"	"204"	"2039"	"86"	"129"	"92"	"339"	"57"	"60"	"59"	"79"	"60"	"182"	"116"	"8226"	"0"	"8226"	"0"
"39"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"41"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"42"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
