"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 26-SURSAND CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Name of the Assembly :- 26-Sursand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total Number of Electors in Assembly Constituency -    231737"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Polling Station No."	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"7"	""	"Anita Raut"	"Jainandan Prasad Yadav"	"Bijay Kumar Hathi"	"Bharat Bhushan Sahni"	"Vimal Shukla"	"Shahid Ali Khan"	"Mahesh Kumar"	"Lokesh Kumar Singh"	"Sushil Kumar Chaudhary"	"Sushama Devi Sarraf"	""	""	""	""
"8"	"1"	"33"	"326"	"26"	"6"	"29"	"125"	"1"	"3"	"11"	"7"	"567"	"0"	"567"	"0"
"9"	"2"	"6"	"118"	"5"	"6"	"98"	"174"	"3"	"4"	"12"	"9"	"435"	"0"	"435"	"0"
"10"	"3"	"25"	"549"	"12"	"1"	"9"	"11"	"4"	"8"	"12"	"8"	"639"	"0"	"639"	"0"
"11"	"4"	"12"	"389"	"6"	"1"	"50"	"14"	"1"	"5"	"6"	"2"	"486"	"0"	"486"	"0"
"12"	"5"	"4"	"168"	"4"	"0"	"24"	"64"	"2"	"2"	"1"	"0"	"269"	"0"	"269"	"0"
"13"	"6"	"4"	"362"	"59"	"4"	"5"	"4"	"3"	"5"	"10"	"11"	"467"	"0"	"467"	"0"
"14"	"7"	"33"	"142"	"12"	"4"	"80"	"216"	"12"	"25"	"7"	"10"	"541"	"0"	"541"	"0"
"15"	"8"	"21"	"84"	"18"	"3"	"17"	"364"	"12"	"12"	"9"	"19"	"559"	"0"	"559"	"0"
"16"	"9"	"22"	"205"	"8"	"18"	"20"	"275"	"8"	"9"	"10"	"11"	"586"	"0"	"586"	"0"
"17"	"10"	"13"	"238"	"3"	"1"	"12"	"125"	"5"	"10"	"8"	"1"	"416"	"0"	"416"	"0"
"18"	"11"	"29"	"164"	"9"	"2"	"23"	"211"	"9"	"9"	"8"	"24"	"488"	"0"	"488"	"0"
"19"	"12"	"10"	"29"	"3"	"1"	"53"	"154"	"1"	"0"	"1"	"5"	"257"	"0"	"257"	"0"
"20"	"13"	"67"	"239"	"31"	"4"	"32"	"218"	"5"	"3"	"7"	"13"	"619"	"0"	"619"	"0"
"21"	"14"	"44"	"300"	"25"	"14"	"65"	"229"	"14"	"9"	"9"	"12"	"721"	"0"	"721"	"0"
"22"	"15"	"12"	"203"	"3"	"1"	"6"	"116"	"5"	"5"	"2"	"5"	"358"	"0"	"358"	"0"
"23"	"15  d"	"5"	"83"	"3"	"4"	"12"	"177"	"3"	"1"	"4"	"7"	"299"	"0"	"299"	"0"
"24"	"16"	"13"	"139"	"16"	"2"	"72"	"125"	"5"	"6"	"6"	"13"	"397"	"0"	"397"	"0"
"25"	"17"	"15"	"108"	"5"	"0"	"116"	"99"	"7"	"6"	"5"	"4"	"365"	"0"	"365"	"0"
"26"	"18"	"15"	"501"	"10"	"0"	"2"	"83"	"7"	"5"	"2"	"8"	"633"	"0"	"633"	"0"
"27"	"19"	"13"	"38"	"5"	"3"	"176"	"227"	"7"	"4"	"6"	"13"	"492"	"0"	"492"	"0"
"28"	"Polling Station No."	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"29"	""	"Anita Raut"	"Jainandan Prasad Yadav"	"Bijay Kumar Hathi"	"Bharat Bhushan Sahni"	"Vimal Shukla"	"Shahid Ali Khan"	"Mahesh Kumar"	"Lokesh Kumar Singh"	"Sushil Kumar Chaudhary"	"Sushama Devi Sarraf"	""	""	""	""
"30"	"20"	"69"	"76"	"9"	"3"	"105"	"144"	"6"	"4"	"10"	"24"	"450"	"0"	"450"	"0"
"31"	"21"	"93"	"131"	"24"	"4"	"137"	"112"	"3"	"7"	"8"	"18"	"537"	"0"	"537"	"0"
"32"	"22"	"32"	"48"	"3"	"4"	"341"	"60"	"5"	"9"	"8"	"20"	"530"	"0"	"530"	"0"
"33"	"23"	"35"	"209"	"31"	"7"	"123"	"191"	"12"	"10"	"18"	"24"	"660"	"0"	"660"	"0"
"34"	"24"	"67"	"38"	"8"	"2"	"101"	"246"	"5"	"12"	"5"	"27"	"511"	"0"	"511"	"0"
"35"	"25"	"18"	"100"	"26"	"4"	"106"	"97"	"5"	"7"	"14"	"11"	"388"	"0"	"388"	"0"
"36"	"26"	"24"	"77"	"8"	"4"	"132"	"121"	"6"	"6"	"8"	"13"	"399"	"0"	"399"	"0"
"37"	"27"	"21"	"336"	"2"	"5"	"58"	"31"	"2"	"4"	"11"	"8"	"478"	"0"	"478"	"0"
"38"	"Polling Station No."	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"39"	""	"Anita Raut"	"Jainandan Prasad Yadav"	"Bijay Kumar Hathi"	"Bharat Bhushan Sahni"	"Vimal Shukla"	"Shahid Ali Khan"	"Mahesh Kumar"	"Lokesh Kumar Singh"	"Sushil Kumar Chaudhary"	"Sushama Devi Sarraf"	""	""	""	""
"40"	"28"	"21"	"122"	"6"	"3"	"156"	"93"	"5"	"4"	"3"	"11"	"424"	"0"	"424"	"0"
"41"	"29"	"58"	"390"	"30"	"19"	"175"	"32"	"10"	"10"	"17"	"19"	"760"	"0"	"760"	"0"
"42"	"30"	"11"	"50"	"6"	"3"	"95"	"15"	"0"	"6"	"4"	"12"	"202"	"0"	"202"	"0"
"43"	"31"	"34"	"150"	"9"	"5"	"104"	"170"	"6"	"2"	"15"	"17"	"512"	"0"	"512"	"0"
"44"	"32"	"6"	"39"	"11"	"3"	"164"	"157"	"0"	"2"	"3"	"8"	"393"	"0"	"393"	"0"
"45"	"32  d"	"15"	"66"	"3"	"2"	"139"	"132"	"7"	"6"	"10"	"17"	"397"	"0"	"397"	"0"
"46"	"33"	"17"	"54"	"9"	"5"	"278"	"243"	"7"	"5"	"4"	"12"	"634"	"0"	"634"	"0"
"47"	"34"	"20"	"11"	"5"	"5"	"82"	"246"	"7"	"0"	"1"	"18"	"395"	"0"	"395"	"0"
"48"	"35"	"11"	"71"	"27"	"1"	"76"	"121"	"5"	"4"	"4"	"4"	"324"	"0"	"324"	"0"
