"TOTAL.NO..OF.ELECTORS.IN.ASSEMBLY.CONSTITUENCY....235140"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"NAME OF THE ASSEMBLY SEGMENT - 206 CHAINPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[CHAPTER XIV PARA 26.9] FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"[SEE RULE 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"206- CHAINPUR ASSEMBLY SEGMENT"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"PART -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Round No. 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"10"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"11"	"1"	"132"	"9"	"42"	"24"	"209"	"1"	"2"	"2"	"9"	"6"	"19"	"7"	"20"	"4"	"7"	"20"	"4"	"0"	"0"	"0"	"0"	"5"	"522"	""	"522"	""
