"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"AJAY KUMAR SINGH"	"ANIL KUMAR"	"RAMJI SINGH"	"DR. RAMANA ND YADAV"	"ATRIPTA JAWAHA R"	"UMESH SINGH"	"DHIREND RA KUMAR"	"PARAMA NANDA SINGH"	"BINOD KUMAR SINGH"	"SHYAM BABU KUMAR"	"AJAY KUMAR"	"ASHOK KUMAR SINGH"	"KUMAR RAJIV"	"DEO KUMAR"	"PUSHPA K ANAND"	"RAM PRAVES H SINGH"	""	""	""	""
"2"	"1"	"251"	"5"	"6"	"218"	"1"	"3"	"0"	"2"	"6"	"0"	"1"	"3"	"6"	"2"	"2"	"16"	"522"	"0"	"522"	"0"
"3"	"2"	"508"	"3"	"11"	"49"	"1"	"11"	"1"	"5"	"8"	"1"	"6"	"9"	"5"	"1"	"3"	"9"	"631"	"0"	"631"	"0"
"4"	"3"	"79"	"0"	"7"	"212"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"6"	"313"	"0"	"313"	"0"
"5"	"4"	"386"	"4"	"13"	"61"	"2"	"4"	"3"	"5"	"3"	"4"	"1"	"15"	"1"	"5"	"4"	"12"	"523"	"0"	"523"	"0"
"6"	"5"	"354"	"5"	"19"	"71"	"2"	"1"	"0"	"3"	"4"	"1"	"2"	"5"	"2"	"3"	"6"	"9"	"487"	"0"	"487"	"0"
"7"	"6"	"34"	"3"	"4"	"367"	"3"	"0"	"0"	"0"	"3"	"0"	"2"	"0"	"1"	"0"	"1"	"5"	"423"	"0"	"423"	"0"
"8"	"7"	"189"	"2"	"9"	"255"	"4"	"2"	"0"	"3"	"3"	"2"	"1"	"3"	"2"	"2"	"0"	"7"	"484"	"0"	"484"	"0"
"9"	"8"	"190"	"1"	"2"	"296"	"2"	"16"	"3"	"1"	"1"	"0"	"0"	"3"	"2"	"0"	"2"	"10"	"529"	"0"	"529"	"0"
"10"	"9"	"363"	"3"	"12"	"244"	"2"	"5"	"2"	"1"	"3"	"0"	"2"	"6"	"0"	"1"	"0"	"9"	"653"	"0"	"653"	"0"
"11"	"10"	"187"	"7"	"8"	"258"	"3"	"5"	"3"	"7"	"6"	"0"	"4"	"7"	"5"	"1"	"0"	"6"	"507"	"0"	"507"	"0"
"12"	"11"	"118"	"4"	"8"	"458"	"6"	"1"	"5"	"3"	"8"	"0"	"3"	"10"	"14"	"0"	"1"	"23"	"662"	"0"	"662"	"0"
"13"	"12"	"57"	"0"	"12"	"446"	"5"	"2"	"2"	"0"	"4"	"2"	"2"	"2"	"5"	"2"	"0"	"9"	"550"	"0"	"550"	"0"
