"Name.of.Candidates"	"AJAY.KUMAR"	"JITAN.RAM.MANJHI"	"DHARMRAJ.PASWAN"	"RAM.GULAM"	"SHANKAR.SWAROOP"	"ABHIMANYU.PASWAN"	"KUSUM.DEVI"	"KAULESHWA.R.PASWAN"	"GANAURI.PASWAN"	"GAURI.MANJHI"	"DHANANJAY.KISHOR"	"LALAN.MANJHI"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.tendered.votes"
"1"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"2"	"Round - 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"3"	"1"	5	20	374	4	5	3	1	1	0	4	2	3	"422"	""	"422"	""
"4"	"2"	7	263	82	23	5	4	0	2	2	4	8	19	"419"	""	"419"	""
"5"	"3"	0	146	206	6	12	0	1	0	1	1	1	2	"376"	""	"376"	""
"6"	"4"	13	143	279	13	5	4	4	2	5	3	6	21	"498"	""	"498"	""
"7"	"5"	14	91	395	8	6	2	0	1	2	2	2	3	"526"	""	"526"	""
"8"	"6"	5	152	286	21	4	3	1	4	1	1	5	7	"490"	""	"490"	""
"9"	"7"	5	413	4	6	45	0	3	0	0	2	2	3	"483"	""	"483"	""
"10"	"8"	2	137	1	1	37	1	0	0	0	0	0	1	"180"	""	"180"	""
"11"	"9"	2	100	36	6	15	2	2	0	1	4	2	0	"170"	""	"170"	""
"12"	"10"	2	84	114	5	16	2	0	2	1	4	1	4	"235"	""	"235"	""
"13"	"11"	15	130	55	15	38	8	1	4	2	6	10	10	"294"	""	"294"	""
"14"	"12"	14	300	33	10	59	71	9	2	3	0	1	3	"505"	""	"505"	""
"15"	"13"	5	177	143	7	27	212	7	7	6	7	5	7	"610"	""	"610"	""
"16"	"14"	12	138	309	34	13	15	2	10	6	4	7	21	"571"	""	"571"	""
"17"	"Total"	101	2294	2317	159	287	327	31	35	30	42	52	104	"5779"	"0"	"5779"	"0"
