"er.nku.dsUnz.l.a....k"	"bUnznso.i.zl.kn"	"t.qYQdkj..vyh"	"r.kj.ds..oj....kno"	"X.kesZUnz.dq0.oekZ"	"HkwesUnz.ukj.k...k.fl.ag"	"eukst...dqekj..fl.ag"	"pr.qxqZu.i.zl.kn.pkSgku"	"f.Hkqou.j.ke"	"eqfu.eaxy..nso...kkL.h"	"j.kt.fd..kksj..fr.okj.h"	"j.kek...k.fl.ag"	"l.qt.hr..l.qHkkuh"	"l.qj.sUnz.fl.ag...kno"	"t.xnh..k.fl.ag"	"i.ou.i.zl.kn"	"i.zHkqukFk.l.kg"	"j.kds..k.feJ"	"j.kev..ks...k.Hkxr"	"j.s.kq...kno"	"l.R..nso.i.zl.kn.fl.ag"	"gfuQ.val.kj.h"	"gseUr..dqekj..fl.ag"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy.l.a....k"	"X..ksx"	"fufonr..er.ksa.dh.dqy.l.a....k"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"2"	1	31	2	15	5	206	9	0	1	1	1	7	6	1	2	1	9	2	0	0	82	5	1	387	NA	NA	NA
"3"	2	99	27	19	14	122	1	1	2	1	1	5	4	2	1	1	11	8	4	8	5	12	4	352	NA	NA	NA
"4"	3	138	18	8	45	128	6	1	0	13	3	7	4	8	2	8	25	21	6	4	73	11	12	541	NA	NA	NA
"5"	4	75	7	14	39	271	7	0	1	0	1	5	12	2	1	6	31	10	1	2	3	27	11	526	NA	NA	NA
"6"	5	121	12	25	26	297	11	32	1	7	2	14	4	5	2	1	4	25	4	2	42	16	17	670	NA	NA	NA
"7"	6	95	3	4	10	70	2	2	1	1	4	5	1	3	8	10	20	6	0	1	107	10	6	369	NA	NA	NA
"8"	7	143	10	16	7	212	5	4	0	1	0	3	3	1	1	2	2	3	2	3	5	2	3	428	NA	NA	NA
"9"	8	137	10	5	7	210	8	3	3	0	2	6	8	1	7	1	15	6	0	0	2	3	8	442	NA	NA	NA
"10"	NA	839	89	106	153	1516	49	43	9	24	14	52	42	23	24	30	117	81	17	20	319	86	62	3715	0	0	0
"11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"16"	9	71	7	10	18	247	8	7	1	5	2	5	2	6	2	5	10	17	3	3	14	5	13	461	NA	NA	NA
"17"	10	228	3	7	5	228	6	2	2	0	0	5	5	11	9	4	29	11	11	6	77	7	3	659	NA	NA	NA
"18"	11	96	7	4	26	278	8	2	0	0	0	1	4	1	1	1	7	6	7	5	5	2	3	464	NA	NA	NA
"19"	12	121	6	16	8	341	17	11	0	1	0	6	3	5	1	4	7	10	3	4	18	5	8	595	NA	NA	NA
"20"	13	220	14	18	52	307	4	0	0	0	0	4	2	0	0	2	2	6	3	2	6	4	2	648	NA	NA	NA
"21"	14	171	11	15	24	259	10	5	4	1	4	5	4	6	4	3	6	15	7	1	12	9	10	586	NA	NA	NA
"22"	15	77	6	50	18	267	9	3	2	2	1	6	0	0	3	3	5	17	1	1	10	1	3	485	NA	NA	NA
"23"	16	185	1	31	30	100	0	1	2	0	0	2	0	5	2	2	1	2	2	7	4	1	6	384	NA	NA	NA
"24"	NA	1169	55	151	181	2027	62	31	11	9	7	34	20	34	22	24	67	84	37	29	146	34	48	4282	0	0	0
"25"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"28"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"29"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"30"	17	121	3	49	13	316	7	2	4	1	2	2	1	1	2	3	7	5	8	4	10	3	10	574	NA	NA	NA
"31"	18	86	7	9	39	364	9	4	1	0	2	8	6	3	1	3	6	3	1	1	4	23	12	592	NA	NA	NA
"32"	19	44	1	3	5	199	5	1	2	3	1	3	6	4	2	3	8	2	2	0	1	8	3	306	NA	NA	NA
"33"	NA	88	2	8	16	178	12	2	1	7	1	7	5	1	2	3	11	6	1	1	1	22	5	380	NA	NA	NA
"34"	20	155	6	8	73	190	3	0	3	1	1	1	1	1	2	1	3	4	3	3	51	32	11	553	NA	NA	NA
"35"	21	241	6	27	82	288	9	15	2	4	3	8	14	10	3	3	14	24	4	9	14	33	10	823	NA	NA	NA
"36"	22	42	6	4	14	320	8	0	0	3	1	10	12	0	1	2	10	7	1	1	4	5	4	455	NA	NA	NA
"37"	23	95	4	11	51	291	12	1	4	4	1	9	15	3	8	9	25	7	3	3	18	18	22	614	NA	NA	NA
"38"	NA	872	35	119	293	2146	65	25	17	23	12	48	60	23	21	27	84	58	23	22	103	144	77	4297	0	0	0
"39"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"42"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"44"	24	9	1	6	9	234	4	0	1	2	0	2	6	2	5	0	0	6	2	2	136	7	9	443	NA	NA	NA
"45"	25	109	2	21	38	190	14	1	2	8	4	10	8	11	4	4	23	17	3	1	6	6	10	492	NA	NA	NA
"46"	26	177	11	11	13	64	3	0	0	1	5	0	2	0	3	1	8	15	4	5	5	13	1	342	NA	NA	NA
"47"	27	40	7	6	20	323	6	4	2	0	2	10	7	0	3	3	8	10	0	0	52	14	5	522	NA	NA	NA
"48"	28	233	12	4	21	122	4	2	0	3	0	3	1	16	2	1	5	8	4	18	3	5	7	474	NA	NA	NA
"49"	29	67	5	9	29	295	5	0	0	2	1	1	13	5	4	2	9	3	1	1	14	7	0	473	NA	NA	NA
"50"	30	90	11	20	51	373	15	5	2	1	3	15	15	7	3	3	22	19	3	6	3	22	16	705	NA	NA	NA
"51"	31	5	0	3	20	569	9	1	0	1	1	5	9	0	3	0	6	5	1	1	0	3	4	646	NA	NA	NA
"52"	NA	730	49	80	201	2170	60	13	7	18	16	46	61	41	27	14	81	83	18	34	219	77	52	4097	0	0	0
"53"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"54"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
