"ELECTION.TO.THE.HOUSE.OF.THE.PEOPLE.FORM.THE.27.BAJPATTI.PARLIAMENTARY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"4"	""	""	""	""	"Anwar Ali"	"Md."	"Gajadh"	"Mukesh"	"Ranju"	"Neyaz"	"Ahiraj"	"Ishtiaq"	"Deven"	"Birendr"	"Ravindra"	"Vijay"	"Sumitra"	""	""	""	""
"5"	""	""	""	""	""	""	""	""	""	"Ahmad"	"Shailend"	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	""	""	"Anwarul"	"ar"	"Kumar"	""	"Siddiq"	"ra"	""	"dra"	"a"	"Kumar"	"Kumar"	""	""	""	""	""
"7"	""	""	""	""	""	"Haque"	"Thakur"	"Ravi"	"Geeta"	"ee"	"Bhushan"	"ue"	"Jha"	"Kumar"	"Shahi"	"Jha"	"Devi"	""	""	""	""
"8"	""	""	""	""	"BSP"	"RJD"	"INC"	"NCP"	"JDU"	"CPIML"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"9"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"10"	"1"	"5"	"1"	""	"5"	"175"	"5"	"0"	"147"	"2"	"0"	"3"	"1"	"1"	"3"	"3"	"2"	"347"	"0"	"347"	"0"
"11"	"2"	"5"	"1"	"A"	"16"	"191"	"9"	"2"	"97"	"3"	"1"	"0"	"0"	"0"	"3"	"3"	"10"	"335"	"0"	"335"	"0"
"12"	"3"	"5"	"2"	""	"9"	"256"	"8"	"0"	"99"	"0"	"2"	"3"	"0"	"1"	"2"	"1"	"6"	"387"	"0"	"387"	"0"
"13"	"4"	"5"	"3"	""	"6"	"28"	"2"	"3"	"261"	"2"	"9"	"12"	"2"	"1"	"0"	"1"	"4"	"331"	"0"	"331"	"0"
"14"	"5"	"5"	"4"	""	"4"	"87"	"1"	"0"	"173"	"1"	"4"	"3"	"2"	"1"	"6"	"4"	"1"	"287"	"0"	"287"	"0"
"15"	"6"	"5"	"5"	""	"10"	"248"	"10"	"6"	"335"	"9"	"8"	"13"	"13"	"4"	"14"	"10"	"22"	"702"	"0"	"702"	"0"
"16"	"7"	"5"	"6"	""	"7"	"115"	"6"	"2"	"226"	"4"	"4"	"4"	"2"	"2"	"7"	"11"	"14"	"404"	"0"	"404"	"0"
