"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"3"	"1"	"162"	"28"	"77"	"184"	"3"	"8"	"7"	"6"	"5"	"21"	"501"	"0"	"501"	"0"
"4"	"2"	"63"	"8"	"115"	"173"	"0"	"5"	"3"	"3"	"5"	"20"	"395"	"0"	"395"	"0"
"5"	"3"	"38"	"2"	"275"	"114"	"0"	"0"	"2"	"3"	"0"	"2"	"436"	"0"	"436"	"0"
"6"	"4"	"112"	"26"	"198"	"75"	"2"	"2"	"1"	"3"	"2"	"11"	"432"	"0"	"432"	"0"
"7"	"5"	"12"	"5"	"273"	"8"	"1"	"2"	"1"	"3"	"0"	"0"	"305"	"0"	"305"	"0"
"8"	"6"	"64"	"1"	"351"	"51"	"3"	"4"	"4"	"10"	"6"	"21"	"515"	"0"	"515"	"0"
"9"	"7"	"0"	"0"	"269"	"6"	"0"	"1"	"1"	"8"	"1"	"6"	"292"	"0"	"292"	"0"
"10"	"8"	"76"	"42"	"238"	"357"	"6"	"1"	"2"	"3"	"8"	"11"	"744"	"0"	"744"	"0"
"11"	"9"	"35"	"90"	"210"	"184"	"4"	"3"	"5"	"8"	"4"	"7"	"550"	"0"	"550"	"0"
"12"	"10"	"90"	"27"	"158"	"358"	"3"	"5"	"4"	"2"	"2"	"20"	"669"	"0"	"669"	"0"
"13"	"11"	"101"	"53"	"143"	"169"	"3"	"2"	"3"	"2"	"2"	"5"	"483"	"0"	"483"	"0"
"14"	"12"	"181"	"120"	"183"	"114"	"6"	"5"	"6"	"8"	"11"	"35"	"669"	"0"	"669"	"0"
"15"	"13"	"48"	"8"	"81"	"159"	"1"	"1"	"1"	"3"	"5"	"8"	"315"	"0"	"315"	"0"
"16"	"14"	"153"	"86"	"141"	"177"	"7"	"7"	"6"	"7"	"4"	"17"	"605"	"0"	"605"	"0"
"17"	"TOTAL"	"1135"	"496"	"2712"	"2129"	"39"	"46"	"46"	"69"	"55"	"184"	"6911"	"0"	"6911"	"0"
"18"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
