"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"
"1"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	""	"Sanjay Kumar"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"3"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	""	"19"	"20"	"21"	"22"	"23"	""
"4"	"Round -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"1"	"0"	"0"	"2"	""	"125"	"2"	"0"	"0"	"1"	"0"	"3"	""	"0"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"60"	""	"1"	"196"	""	"196"	""	""
"6"	"2"	"33"	"3"	"185"	""	"4"	"0"	"0"	"1"	"0"	"0"	"0"	""	"0"	""	"0"	""	"0"	"2"	"0"	"1"	"1"	"5"	""	"4"	"239"	""	"239"	""	""
"7"	"3"	"67"	"1"	"70"	""	"8"	"0"	"0"	"0"	"2"	"2"	"1"	""	"0"	""	"0"	""	"0"	"0"	"0"	"0"	"0"	"15"	""	"0"	"166"	""	"166"	""	""
"8"	"4"	"3"	"0"	"2"	""	"98"	"1"	"2"	"2"	"0"	"5"	"99"	""	"2"	""	"3"	""	"0"	"2"	"1"	"3"	"1"	"23"	""	"1"	"248"	""	"248"	""	""
"9"	"5"	"86"	"15"	"58"	""	"109"	"1"	"1"	"6"	"35"	"11"	"44"	""	"1"	""	"3"	""	"3"	"41"	"8"	"16"	"6"	"230"	""	"7"	"681"	""	"681"	""	""
"10"	"6"	"3"	"17"	"0"	""	"110"	"0"	"1"	"1"	"1"	"0"	"13"	""	"1"	""	"0"	""	"1"	"0"	"0"	"1"	"0"	"24"	""	"2"	"175"	""	"175"	""	""
