"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 202---Rajpur (SC) CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :202---Rajpur (SC)                                                                                                                                                                                                                                                                  No of Voters :253787"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of valid votes caste in favour of                                                                                                                       Total Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"BOOTH NO"	"CHHEDI LAL RAM"	"PANKAJ KUMAR"	"MANJU KUMARI"	"SANTOSH
KUMAR NIRALA"	"HIRAMAN
PRASAD PASWAN"	"PARASURAM PRASAD"	"RAJENDRA PASWAN"	"RAMASHANKE R RAM"	"SHIV KUMAR RAM"	"SANJAY PASWAN"	"OM PRAKASH VIDYARTHY"	"MADAN RAM"	"RAJ KUMAR RAM"	"BINOD KUMAR BIKRANT"	"TOTAL VALID VOTES"
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"8"	"1"	"227"	"90"	"12"	"255"	"3"	"1"	"2"	"1"	"3"	"0"	"2"	"7"	"7"	"19"	"629"
"9"	"2"	"182"	"5"	"6"	"354"	"2"	"2"	"3"	"6"	"38"	"4"	"12"	"2"	"16"	"13"	"645"
"10"	"3"	"189"	"41"	"5"	"175"	"5"	"0"	"0"	"2"	"1"	"0"	"2"	"3"	"4"	"14"	"441"
"11"	"4"	"191"	"7"	"5"	"90"	"3"	"1"	"3"	"3"	"1"	"1"	"4"	"4"	"6"	"6"	"325"
"12"	"5"	"239"	"2"	"3"	"20"	"1"	"0"	"1"	"0"	"12"	"0"	"2"	"0"	"1"	"5"	"286"
"13"	"6"	"77"	"211"	"25"	"175"	"8"	"5"	"8"	"4"	"3"	"1"	"5"	"3"	"12"	"17"	"554"
"14"	"7"	"199"	"94"	"8"	"320"	"3"	"1"	"2"	"7"	"5"	"0"	"3"	"8"	"7"	"6"	"663"
"15"	"8"	"109"	"98"	"67"	"129"	"1"	"0"	"2"	"8"	"1"	"3"	"1"	"1"	"5"	"5"	"430"
"16"	"9"	"117"	"8"	"3"	"86"	"1"	"4"	"49"	"13"	"44"	"2"	"3"	"4"	"7"	"4"	"345"
"17"	"10"	"122"	"7"	"9"	"596"	"7"	"2"	"1"	"2"	"3"	"2"	"7"	"3"	"10"	"13"	"784"
"18"	"11"	"136"	"171"	"5"	"128"	"3"	"0"	"31"	"12"	"2"	"5"	"7"	"7"	"10"	"24"	"541"
"19"	"12"	"31"	"2"	"2"	"393"	"2"	"0"	"3"	"3"	"2"	"0"	"5"	"2"	"5"	"0"	"450"
"20"	"13"	"180"	"43"	"12"	"122"	"2"	"2"	"15"	"22"	"69"	"1"	"3"	"2"	"9"	"20"	"502"
"21"	"14"	"29"	"1"	"47"	"65"	"2"	"1"	"59"	"5"	"1"	"1"	"0"	"0"	"3"	"3"	"217"
"22"	"15"	"354"	"5"	"2"	"1"	"0"	"0"	"52"	"3"	"2"	"1"	"1"	"3"	"4"	"8"	"436"
"23"	"16"	"53"	"1"	"2"	"95"	"0"	"0"	"0"	"4"	"1"	"2"	"0"	"0"	"2"	"0"	"160"
"24"	"16A"	"111"	"41"	"11"	"522"	"9"	"2"	"1"	"7"	"11"	"10"	"7"	"12"	"17"	"10"	"771"
"25"	"17"	"172"	"13"	"14"	"318"	"2"	"1"	"4"	"10"	"10"	"1"	"11"	"8"	"8"	"17"	"589"
"26"	"18"	"67"	"46"	"28"	"104"	"2"	"1"	"0"	"3"	"23"	"1"	"5"	"1"	"4"	"7"	"292"
"27"	"19"	"69"	"209"	"7"	"279"	"2"	"1"	"1"	"7"	"2"	"0"	"2"	"4"	"7"	"2"	"592"
