"Candidates.Name"	"KRISHNA.BIHARI.SINGH"	"DHARMPAL.SINGH"	"MALTI.DEVI"	"MUNNI.DEVI"	"SRISHIVAJEET.MISHRA"	"ARUNESHWAR.KUMAR"	"KALIKA.PRASAD.SINGH"	"MD..FAZLUR.RAHMAN"	"Total.Valid.Votes"
"1"	"Booth No."	""	""	""	""	""	""	""	""	""
"2"	"1"	"97"	"231"	"11"	"80"	"202"	"21"	"9"	"19"	"670"
"3"	"2"	"55"	"357"	"26"	"65"	"135"	"23"	"19"	"30"	"710"
"4"	"3"	"85"	"46"	"12"	"74"	"330"	"22"	"15"	"60"	"644"
"5"	"4"	"12"	"73"	"5"	"217"	"22"	"5"	"2"	"11"	"347"
"6"	"5"	"35"	"105"	"21"	"160"	"113"	"17"	"11"	"20"	"482"
"7"	"6"	"13"	"27"	"5"	"37"	"618"	"7"	"3"	"5"	"715"
"8"	"7"	"9"	"11"	"1"	"34"	"545"	"10"	"1"	"7"	"618"
"9"	"8"	"12"	"9"	"4"	"32"	"282"	"11"	"1"	"14"	"365"
"10"	"9"	"22"	"57"	"9"	"103"	"55"	"5"	"5"	"2"	"258"
"11"	"10"	"6"	"6"	"1"	"12"	"338"	"4"	"2"	"10"	"379"
"12"	"11"	"106"	"123"	"12"	"294"	"22"	"2"	"5"	"7"	"571"
"13"	"12"	"19"	"75"	"13"	"258"	"27"	"10"	"3"	"7"	"412"
"14"	"13"	"71"	"139"	"8"	"110"	"21"	"8"	"6"	"5"	"368"
"15"	"14"	"146"	"122"	"20"	"258"	"26"	"23"	"20"	"28"	"643"
"16"	"15"	"91"	"137"	"38"	"380"	"48"	"11"	"14"	"22"	"741"
"17"	"16"	"163"	"79"	"6"	"87"	"22"	"4"	"3"	"6"	"370"
"18"	"17"	"18"	"203"	"11"	"106"	"63"	"7"	"5"	"12"	"425"
"19"	"18"	"5"	"39"	"3"	"138"	"50"	"6"	"1"	"8"	"250"
"20"	"19"	"1"	"24"	"4"	"76"	"41"	"2"	"2"	"5"	"155"
"21"	"20"	"150"	"156"	"13"	"70"	"7"	"5"	"9"	"15"	"425"
"22"	"21"	"62"	"180"	"9"	"8"	"30"	"5"	"12"	"23"	"329"
"23"	"22"	"17"	"224"	"16"	"245"	"18"	"6"	"12"	"10"	"548"
"24"	"23"	"21"	"135"	"8"	"122"	"20"	"4"	"3"	"18"	"331"
"25"	"24"	"40"	"96"	"14"	"284"	"23"	"5"	"6"	"13"	"481"
"26"	"25"	"131"	"95"	"3"	"329"	"11"	"1"	"0"	"6"	"576"
"27"	"26"	"31"	"114"	"18"	"254"	"24"	"7"	"2"	"6"	"456"
"28"	"27"	"26"	"163"	"12"	"271"	"13"	"10"	"5"	"9"	"509"
"29"	"28"	"35"	"320"	"11"	"142"	"53"	"7"	"14"	"15"	"597"
"30"	"29"	"11"	"51"	"3"	"130"	"30"	"2"	"5"	"11"	"243"
"31"	"30"	"197"	"92"	"8"	"169"	"88"	"5"	"1"	"19"	"579"
"32"	"31"	"36"	"151"	"11"	"272"	"141"	"12"	"13"	"9"	"645"
"33"	"32"	"32"	"96"	"9"	"224"	"78"	"4"	"2"	"2"	"447"
"34"	"33"	"19"	"37"	"2"	"186"	"10"	"2"	"0"	"4"	"260"
"35"	"34"	"18"	"31"	"6"	"239"	"15"	"4"	"1"	"3"	"317"
"36"	"35"	"47"	"180"	"7"	"220"	"9"	"7"	"5"	"8"	"483"
"37"	"36"	"10"	"240"	"11"	"121"	"15"	"2"	"7"	"6"	"412"
"38"	"37"	"9"	"102"	"3"	"111"	"20"	"2"	"4"	"7"	"258"
"39"	"38"	"10"	"72"	"2"	"201"	"25"	"1"	"1"	"1"	"313"
"40"	"39"	"25"	"117"	"6"	"52"	"175"	"14"	"3"	"14"	"406"
"41"	"40"	"25"	"34"	"2"	"72"	"14"	"3"	"2"	"0"	"152"
"42"	"41"	"42"	"18"	"13"	"328"	"50"	"5"	"1"	"4"	"461"
"43"	"42"	"32"	"260"	"9"	"102"	"13"	"1"	"5"	"4"	"426"
"44"	"43"	"37"	"218"	"12"	"180"	"9"	"9"	"7"	"2"	"474"
"45"	"44"	"3"	"73"	"3"	"209"	"10"	"0"	"2"	"0"	"300"
"46"	"45"	"22"	"142"	"11"	"58"	"7"	"7"	"5"	"22"	"274"
"47"	"45"	"22"	"137"	"6"	"61"	"4"	"5"	"5"	"17"	"257"
"48"	"46"	"36"	"313"	"18"	"65"	"16"	"9"	"21"	"36"	"514"
"49"	"47"	"24"	"123"	"10"	"327"	"22"	"13"	"8"	"14"	"541"
"50"	"48"	"20"	"76"	"4"	"315"	"156"	"10"	"4"	"5"	"590"
"51"	"49"	"25"	"107"	"7"	"330"	"114"	"12"	"7"	"13"	"615"
"52"	"50"	"58"	"29"	"10"	"367"	"75"	"14"	"4"	"5"	"562"
"53"	"Candidates Name"	"KRISHNA BIHARI SINGH"	"DHARMPAL SINGH"	"MALTI DEVI"	"MUNNI DEVI"	"SRISHIVAJEET MISHRA"	"ARUNESHWAR KUMAR"	"KALIKA PRASAD SINGH"	"MD. FAZLUR RAHMAN"	"Total Valid Votes"
"54"	"Booth No."	""	""	""	""	""	""	""	""	""
"55"	"51"	"2"	"42"	"7"	"591"	"9"	"1"	"0"	"1"	"653"
"56"	"52"	"21"	"48"	"17"	"393"	"86"	"12"	"8"	"38"	"623"
"57"	"53"	"7"	"26"	"13"	"362"	"100"	"3"	"2"	"19"	"532"
