"ANNEXURE...XLII..CHAPTER.XIV..PARA.25.9..FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ SEE RULE 56C(2) (c)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 56 PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 2,34,757"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly/ Segment 24- Bathnaha (SC) Assembly Constituency (in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"7"	""	""	"Ganesh Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjay Ram"	"Nagesh war Paswan"	"Manchit Paswan"	"Mahendr a Manjhi"	"Arun Kumar Paswan"	"Gagan Dev Paswan"	"Bacchu Paswan"	"Bijnand an Kumar"	""	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"9"	"1"	"1"	"17"	"101"	"339"	"53"	"23"	"6"	"27"	"8"	"28"	"3"	"13"	"618"	"0"	"618"	"0"
"10"	"2"	"2"	"4"	"199"	"127"	"31"	"7"	"1"	"1"	"2"	"4"	"1"	"2"	"379"	"0"	"379"	"0"
"11"	"3"	"3"	"19"	"100"	"291"	"18"	"7"	"1"	"5"	"4"	"36"	"15"	"22"	"518"	"0"	"518"	"0"
"12"	"4"	"4"	"17"	"174"	"14"	"26"	"11"	"5"	"84"	"7"	"9"	"4"	"14"	"365"	"0"	"365"	"0"
"13"	"5"	"5"	"11"	"114"	"488"	"15"	"7"	"0"	"0"	"3"	"18"	"4"	"3"	"663"	"0"	"663"	"0"
"14"	"6"	"6"	"16"	"202"	"50"	"39"	"3"	"1"	"2"	"1"	"9"	"1"	"5"	"329"	"0"	"329"	"0"
"15"	"7"	"7"	"13"	"451"	"67"	"31"	"7"	"2"	"1"	"2"	"2"	"3"	"4"	"583"	"0"	"583"	"0"
"16"	"8"	"8"	"9"	"327"	"106"	"26"	"12"	"0"	"6"	"1"	"13"	"3"	"9"	"512"	"0"	"512"	"0"
"17"	"9"	"9"	"3"	"260"	"53"	"9"	"37"	"4"	"4"	"1"	"12"	"4"	"9"	"396"	"0"	"396"	"0"
"18"	"10"	"10"	"30"	"322"	"181"	"31"	"115"	"12"	"5"	"8"	"32"	"17"	"30"	"783"	"0"	"783"	"0"
"19"	"11"	"11"	"23"	"196"	"330"	"48"	"9"	"8"	"9"	"8"	"45"	"4"	"20"	"700"	"0"	"700"	"0"
"20"	"12"	"12"	"14"	"459"	"86"	"23"	"10"	"4"	"2"	"5"	"10"	"12"	"20"	"645"	"0"	"645"	"0"
"21"	"13"	"13"	"35"	"341"	"42"	"27"	"22"	"12"	"10"	"5"	"4"	"11"	"23"	"532"	"0"	"532"	"0"
"22"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"23"	""	""	"Ganesh Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjay Ram"	"Nagesh war Paswan"	"Manchit Paswan"	"Mahendr a Manjhi"	"Arun Kumar Paswan"	"Gagan Dev Paswan"	"Bacchu Paswan"	"Bijnand an Kumar"	""	""	""	""
"24"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"25"	"14"	"14"	"32"	"277"	"81"	"28"	"15"	"1"	"5"	"6"	"22"	"9"	"22"	"498"	"0"	"498"	"0"
"26"	"15"	"15"	"17"	"302"	"83"	"12"	"9"	"4"	"3"	"1"	"7"	"8"	"16"	"462"	"0"	"462"	"0"
"27"	"16"	"16"	"17"	"303"	"106"	"65"	"14"	"6"	"4"	"8"	"40"	"13"	"25"	"601"	"0"	"601"	"0"
"28"	"17"	"17"	"7"	"327"	"73"	"56"	"3"	"0"	"2"	"3"	"11"	"3"	"1"	"486"	"0"	"486"	"0"
"29"	"18"	"18"	"29"	"268"	"192"	"47"	"11"	"8"	"5"	"19"	"41"	"15"	"29"	"664"	"0"	"664"	"0"
"30"	"19"	"19"	"12"	"124"	"214"	"48"	"10"	"5"	"0"	"1"	"13"	"2"	"3"	"432"	"0"	"432"	"0"
"31"	"20"	"20"	"28"	"250"	"95"	"29"	"10"	"10"	"6"	"10"	"29"	"7"	"19"	"493"	"0"	"493"	"0"
"32"	"21"	"21"	"9"	"29"	"219"	"22"	"6"	"3"	"2"	"8"	"41"	"5"	"7"	"351"	"0"	"351"	"0"
"33"	"22"	"22"	"11"	"198"	"195"	"104"	"11"	"3"	"7"	"8"	"51"	"13"	"52"	"653"	"0"	"653"	"0"
"34"	"23"	"23"	"24"	"141"	"325"	"58"	"5"	"2"	"4"	"5"	"36"	"8"	"20"	"628"	"0"	"628"	"0"
"35"	"24"	"24"	"4"	"94"	"496"	"22"	"5"	"0"	"4"	"1"	"19"	"8"	"17"	"670"	"0"	"670"	"0"
"36"	"25"	"25"	"29"	"204"	"205"	"135"	"12"	"12"	"10"	"11"	"44"	"16"	"14"	"692"	"0"	"692"	"0"
"37"	"26"	"26"	"10"	"98"	"40"	"48"	"6"	"4"	"2"	"4"	"10"	"8"	"12"	"242"	"0"	"242"	"0"
