"Polling.Booth.Number"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"Total.of.valid.votes"	"No.of..rejected.votes"	"Total"	"No..of.Tenders.Votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"3"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"4"	"1"	31	16	249	246	11	8	16	16	7	8	8	8	7	"631"	""	"631"	""
"5"	"2"	10	2	138	102	8	5	4	14	1	8	7	6	11	"316"	""	"316"	""
"6"	"3"	4	2	265	37	4	2	3	10	3	2	3	13	15	"363"	""	"363"	""
"7"	"4"	1	3	303	228	3	3	14	96	5	3	6	3	13	"681"	""	"681"	""
"8"	"5"	7	1	310	82	9	4	3	13	2	0	32	8	18	"489"	""	"489"	""
"9"	"6"	12	3	171	129	2	1	6	10	1	2	6	2	20	"365"	""	"365"	""
"10"	"7"	11	6	202	157	12	4	11	15	6	7	26	9	36	"502"	""	"502"	""
"11"	"8"	6	13	217	316	10	9	21	30	2	5	10	10	12	"661"	""	"661"	""
"12"	"9"	4	3	317	276	17	1	22	11	6	1	7	7	38	"710"	""	"710"	""
"13"	"10"	32	8	254	346	13	12	13	27	4	5	10	8	48	"780"	""	"780"	""
"14"	"11"	19	5	137	224	9	10	15	8	4	2	5	13	27	"478"	""	"478"	""
"15"	"12"	4	5	203	191	23	6	6	7	4	0	6	3	8	"466"	""	"466"	""
"16"	"13"	17	5	240	64	4	1	61	3	2	1	13	3	18	"432"	""	"432"	""
"17"	"14"	0	2	165	87	7	3	6	1	1	11	3	3	8	"297"	""	"297"	""
"18"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"19"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"20"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"21"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"22"	"15"	12	5	240	122	6	2	9	6	4	3	8	7	8	"432"	""	"432"	""
"23"	"16"	17	8	204	163	4	3	22	9	1	2	5	6	5	"449"	""	"449"	""
"24"	"17"	11	6	221	127	1	3	18	6	5	3	7	5	26	"439"	""	"439"	""
"25"	"18"	21	3	136	202	2	1	11	7	0	0	2	5	6	"396"	""	"396"	""
"26"	"19"	17	9	145	177	14	2	5	15	5	9	6	21	19	"444"	""	"444"	""
"27"	"20"	14	3	216	89	7	4	1	5	2	5	8	5	7	"366"	""	"366"	""
"28"	"21"	8	1	91	196	10	2	14	12	1	4	3	5	18	"365"	""	"365"	""
"29"	"22"	3	5	143	228	9	9	15	12	6	11	7	16	27	"491"	""	"491"	""
"30"	"23"	6	3	162	265	7	1	12	7	3	10	7	7	7	"497"	""	"497"	""
"31"	"24"	12	5	182	194	6	6	18	7	3	9	35	18	33	"528"	""	"528"	""
"32"	"25"	13	9	170	168	3	5	7	7	1	5	3	6	12	"409"	""	"409"	""
"33"	"26"	6	7	197	342	10	3	25	7	2	5	4	3	19	"630"	""	"630"	""
"34"	"27"	6	6	301	188	7	2	11	12	8	3	4	7	21	"576"	""	"576"	""
"35"	"28"	14	8	271	275	7	3	21	8	3	5	25	110	15	"765"	""	"765"	""
"36"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"37"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"38"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"39"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"40"	"29"	10	4	125	164	4	3	4	5	2	3	0	204	13	"541"	""	"541"	""
"41"	"30"	24	4	312	42	4	2	4	11	2	3	37	20	16	"481"	""	"481"	""
"42"	"31"	4	3	131	153	19	2	8	11	2	5	14	117	17	"486"	""	"486"	""
"43"	"32"	9	7	317	64	3	2	2	6	0	1	10	15	14	"450"	""	"450"	""
"44"	"33"	12	6	139	194	15	10	14	8	6	6	26	142	21	"599"	""	"599"	""
"45"	"34"	18	11	239	120	6	7	13	26	9	11	157	107	25	"749"	""	"749"	""
"46"	"35"	20	2	343	271	13	10	17	11	2	3	5	6	18	"721"	""	"721"	""
"47"	"36"	9	2	147	362	14	2	15	9	1	3	0	3	4	"571"	""	"571"	""
"48"	"37"	6	2	256	110	52	7	10	7	4	5	75	11	25	"570"	""	"570"	""
"49"	"38"	5	3	88	341	20	8	16	11	1	9	7	6	19	"534"	""	"534"	""
"50"	"39"	11	3	91	431	21	8	16	15	3	6	40	12	9	"666"	""	"666"	""
"51"	"40"	13	6	144	409	15	9	20	7	2	4	2	4	10	"645"	""	"645"	""
