"Polling.Station.No."	"Ajeet.Sharma"	"Arun.Bajoriya"	"Ashwani.Kumar.Choubey"	"Dr...N...K..Yadav"	"Shekhar.Mehtar"	"Tarkeshwer.Pd..Mishra"	"Mukesh.Mukta.Das"	"Rajeev.Mishra"	"Rajesh.Mishra"	"Syed.Asad.Iqbal"	"Anand.Kumar.Jain"	"Jajweer.Quasmi"	"Jata.Shankar.Thakur"	"Dayaram.Mandal"	"Bijai.Kumar.Mandal"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No.........of.Tendered.Votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"2"	"1"	60	3	245	62	3	1	7	4	1	0	4	9	8	6	12	425	0	425	NA
"3"	"2"	57	2	281	206	7	1	1	2	3	4	5	31	24	63	28	715	0	715	NA
"4"	"3"	90	1	228	59	9	0	1	0	0	1	0	5	5	4	4	407	0	407	NA
"5"	"4"	38	0	211	78	10	2	0	0	1	0	0	3	2	6	2	353	0	353	NA
"6"	"5"	109	3	78	135	3	0	1	0	0	0	1	20	3	3	6	362	0	362	NA
"7"	"6"	91	2	29	198	6	0	0	0	2	2	6	23	7	11	13	390	0	390	NA
"8"	"7"	49	1	231	87	2	1	0	0	2	3	3	4	2	5	2	392	0	392	NA
"9"	"7-A"	44	3	207	63	3	4	3	0	1	0	1	2	0	1	4	336	0	336	NA
"10"	"8"	272	1	67	83	3	0	0	0	1	0	0	14	4	2	6	453	0	453	NA
"11"	"9"	235	5	76	208	3	5	98	3	10	5	7	18	12	16	23	724	0	724	NA
"12"	"10"	221	4	16	129	13	1	1	0	0	2	2	13	0	3	9	414	0	414	NA
"13"	"11"	167	1	32	56	3	0	1	0	0	2	0	11	1	3	5	282	0	282	NA
"14"	"12"	119	1	91	183	8	1	4	1	3	0	2	11	3	9	9	445	0	445	NA
"15"	"13"	111	4	165	92	0	1	3	2	1	1	2	8	4	5	7	406	0	406	NA
"16"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
