"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy ,  mi ; ksx esa yk; k t k, ½ 162& dVksfj ; k ¼v0 t 0 t k0½fuokZpu {ks= esa fo/kku l Hkk {ks= ds fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ -------------------------------           l Hkk fuokZpu {ks= [ k.M esa fuokZpdksa dh dqy  l a[ ; k --------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk  er ksa
dh  l a[ ; k"
"8"	""	"i q\"i y kr k
eqewZ"	"ckcqj ke
ckl dh"	"eaxy kuan
fd Ld q"	"j kst esj h
fd Ld q"	"l qd y ky
csl j k"	"l ksusy ky
gsEcze"	"eaxy  gsEcze"	"l qj sUnz  y ky
gsej e"	""	""	""	""
"9"	"1"	"25"	"18"	"4"	"11"	"135"	"118"	"9"	"219"	"539"	"0"	"539"	"0"
"10"	"2"	"11"	"17"	"6"	"10"	"86"	"145"	"34"	"82"	"391"	"0"	"391"	"0"
"11"	"3"	"25"	"22"	"12"	"11"	"321"	"79"	"8"	"39"	"517"	"0"	"517"	"0"
"12"	"4"	"32"	"25"	"14"	"17"	"322"	"21"	"7"	"12"	"450"	"0"	"450"	"0"
"13"	"5"	"44"	"32"	"5"	"26"	"207"	"118"	"17"	"73"	"522"	"0"	"522"	"0"
"14"	"6"	"29"	"21"	"4"	"18"	"211"	"40"	"12"	"30"	"365"	"0"	"365"	"0"
"15"	"7"	"0"	"0"	"0"	"0"	"15"	"236"	"4"	"29"	"284"	"0"	"284"	"0"
"16"	"8"	"10"	"14"	"4"	"9"	"92"	"169"	"8"	"36"	"342"	"0"	"342"	"0"
"17"	"9"	"29"	"23"	"9"	"15"	"59"	"232"	"21"	"78"	"466"	"0"	"466"	"0"
"18"	"10"	"22"	"32"	"13"	"16"	"154"	"54"	"9"	"19"	"319"	"0"	"319"	"0"
"19"	"11"	"19"	"24"	"15"	"16"	"170"	"189"	"32"	"81"	"546"	"0"	"546"	"0"
"20"	"12"	"35"	"41"	"17"	"14"	"147"	"194"	"22"	"82"	"552"	"0"	"552"	"0"
"21"	"13"	"21"	"15"	"10"	"12"	"180"	"17"	"2"	"17"	"274"	"0"	"274"	"0"
"22"	"14"	"27"	"21"	"16"	"21"	"275"	"39"	"12"	"22"	"433"	"0"	"433"	"0"
"23"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk  er ksa
dh  l a[ ; k"
"24"	""	"i q\"i y kr k
eqewZ"	"ckcqj ke
ckl dh"	"eaxy kuan
fd Ld q"	"j kst esj h
fd Ld q"	"l qd y ky
csl j k"	"l ksusy ky
gsEcze"	"eaxy  gsEcze"	"l qj sUnz  y ky
gsej e"	""	""	""	""
"25"	"15"	"6"	"30"	"8"	"11"	"189"	"48"	"4"	"30"	"326"	"0"	"326"	"0"
"26"	"16"	"10"	"16"	"6"	"5"	"73"	"216"	"8"	"35"	"369"	"0"	"369"	"0"
"27"	"17"	"23"	"25"	"14"	"10"	"125"	"146"	"7"	"35"	"385"	"0"	"385"	"0"
