"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"R"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"BOOTH NO"	"UMESH KUMAR RAM"	"RAJ KUMAR CHAUDHA"	"LAKHINDRA RAM"	"LAL BABU RAM"	"SURESH CHANCHAL"	"ABHAY KUMAR"	"REKHA DEVI"	"GANAUR RAM"	"BILAT PASWAN"	"Total Valid Votes"	"Total No of REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"4"	"1"	"22"	"0"	"1"	"151"	"346"	"10"	"4"	"10"	"19"	"563"	""	""
"5"	"2"	"23"	"3"	"2"	"286"	"181"	"19"	"6"	"9"	"20"	"549"	""	""
"6"	"3"	"21"	"4"	"5"	"124"	"233"	"11"	"0"	"3"	"15"	"416"	""	""
"7"	"4"	"73"	"4"	"1"	"207"	"340"	"24"	"2"	"7"	"22"	"680"	""	""
"8"	"5"	"42"	"7"	"11"	"340"	"315"	"16"	"4"	"9"	"13"	"757"	""	""
"9"	"6"	"17"	"3"	"2"	"144"	"385"	"15"	"2"	"4"	"6"	"578"	""	""
"10"	"7"	"16"	"4"	"2"	"96"	"236"	"11"	"7"	"14"	"10"	"396"	""	""
"11"	"8"	"18"	"3"	"7"	"438"	"184"	"21"	"4"	"11"	"10"	"696"	""	""
"12"	"9"	"26"	"5"	"6"	"243"	"392"	"13"	"8"	"21"	"26"	"740"	""	""
"13"	"10"	"41"	"1"	"10"	"137"	"416"	"15"	"5"	"18"	"24"	"667"	""	""
"14"	"11"	"65"	"6"	"5"	"71"	"340"	"8"	"2"	"8"	"7"	"512"	""	""
"15"	"12"	"8"	"1"	"3"	"35"	"170"	"5"	"0"	"4"	"3"	"229"	""	""
"16"	"13"	"33"	"5"	"7"	"42"	"277"	"25"	"4"	"6"	"16"	"415"	""	""
"17"	"14"	"25"	"1"	"7"	"65"	"242"	"9"	"3"	"5"	"15"	"372"	""	""
"18"	"15"	"52"	"5"	"7"	"111"	"257"	"15"	"9"	"10"	"20"	"486"	""	""
"19"	"16"	"38"	"7"	"3"	"168"	"364"	"10"	"5"	"13"	"15"	"623"	""	""
"20"	"17"	"47"	"5"	"6"	"105"	"482"	"22"	"18"	"20"	"29"	"734"	""	""
"21"	"18"	"35"	"2"	"1"	"48"	"283"	"15"	"7"	"10"	"25"	"426"	""	""
"22"	"19"	"31"	"13"	"6"	"133"	"203"	"14"	"14"	"233"	"71"	"718"	""	""
"23"	"20"	"32"	"6"	"2"	"150"	"336"	"13"	"5"	"49"	"23"	"616"	""	""
"24"	"21"	"57"	"2"	"5"	"140"	"361"	"13"	"9"	"29"	"41"	"657"	""	""
"25"	"22"	"10"	"1"	"2"	"56"	"257"	"14"	"4"	"1"	"7"	"352"	""	""
"26"	"23"	"45"	"2"	"2"	"303"	"217"	"12"	"7"	"14"	"9"	"611"	""	""
"27"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"R"	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"BOOTH NO"	"UMESH KUMAR RAM"	"RAJ KUMAR CHAUDHA"	"LAKHINDRA RAM"	"LAL BABU RAM"	"SURESH CHANCHAL"	"ABHAY KUMAR"	"REKHA DEVI"	"GANAUR RAM"	"BILAT PASWAN"	"Total Valid Votes"	"Total No of REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"31"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"32"	"24"	"97"	"2"	"5"	"163"	"322"	"24"	"5"	"15"	"20"	"653"	""	""
"33"	"25"	"16"	"3"	"4"	"199"	"393"	"14"	"4"	"5"	"21"	"659"	""	""
"34"	"26"	"21"	"5"	"1"	"192"	"219"	"22"	"2"	"10"	"18"	"490"	""	""
"35"	"27"	"19"	"1"	"3"	"104"	"400"	"19"	"6"	"7"	"33"	"592"	""	""
"36"	"28"	"9"	"2"	"1"	"458"	"99"	"12"	"4"	"5"	"6"	"596"	""	""
"37"	"29"	"57"	"5"	"1"	"232"	"142"	"12"	"2"	"9"	"12"	"472"	""	""
"38"	"30"	"17"	"1"	"4"	"195"	"268"	"11"	"5"	"6"	"6"	"513"	""	""
"39"	"31"	"78"	"6"	"1"	"162"	"387"	"15"	"2"	"8"	"24"	"683"	""	""
"40"	"32"	"43"	"5"	"8"	"255"	"363"	"10"	"0"	"8"	"8"	"700"	""	""
"41"	"33"	"36"	"0"	"1"	"111"	"186"	"10"	"3"	"4"	"10"	"361"	""	""
"42"	"34"	"64"	"5"	"1"	"11"	"193"	"5"	"2"	"3"	"0"	"284"	""	""
"43"	"35"	"69"	"5"	"9"	"168"	"365"	"16"	"7"	"8"	"15"	"662"	""	""
"44"	"36"	"70"	"7"	"8"	"198"	"500"	"24"	"12"	"12"	"16"	"847"	""	""
"45"	"37"	"70"	"5"	"4"	"150"	"321"	"10"	"2"	"4"	"5"	"571"	""	""
"46"	"38"	"248"	"15"	"6"	"97"	"362"	"19"	"3"	"13"	"12"	"775"	""	""
"47"	"39"	"27"	"9"	"9"	"348"	"288"	"8"	"5"	"5"	"9"	"708"	""	""
"48"	"40"	"76"	"10"	"2"	"150"	"592"	"16"	"5"	"11"	"19"	"881"	""	""
"49"	"41"	"37"	"1"	"1"	"36"	"338"	"18"	"8"	"7"	"28"	"474"	""	""
"50"	"42"	"20"	"5"	"7"	"194"	"270"	"14"	"6"	"6"	"22"	"544"	""	""
"51"	"43"	"32"	"2"	"6"	"299"	"405"	"21"	"4"	"15"	"5"	"789"	""	""
"52"	"44"	"79"	"6"	"2"	"167"	"321"	"10"	"2"	"6"	"6"	"599"	""	""
"53"	"45"	"30"	"9"	"9"	"124"	"314"	"19"	"7"	"4"	"12"	"528"	""	""
"54"	"46"	"23"	"5"	"1"	"221"	"228"	"9"	"4"	"6"	"10"	"507"	""	""
"55"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"R"	""	""	""	""	""	""	""	""	""	""	""	""
