"،"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"dqy..fof.k.ekU...er"	"i.zfr..ksfi.r..er.ksa.dh.l.a....k"	"X..ksx"	"fufonRr..er.ksa.dh.l.a....k"
"1"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"2"	"1"	"1"	"18"	"4"	"432"	"14"	"194"	"10"	"9"	"5"	"8"	"10"	"37"	"741"	"0"	"741"	"0"
"3"	"2"	"2"	"28"	"16"	"645"	"26"	"86"	"10"	"9"	"13"	"10"	"11"	"51"	"905"	"0"	"905"	"0"
"4"	"3"	"3"	"15"	"51"	"255"	"4"	"59"	"2"	"1"	"4"	"6"	"1"	"6"	"404"	"0"	"404"	"0"
"5"	"4"	"4"	"30"	"112"	"241"	"9"	"36"	"1"	"5"	"4"	"3"	"4"	"11"	"456"	"0"	"456"	"0"
"6"	"5"	"5"	"15"	"39"	"300"	"11"	"128"	"7"	"4"	"3"	"4"	"4"	"16"	"531"	"0"	"531"	"0"
"7"	"6"	"6"	"17"	"18"	"643"	"11"	"36"	"4"	"6"	"2"	"13"	"12"	"35"	"797"	"0"	"797"	"0"
"8"	"7"	"7"	"24"	"71"	"506"	"20"	"69"	"6"	"6"	"7"	"7"	"2"	"10"	"728"	"0"	"728"	"0"
"9"	"8"	"8"	"10"	"27"	"301"	"13"	"83"	"6"	"9"	"8"	"9"	"5"	"27"	"498"	"0"	"498"	"0"
"10"	"9"	"9"	"16"	"43"	"504"	"10"	"183"	"4"	"6"	"5"	"5"	"2"	"7"	"785"	"0"	"785"	"0"
"11"	"10"	"10"	"25"	"52"	"582"	"22"	"116"	"10"	"9"	"8"	"6"	"7"	"15"	"852"	"0"	"852"	"0"
"12"	"11"	"11"	"26"	"25"	"635"	"24"	"17"	"6"	"10"	"9"	"12"	"11"	"47"	"822"	"0"	"822"	"0"
"13"	"12"	"12"	"34"	"45"	"629"	"31"	"32"	"8"	"6"	"6"	"8"	"11"	"45"	"855"	"0"	"855"	"0"
"14"	"13"	"13"	"24"	"30"	"736"	"5"	"45"	"3"	"6"	"4"	"6"	"2"	"9"	"870"	"0"	"870"	"0"
"15"	"14"	"14"	"29"	"20"	"575"	"18"	"70"	"5"	"8"	"6"	"6"	"9"	"38"	"784"	"0"	"784"	"0"
"16"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"17"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"18"	"15"	"15"	"24"	"95"	"94"	"4"	"419"	"10"	"2"	"4"	"2"	"2"	"4"	"660"	"0"	"660"	"0"
"19"	"16"	"16"	"23"	"164"	"171"	"9"	"33"	"5"	"4"	"3"	"3"	"6"	"10"	"431"	"0"	"431"	"0"
"20"	"17"	"17"	"10"	"6"	"219"	"12"	"76"	"8"	"2"	"1"	"0"	"0"	"5"	"339"	"0"	"339"	"0"
"21"	"18"	"18"	"32"	"15"	"121"	"5"	"146"	"3"	"2"	"3"	"4"	"4"	"17"	"352"	"0"	"352"	"0"
"22"	"19"	"18A"	"34"	"16"	"297"	"8"	"121"	"8"	"3"	"3"	"1"	"6"	"11"	"508"	"0"	"508"	"0"
"23"	"20"	"19"	"20"	"46"	"440"	"12"	"112"	"9"	"9"	"11"	"6"	"19"	"27"	"711"	"0"	"711"	"0"
"24"	"21"	"20"	"46"	"48"	"512"	"15"	"54"	"9"	"7"	"5"	"4"	"18"	"12"	"730"	"0"	"730"	"0"
"25"	"22"	"21"	"6"	"23"	"75"	"7"	"330"	"13"	"7"	"1"	"1"	"2"	"7"	"472"	"0"	"472"	"0"
"26"	"23"	"21A"	"44"	"8"	"8"	"2"	"462"	"11"	"3"	"1"	"1"	"2"	"5"	"547"	"0"	"547"	"0"
"27"	"24"	"22"	"35"	"51"	"111"	"6"	"349"	"15"	"4"	"3"	"2"	"9"	"29"	"614"	"0"	"614"	"0"
"28"	"25"	"23"	"88"	"7"	"349"	"7"	"118"	"4"	"3"	"3"	"9"	"11"	"7"	"606"	"0"	"606"	"0"
"29"	"26"	"24"	"25"	"13"	"637"	"11"	"46"	"2"	"2"	"2"	"4"	"7"	"14"	"763"	"0"	"763"	"0"
"30"	"27"	"25"	"329"	"68"	"37"	"9"	"228"	"8"	"3"	"5"	"6"	"15"	"29"	"737"	"0"	"737"	"0"
"31"	"28"	"26"	"4"	"5"	"132"	"4"	"33"	"0"	"3"	"0"	"2"	"1"	"2"	"186"	"0"	"186"	"0"
"32"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"33"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"34"	"29"	"27"	"54"	"39"	"212"	"8"	"360"	"12"	"5"	"1"	"5"	"14"	"17"	"727"	"0"	"727"	"0"
"35"	"30"	"28"	"35"	"39"	"707"	"15"	"26"	"3"	"3"	"1"	"0"	"21"	"3"	"853"	"0"	"853"	"0"
"36"	"31"	"29"	"11"	"50"	"379"	"7"	"82"	"2"	"5"	"2"	"8"	"21"	"11"	"578"	"0"	"578"	"0"
"37"	"32"	"30"	"28"	"18"	"623"	"30"	"52"	"33"	"10"	"10"	"10"	"19"	"28"	"861"	"0"	"861"	"0"
"38"	"33"	"31"	"42"	"20"	"628"	"13"	"46"	"10"	"5"	"10"	"6"	"11"	"53"	"844"	"0"	"844"	"0"
"39"	"34"	"32"	"239"	"25"	"218"	"5"	"52"	"3"	"10"	"8"	"6"	"5"	"7"	"578"	"0"	"578"	"0"
"40"	"35"	"33"	"149"	"17"	"321"	"8"	"111"	"9"	"8"	"7"	"5"	"11"	"8"	"654"	"0"	"654"	"0"
"41"	"36"	"34"	"344"	"32"	"192"	"9"	"132"	"10"	"9"	"17"	"13"	"29"	"37"	"824"	"0"	"824"	"0"
"42"	"37"	"35"	"82"	"132"	"241"	"12"	"200"	"9"	"4"	"14"	"14"	"9"	"20"	"737"	"0"	"737"	"0"
"43"	"38"	"36"	"159"	"21"	"411"	"13"	"90"	"4"	"6"	"7"	"8"	"9"	"13"	"741"	"0"	"741"	"0"
"44"	"39"	"37"	"173"	"14"	"221"	"4"	"64"	"3"	"1"	"2"	"3"	"2"	"6"	"493"	"0"	"493"	"0"
"45"	"40"	"38"	"218"	"18"	"358"	"8"	"88"	"6"	"3"	"6"	"7"	"5"	"14"	"731"	"0"	"731"	"0"
"46"	"41"	"39"	"388"	"15"	"137"	"2"	"185"	"2"	"4"	"3"	"9"	"11"	"22"	"778"	"0"	"778"	"0"
"47"	"42"	"40"	"149"	"7"	"347"	"4"	"72"	"4"	"1"	"1"	"6"	"6"	"20"	"617"	"0"	"617"	"0"
"48"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"49"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"50"	"43"	"41"	"31"	"8"	"656"	"13"	"50"	"3"	"2"	"1"	"0"	"2"	"15"	"781"	"0"	"781"	"0"
"51"	"44"	"42"	"10"	"4"	"363"	"6"	"19"	"2"	"3"	"0"	"0"	"1"	"3"	"411"	"0"	"411"	"0"
"52"	"45"	"43"	"33"	"30"	"685"	"17"	"25"	"7"	"9"	"12"	"15"	"14"	"39"	"886"	"0"	"886"	"0"
"53"	"46"	"44"	"105"	"49"	"301"	"5"	"10"	"3"	"1"	"1"	"3"	"1"	"1"	"480"	"0"	"480"	"0"
"54"	"47"	"45"	"19"	"124"	"665"	"22"	"6"	"8"	"10"	"10"	"6"	"8"	"23"	"901"	"0"	"901"	"0"
"55"	"48"	"46"	"96"	"130"	"591"	"11"	"49"	"3"	"5"	"5"	"8"	"0"	"13"	"911"	"0"	"911"	"0"
"56"	"49"	"47"	"65"	"359"	"246"	"9"	"29"	"5"	"10"	"11"	"13"	"14"	"46"	"807"	"0"	"807"	"0"
"57"	"50"	"48"	"150"	"25"	"611"	"22"	"23"	"7"	"10"	"6"	"14"	"14"	"21"	"903"	"0"	"903"	"0"
"58"	"51"	"49"	"268"	"74"	"275"	"33"	"84"	"12"	"7"	"9"	"15"	"28"	"36"	"841"	"0"	"841"	"0"
"59"	"52"	"50"	"222"	"11"	"71"	"4"	"23"	"1"	"1"	"2"	"3"	"6"	"4"	"348"	"0"	"348"	"0"
"60"	"53"	"50A"	"242"	"104"	"13"	"3"	"62"	"4"	"6"	"5"	"4"	"10"	"22"	"475"	"0"	"475"	"0"
"61"	"54"	"51"	"503"	"73"	"45"	"7"	"28"	"9"	"8"	"4"	"7"	"10"	"41"	"735"	"0"	"735"	"0"
"62"	"55"	"52"	"185"	"50"	"130"	"6"	"123"	"12"	"9"	"11"	"6"	"5"	"15"	"552"	"0"	"552"	"0"
"63"	"56"	"53"	"24"	"46"	"716"	"25"	"24"	"10"	"16"	"11"	"13"	"12"	"36"	"933"	"0"	"933"	"0"
"64"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"65"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"66"	"57"	"54"	"24"	"63"	"582"	"15"	"38"	"7"	"8"	"8"	"9"	"13"	"24"	"791"	"0"	"791"	"0"
"67"	"58"	"55"	"26"	"7"	"864"	"11"	"100"	"11"	"3"	"5"	"3"	"1"	"3"	"1034"	"0"	"1034"	"0"
"68"	"59"	"56"	"11"	"17"	"641"	"15"	"50"	"6"	"13"	"5"	"3"	"3"	"10"	"774"	"0"	"774"	"0"
"69"	"60"	"57"	"36"	"16"	"713"	"26"	"40"	"6"	"10"	"2"	"9"	"6"	"17"	"881"	"0"	"881"	"0"
"70"	"61"	"58"	"28"	"59"	"435"	"18"	"180"	"13"	"17"	"9"	"6"	"32"	"19"	"816"	"0"	"816"	"0"
"71"	"62"	"59"	"15"	"15"	"454"	"12"	"56"	"6"	"5"	"2"	"4"	"9"	"4"	"582"	"0"	"582"	"0"
"72"	"63"	"59A"	"17"	"176"	"266"	"7"	"12"	"3"	"7"	"10"	"3"	"6"	"9"	"516"	"0"	"516"	"0"
"73"	"64"	"60"	"13"	"40"	"640"	"7"	"39"	"7"	"6"	"2"	"4"	"8"	"10"	"776"	"0"	"776"	"0"
"74"	"65"	"61"	"33"	"169"	"405"	"29"	"39"	"7"	"10"	"12"	"10"	"40"	"12"	"766"	"0"	"766"	"0"
"75"	"66"	"62"	"7"	"10"	"436"	"9"	"56"	"3"	"10"	"8"	"6"	"10"	"1"	"556"	"0"	"556"	"0"
"76"	"67"	"63"	"23"	"23"	"417"	"9"	"11"	"4"	"0"	"5"	"5"	"1"	"8"	"506"	"0"	"506"	"0"
"77"	"68"	"64"	"18"	"94"	"632"	"10"	"49"	"9"	"8"	"2"	"4"	"13"	"9"	"848"	"0"	"848"	"0"
"78"	"69"	"65"	"15"	"29"	"699"	"13"	"30"	"2"	"2"	"4"	"4"	"5"	"15"	"818"	"0"	"818"	"0"
"79"	"70"	"66"	"131"	"190"	"414"	"15"	"53"	"15"	"13"	"22"	"10"	"17"	"9"	"889"	"0"	"889"	"0"
"80"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"81"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"82"	"71"	"67"	"17"	"20"	"718"	"15"	"126"	"9"	"4"	"3"	"3"	"6"	"10"	"931"	"0"	"931"	"0"
"83"	"72"	"68"	"19"	"15"	"536"	"11"	"22"	"2"	"0"	"2"	"2"	"21"	"8"	"638"	"0"	"638"	"0"
"84"	"73"	"69"	"23"	"21"	"587"	"13"	"227"	"4"	"8"	"7"	"5"	"7"	"19"	"921"	"0"	"921"	"0"
"85"	"74"	"70"	"13"	"15"	"243"	"3"	"85"	"1"	"2"	"1"	"2"	"2"	"17"	"384"	"0"	"384"	"0"
"86"	"75"	"71"	"10"	"83"	"341"	"10"	"103"	"3"	"3"	"4"	"4"	"11"	"12"	"584"	"0"	"584"	"0"
"87"	"76"	"72"	"7"	"31"	"358"	"4"	"24"	"1"	"0"	"7"	"6"	"4"	"10"	"452"	"0"	"452"	"0"
"88"	"77"	"73"	"9"	"49"	"396"	"13"	"40"	"3"	"3"	"3"	"2"	"118"	"18"	"654"	"0"	"654"	"0"
"89"	"78"	"74"	"10"	"36"	"433"	"9"	"55"	"10"	"6"	"4"	"6"	"40"	"3"	"612"	"0"	"612"	"0"
"90"	"79"	"75"	"13"	"10"	"528"	"11"	"82"	"0"	"3"	"4"	"2"	"10"	"15"	"678"	"0"	"678"	"0"
"91"	"80"	"76"	"53"	"33"	"30"	"5"	"222"	"0"	"5"	"6"	"1"	"6"	"3"	"364"	"0"	"364"	"0"
"92"	"81"	"76A"	"58"	"30"	"25"	"6"	"235"	"4"	"5"	"5"	"4"	"25"	"9"	"406"	"0"	"406"	"0"
"93"	"82"	"77"	"13"	"14"	"454"	"11"	"37"	"9"	"10"	"11"	"16"	"14"	"39"	"628"	"0"	"628"	"0"
"94"	"83"	"78"	"206"	"29"	"67"	"6"	"271"	"25"	"1"	"4"	"7"	"5"	"26"	"647"	"0"	"647"	"0"
"95"	"84"	"79"	"92"	"11"	"111"	"10"	"443"	"15"	"5"	"5"	"10"	"10"	"32"	"744"	"0"	"744"	"0"
"96"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"97"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"98"	"85"	"80"	"33"	"32"	"432"	"14"	"261"	"14"	"4"	"7"	"3"	"5"	"4"	"809"	"0"	"809"	"0"
"99"	"86"	"81"	"50"	"97"	"270"	"6"	"222"	"8"	"2"	"10"	"2"	"4"	"9"	"680"	"0"	"680"	"0"
"100"	"87"	"82"	"16"	"55"	"376"	"0"	"19"	"14"	"0"	"0"	"24"	"13"	"5"	"522"	"0"	"522"	"0"
"101"	"88"	"83"	"70"	"22"	"306"	"10"	"121"	"5"	"1"	"1"	"3"	"0"	"4"	"543"	"0"	"543"	"0"
"102"	"89"	"84"	"7"	"48"	"437"	"18"	"9"	"2"	"3"	"4"	"4"	"25"	"13"	"570"	"0"	"570"	"0"
"103"	"90"	"85"	"24"	"70"	"438"	"15"	"10"	"5"	"6"	"8"	"2"	"49"	"1"	"628"	"0"	"628"	"0"
"104"	"91"	"86"	"8"	"70"	"289"	"8"	"22"	"0"	"4"	"4"	"3"	"4"	"16"	"428"	"0"	"428"	"0"
"105"	"92"	"87"	"25"	"19"	"371"	"11"	"112"	"6"	"5"	"3"	"8"	"100"	"18"	"678"	"0"	"678"	"0"
"106"	"93"	"88"	"59"	"32"	"141"	"4"	"182"	"6"	"5"	"5"	"2"	"5"	"9"	"450"	"0"	"450"	"0"
"107"	"94"	"89"	"30"	"53"	"410"	"10"	"11"	"1"	"4"	"7"	"4"	"38"	"17"	"585"	"0"	"585"	"0"
"108"	"95"	"90"	"7"	"11"	"385"	"10"	"18"	"1"	"1"	"5"	"7"	"62"	"19"	"526"	"0"	"526"	"0"
"109"	"96"	"91"	"5"	"30"	"315"	"4"	"17"	"2"	"1"	"1"	"2"	"12"	"11"	"400"	"0"	"400"	"0"
"110"	"97"	"92"	"122"	"81"	"183"	"5"	"161"	"10"	"10"	"21"	"7"	"18"	"25"	"643"	"0"	"643"	"0"
"111"	"98"	"93"	"28"	"142"	"376"	"11"	"90"	"5"	"7"	"26"	"7"	"5"	"6"	"703"	"0"	"703"	"0"
"112"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"113"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"114"	"99"	"94"	"27"	"65"	"554"	"11"	"41"	"3"	"9"	"0"	"2"	"5"	"11"	"728"	"0"	"728"	"0"
"115"	"100"	"95"	"9"	"111"	"277"	"9"	"82"	"7"	"7"	"7"	"10"	"13"	"21"	"553"	"0"	"553"	"0"
"116"	"101"	"96"	"16"	"125"	"302"	"12"	"22"	"2"	"6"	"8"	"8"	"3"	"19"	"523"	"0"	"523"	"0"
"117"	"102"	"97"	"205"	"39"	"193"	"6"	"79"	"4"	"2"	"3"	"3"	"8"	"13"	"555"	"0"	"555"	"0"
"118"	"103"	"98"	"89"	"43"	"473"	"28"	"24"	"8"	"8"	"9"	"10"	"10"	"38"	"740"	"0"	"740"	"0"
"119"	"104"	"99"	"14"	"13"	"286"	"7"	"48"	"5"	"2"	"1"	"5"	"6"	"25"	"412"	"0"	"412"	"0"
"120"	"105"	"100"	"198"	"23"	"372"	"26"	"61"	"10"	"8"	"5"	"12"	"9"	"15"	"739"	"0"	"739"	"0"
"121"	"106"	"101"	"342"	"49"	"34"	"5"	"78"	"3"	"8"	"4"	"7"	"24"	"19"	"573"	"0"	"573"	"0"
"122"	"107"	"102"	"313"	"10"	"197"	"7"	"94"	"5"	"4"	"3"	"9"	"9"	"30"	"681"	"0"	"681"	"0"
"123"	"108"	"103"	"11"	"38"	"519"	"30"	"143"	"7"	"13"	"13"	"14"	"16"	"50"	"854"	"0"	"854"	"0"
"124"	"109"	"104"	"12"	"58"	"444"	"26"	"62"	"9"	"7"	"8"	"16"	"21"	"57"	"720"	"0"	"720"	"0"
"125"	"110"	"105"	"33"	"21"	"246"	"21"	"182"	"4"	"6"	"4"	"5"	"4"	"11"	"537"	"0"	"537"	"0"
"126"	"111"	"106"	"20"	"32"	"254"	"9"	"271"	"20"	"7"	"4"	"9"	"12"	"17"	"655"	"0"	"655"	"0"
"127"	"112"	"107"	"28"	"90"	"515"	"24"	"116"	"11"	"12"	"13"	"12"	"4"	"13"	"838"	"0"	"838"	"0"
"128"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"129"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"130"	"113"	"108"	"10"	"14"	"471"	"19"	"65"	"6"	"4"	"5"	"3"	"4"	"13"	"614"	"0"	"614"	"0"
"131"	"114"	"109"	"30"	"132"	"165"	"12"	"402"	"8"	"5"	"16"	"7"	"29"	"12"	"818"	"0"	"818"	"0"
"132"	"115"	"110"	"34"	"8"	"510"	"17"	"242"	"7"	"3"	"7"	"5"	"5"	"11"	"849"	"0"	"849"	"0"
"133"	"116"	"111"	"91"	"16"	"633"	"23"	"73"	"9"	"9"	"11"	"20"	"10"	"33"	"928"	"0"	"928"	"0"
"134"	"117"	"112"	"341"	"17"	"78"	"12"	"87"	"7"	"6"	"7"	"6"	"12"	"14"	"587"	"0"	"587"	"0"
"135"	"118"	"113"	"273"	"31"	"458"	"37"	"19"	"0"	"4"	"7"	"3"	"10"	"32"	"874"	"0"	"874"	"0"
"136"	"119"	"114"	"118"	"25"	"280"	"8"	"27"	"3"	"4"	"1"	"5"	"5"	"14"	"490"	"0"	"490"	"0"
"137"	"120"	"115"	"13"	"180"	"597"	"27"	"16"	"7"	"11"	"10"	"9"	"8"	"13"	"891"	"0"	"891"	"0"
"138"	"121"	"116"	"387"	"11"	"219"	"8"	"43"	"2"	"6"	"2"	"4"	"63"	"25"	"770"	"0"	"770"	"0"
"139"	"122"	"117"	"344"	"59"	"234"	"9"	"52"	"10"	"7"	"8"	"6"	"44"	"27"	"800"	"0"	"800"	"0"
"140"	"123"	"118"	"12"	"14"	"274"	"9"	"27"	"1"	"4"	"17"	"7"	"71"	"2"	"438"	"0"	"438"	"0"
"141"	"124"	"119"	"314"	"39"	"47"	"4"	"34"	"4"	"4"	"3"	"4"	"78"	"22"	"553"	"0"	"553"	"0"
"142"	"125"	"120"	"47"	"16"	"348"	"6"	"4"	"2"	"2"	"7"	"4"	"9"	"18"	"463"	"0"	"463"	"0"
"143"	"126"	"121"	"255"	"34"	"487"	"8"	"28"	"2"	"4"	"8"	"8"	"29"	"22"	"885"	"0"	"885"	"0"
"144"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"145"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"146"	"127"	"122"	"197"	"267"	"158"	"7"	"42"	"1"	"1"	"6"	"2"	"9"	"4"	"694"	"0"	"694"	"0"
"147"	"128"	"123"	"44"	"183"	"223"	"4"	"11"	"4"	"4"	"7"	"3"	"26"	"4"	"513"	"0"	"513"	"0"
"148"	"129"	"124"	"13"	"6"	"485"	"11"	"2"	"0"	"2"	"1"	"4"	"11"	"15"	"550"	"0"	"550"	"0"
"149"	"130"	"125"	"6"	"50"	"405"	"6"	"6"	"4"	"5"	"6"	"10"	"5"	"14"	"517"	"0"	"517"	"0"
"150"	"131"	"126"	"10"	"12"	"448"	"7"	"19"	"2"	"1"	"3"	"4"	"14"	"6"	"526"	"0"	"526"	"0"
"151"	"132"	"127"	"69"	"17"	"201"	"7"	"104"	"2"	"0"	"1"	"4"	"39"	"7"	"451"	"0"	"451"	"0"
"152"	"133"	"128"	"281"	"18"	"49"	"1"	"81"	"2"	"2"	"4"	"4"	"113"	"8"	"563"	"0"	"563"	"0"
"153"	"134"	"129"	"17"	"22"	"258"	"16"	"358"	"21"	"11"	"8"	"7"	"12"	"5"	"735"	"0"	"735"	"0"
"154"	"135"	"130"	"10"	"29"	"556"	"19"	"23"	"6"	"5"	"8"	"9"	"26"	"26"	"717"	"0"	"717"	"0"
"155"	"136"	"131"	"13"	"21"	"555"	"8"	"31"	"5"	"8"	"10"	"8"	"60"	"29"	"748"	"0"	"748"	"0"
