"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.of.valid.votes"	"No.of.Rejected.votes"	"Total"	"No.of.Tendered.votes"
"1"	""	"Jamshaid Ashraf"	"Pradip Ray"	"Ram Ratan Singh"	"Lalan Ku."	"Anil Kumar"	"Indu Devi"	"Manzoor Alam"	"Ramesh Poddar"	"Sri Ram Roy"	""	""	""	""
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"3"	"1"	"27"	"4"	"192"	"495"	"10"	"4"	"2"	"2"	"2"	"738"	"0"	"738"	"0"
"4"	"2"	"153"	"41"	"41"	"338"	"13"	"4"	"5"	"5"	"13"	"613"	"0"	"613"	"0"
"5"	"3"	"79"	"24"	"133"	"509"	"16"	"6"	"3"	"6"	"6"	"782"	"0"	"782"	"0"
"6"	"4"	"81"	"23"	"67"	"569"	"11"	"9"	"3"	"7"	"12"	"782"	"0"	"782"	"0"
"7"	"5"	"67"	"82"	"162"	"354"	"11"	"3"	"5"	"7"	"5"	"696"	"0"	"696"	"0"
"8"	"6"	"74"	"31"	"194"	"419"	"8"	"8"	"2"	"3"	"7"	"746"	"0"	"746"	"0"
"9"	"7"	"51"	"182"	"89"	"269"	"12"	"13"	"8"	"10"	"12"	"646"	"0"	"646"	"0"
"10"	"8"	"54"	"31"	"213"	"174"	"8"	"1"	"2"	"7"	"8"	"498"	"0"	"498"	"0"
"11"	"9"	"101"	"35"	"204"	"74"	"5"	"5"	"4"	"6"	"8"	"442"	"0"	"442"	"0"
"12"	"10"	"37"	"4"	"19"	"350"	"48"	"3"	"1"	"5"	"0"	"467"	"0"	"467"	"0"
"13"	"11"	"87"	"12"	"138"	"359"	"6"	"1"	"7"	"1"	"10"	"621"	"0"	"621"	"0"
"14"	"12"	"26"	"11"	"41"	"94"	"0"	"1"	"1"	"0"	"3"	"177"	"0"	"177"	"0"
"15"	"13"	"98"	"119"	"42"	"280"	"19"	"12"	"8"	"17"	"25"	"620"	"0"	"620"	"0"
"16"	"14"	"290"	"114"	"26"	"58"	"9"	"6"	"6"	"19"	"27"	"555"	"0"	"555"	"0"
"17"	"15"	"138"	"35"	"200"	"171"	"13"	"3"	"1"	"5"	"7"	"573"	"0"	"573"	"0"
"18"	"16"	"58"	"64"	"164"	"231"	"8"	"7"	"9"	"17"	"12"	"570"	"0"	"570"	"0"
"19"	"17"	"29"	"310"	"55"	"68"	"10"	"10"	"16"	"30"	"13"	"541"	"0"	"541"	"0"
"20"	"18"	"21"	"215"	"33"	"85"	"9"	"4"	"13"	"16"	"10"	"406"	"0"	"406"	"0"
"21"	"19"	"159"	"126"	"31"	"117"	"5"	"6"	"6"	"12"	"23"	"485"	"0"	"485"	"0"
"22"	"19A"	"55"	"76"	"15"	"59"	"6"	"1"	"3"	"7"	"10"	"232"	"0"	"232"	"0"
"23"	"20"	"14"	"26"	"111"	"89"	"6"	"23"	"4"	"4"	"1"	"278"	"0"	"278"	"0"
"24"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"25"	""	"Jamshaid Ashraf"	"Pradip Ray"	"Ram Ratan Singh"	"Lalan Ku."	"Anil Kumar"	"Indu Devi"	"Manzoor Alam"	"Ramesh Poddar"	"Sri Ram Roy"	""	""	""	""
"26"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"27"	"21"	"110"	"71"	"171"	"324"	"13"	"10"	"6"	"12"	"16"	"733"	"0"	"733"	"0"
"28"	"22"	"68"	"63"	"165"	"189"	"8"	"19"	"19"	"6"	"14"	"551"	"0"	"551"	"0"
"29"	"23"	"199"	"31"	"59"	"221"	"7"	"7"	"3"	"7"	"11"	"545"	"0"	"545"	"0"
"30"	"24"	"119"	"43"	"45"	"216"	"6"	"2"	"11"	"3"	"13"	"458"	"0"	"458"	"0"
"31"	"25"	"150"	"59"	"124"	"220"	"5"	"10"	"5"	"7"	"8"	"588"	"0"	"588"	"0"
"32"	"26"	"71"	"169"	"132"	"175"	"7"	"12"	"5"	"15"	"17"	"603"	"0"	"603"	"0"
"33"	"27"	"27"	"167"	"82"	"322"	"22"	"8"	"4"	"15"	"9"	"656"	"0"	"656"	"0"
"34"	"28"	"148"	"84"	"92"	"411"	"12"	"4"	"3"	"3"	"11"	"768"	"0"	"768"	"0"
"35"	"29"	"102"	"93"	"23"	"209"	"13"	"5"	"12"	"12"	"17"	"486"	"0"	"486"	"0"
"36"	"30"	"59"	"25"	"10"	"151"	"5"	"0"	"1"	"3"	"9"	"263"	"0"	"263"	"0"
"37"	"31"	"161"	"23"	"53"	"386"	"13"	"10"	"2"	"3"	"15"	"666"	"0"	"666"	"0"
"38"	"32"	"23"	"577"	"32"	"44"	"4"	"3"	"0"	"15"	"6"	"704"	"0"	"704"	"0"
"39"	"33"	"57"	"277"	"291"	"84"	"9"	"6"	"7"	"13"	"22"	"766"	"0"	"766"	"0"
"40"	"34"	"25"	"140"	"276"	"66"	"1"	"0"	"7"	"17"	"13"	"545"	"0"	"545"	"0"
"41"	"35"	"29"	"91"	"220"	"44"	"7"	"1"	"5"	"3"	"10"	"410"	"0"	"410"	"0"
"42"	"36"	"113"	"30"	"71"	"244"	"4"	"7"	"1"	"2"	"8"	"480"	"0"	"480"	"0"
"43"	"37"	"170"	"12"	"71"	"192"	"10"	"7"	"3"	"5"	"12"	"482"	"0"	"482"	"0"
"44"	"38"	"212"	"86"	"109"	"268"	"11"	"11"	"5"	"13"	"21"	"736"	"0"	"736"	"0"
"45"	"39"	"39"	"17"	"23"	"74"	"1"	"3"	"0"	"1"	"4"	"162"	"0"	"162"	"0"
"46"	"40"	"137"	"136"	"170"	"252"	"13"	"5"	"12"	"21"	"26"	"772"	"0"	"772"	"0"
"47"	"41"	"131"	"34"	"172"	"304"	"11"	"18"	"4"	"4"	"14"	"692"	"0"	"692"	"0"
"48"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"49"	""	"Jamshaid Ashraf"	"Pradip Ray"	"Ram Ratan Singh"	"Lalan Ku."	"Anil Kumar"	"Indu Devi"	"Manzoor Alam"	"Ramesh Poddar"	"Sri Ram Roy"	""	""	""	""
"50"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"51"	"42"	"219"	"45"	"122"	"28"	"6"	"3"	"96"	"6"	"11"	"536"	"0"	"536"	"0"
"52"	"43"	"80"	"134"	"175"	"263"	"12"	"14"	"5"	"17"	"16"	"716"	"0"	"716"	"0"
"53"	"44"	"67"	"212"	"187"	"173"	"14"	"11"	"4"	"17"	"15"	"700"	"0"	"700"	"0"
"54"	"45"	"96"	"64"	"108"	"222"	"13"	"3"	"4"	"6"	"8"	"524"	"0"	"524"	"0"
"55"	"46"	"226"	"140"	"51"	"54"	"4"	"3"	"2"	"6"	"3"	"489"	"0"	"489"	"0"
"56"	"47"	"79"	"105"	"129"	"249"	"15"	"8"	"10"	"12"	"21"	"628"	"0"	"628"	"0"
"57"	"48"	"120"	"12"	"134"	"243"	"8"	"6"	"3"	"10"	"19"	"555"	"0"	"555"	"0"
"58"	"49"	"180"	"45"	"88"	"258"	"16"	"10"	"3"	"8"	"28"	"636"	"0"	"636"	"0"
"59"	"50"	"173"	"32"	"158"	"336"	"12"	"9"	"5"	"9"	"10"	"744"	"0"	"744"	"0"
"60"	"51"	"150"	"320"	"142"	"82"	"19"	"7"	"7"	"43"	"26"	"796"	"0"	"796"	"0"
"61"	"52"	"94"	"54"	"164"	"25"	"2"	"2"	"1"	"3"	"3"	"348"	"0"	"348"	"0"
