"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…79 - Gaura Bauram Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 195425"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"9"	""	""	"Dr. Izhar Ahmad"	"Ganga Sagar Paswan"	"Tamanna"	"Nageshwar Pajiyar"	""	"Dr.
Mahavir Prasad"	"Abdhesh Prasad Singh"	"Krishan Mohan Singh"	"Ganesh Mukhiya"	"Sushil Kumar
Choudhary"	"Abbas Kujara"	"Khursid Alam"	"Rabindra Pandey"	"Shami m"	""	"Saroj Kumar
Choudhary"	""	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"11"	"1"	"1"	"67"	"3"	"1"	"15"	""	"341"	"10"	"6"	"7"	"2"	"7"	"5"	"26"	"8"	""	"11"	"509"	"-"	"509"	""	""
"12"	"2"	"2"	"71"	"1"	"0"	"6"	""	"145"	"2"	"6"	"1"	"1"	"0"	"0"	"5"	"5"	""	"2"	"245"	"-"	"245"	""	""
"13"	"3"	"3"	"66"	"2"	"2"	"101"	""	"101"	"3"	"8"	"2"	"8"	"2"	"0"	"4"	"3"	""	"7"	"309"	"-"	"309"	""	""
"14"	"4"	"4"	"71"	"10"	"3"	"47"	""	"326"	"13"	"12"	"4"	"6"	"3"	"6"	"16"	"9"	""	"38"	"564"	"-"	"564"	""	""
"15"	"5"	"5"	"116"	"6"	"2"	"34"	""	"240"	"6"	"1"	"4"	"6"	"11"	"5"	"17"	"5"	""	"30"	"483"	"-"	"483"	""	""
"16"	"6"	"6"	"297"	"4"	"1"	"38"	""	"129"	"3"	"1"	"4"	"3"	"4"	"2"	"32"	"7"	""	"18"	"543"	"-"	"543"	""	""
"17"	"7"	"7"	"186"	"1"	"1"	"9"	""	"216"	"4"	"7"	"4"	"3"	"9"	"10"	"22"	"4"	""	"22"	"498"	"-"	"498"	""	""
"18"	"8"	"8"	"228"	"2"	"4"	"57"	""	"233"	"14"	"10"	"5"	"9"	"13"	"17"	"21"	"23"	""	"51"	"687"	"-"	"687"	""	""
"19"	"9"	"9"	"193"	"8"	"0"	"12"	""	"420"	"9"	"3"	"1"	"3"	"10"	"8"	"21"	"6"	""	"49"	"743"	"-"	"743"	""	""
"20"	"10"	"10"	"225"	"3"	"3"	"69"	""	"90"	"4"	"6"	"2"	"4"	"8"	"11"	"92"	"12"	""	"22"	"551"	"-"	"551"	""	""
"21"	"11"	"11"	"101"	"1"	"1"	"34"	""	"120"	"1"	"2"	"2"	"0"	"3"	"7"	"39"	"2"	""	"16"	"329"	"-"	"329"	""	""
"22"	"12"	"12"	"233"	"3"	"3"	"119"	""	"102"	"7"	"4"	"1"	"6"	"8"	"19"	"16"	"14"	""	"23"	"558"	"-"	"558"	""	""
"23"	"13"	"13"	"116"	"4"	"2"	"122"	""	"46"	"5"	"0"	"3"	"3"	"0"	"4"	"9"	"5"	""	"48"	"367"	"-"	"367"	""	""
"24"	"14"	"14"	"117"	"6"	"6"	"103"	""	"87"	"4"	"1"	"2"	"3"	"2"	"7"	"3"	"8"	""	"14"	"363"	"-"	"363"	""	""
"25"	"15"	"15"	"229"	"6"	"3"	"46"	""	"232"	"13"	"10"	"3"	"4"	"11"	"9"	"9"	"10"	""	"29"	"614"	"-"	"614"	""	""
"26"	"16"	"16"	"84"	"5"	"4"	"191"	""	"61"	"3"	"7"	"3"	"4"	"4"	"8"	"8"	"4"	""	"25"	"411"	"-"	"411"	""	""
"27"	"17"	"17"	"211"	"13"	"3"	"70"	""	"136"	"5"	"5"	"1"	"5"	"7"	"9"	"7"	"16"	""	"36"	"524"	"-"	"524"	""	""
"28"	"18"	"18"	"173"	"7"	"5"	"108"	""	"50"	"2"	"13"	"2"	"2"	"5"	"2"	"4"	"3"	""	"14"	"390"	"-"	"390"	""	""
"29"	"19"	"19"	"58"	"10"	"3"	"74"	""	"56"	"5"	"14"	"1"	"19"	"6"	"12"	"40"	"11"	""	"28"	"337"	"-"	"337"	""	""
