"Polling.Station.No."	"Ashok.Kumar.Yadav"	"Kumar.Shailend.ra"	"Krishan.Kumar.Mandal"	"Renu.Choudhar.y"	"Shailesh.Kumar..Bulo.Mandal."	"Balmiki.Kumar"	"Sudhir.Yadav"	"Subod.Kumar"	"Gagan.Kumar.Sengupt.a"	"Pankaj.Choudh.ary"	"Ravin.Yaday"	"Bindeshw.ari.......Pr..Singh"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No.........of.Tendered.Votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"2"	"1"	35	272	17	8	223	6	2	4	5	1	13	25	611	0	611	NA
"3"	"2"	49	183	6	8	153	1	3	5	3	4	8	17	440	0	440	NA
"4"	"3"	40	257	10	7	248	3	2	1	1	0	4	11	584	0	584	NA
"5"	"4"	99	423	23	20	89	4	2	5	3	10	29	28	735	0	735	NA
"6"	"5"	32	362	12	8	126	3	2	0	0	2	10	11	568	0	568	NA
"7"	"6"	30	155	2	0	100	3	0	1	0	0	3	4	298	0	298	NA
"8"	"7"	36	255	8	3	106	2	1	4	2	5	7	15	444	0	444	NA
"9"	"8"	80	241	52	10	38	1	1	1	2	3	8	11	448	0	448	NA
"10"	"9"	32	231	6	6	117	4	3	4	2	3	13	14	435	0	435	NA
"11"	"10"	60	175	5	4	38	2	0	0	2	0	8	5	299	0	299	NA
"12"	"11"	60	170	6	5	190	6	1	2	2	2	4	9	457	0	457	NA
"13"	"12"	102	176	25	7	402	13	4	9	5	5	12	55	815	0	815	NA
"14"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"16"	"13"	44	129	2	4	229	6	2	7	1	5	6	25	460	0	460	NA
"17"	"14"	35	163	2	3	116	5	0	2	0	1	4	24	355	0	355	NA
"18"	"15"	50	300	2	3	76	3	0	1	0	5	3	15	458	0	458	NA
"19"	"16"	20	115	6	9	274	6	2	2	5	7	5	15	466	0	466	NA
"20"	"17"	21	207	5	8	75	3	0	5	0	1	5	3	333	0	333	NA
"21"	"18"	40	178	11	7	230	3	9	18	1	4	17	20	538	0	538	NA
"22"	"19"	31	671	6	6	94	1	0	2	0	3	11	8	833	0	833	NA
"23"	"20"	123	351	6	11	126	4	0	4	0	3	9	17	654	0	654	NA
"24"	"21"	37	341	3	6	74	3	0	0	0	2	3	11	480	0	480	NA
"25"	"22"	74	196	6	9	146	3	2	4	3	3	10	13	469	0	469	NA
"26"	"23"	42	250	7	8	155	4	2	4	6	4	3	11	496	0	496	NA
"27"	"24"	42	93	4	8	181	7	11	4	6	2	6	21	385	0	385	NA
"28"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"29"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"30"	"25"	28	124	4	6	135	1	3	2	1	2	4	11	321	0	321	NA
"31"	"26"	116	250	4	13	251	11	12	13	7	7	38	65	787	0	787	NA
"32"	"27"	57	257	4	3	96	0	2	2	1	2	15	15	454	0	454	NA
"33"	"28"	199	85	17	9	97	2	1	1	2	0	2	9	424	0	424	NA
"34"	"29"	41	288	9	11	59	5	1	7	2	4	13	12	452	0	452	NA
"35"	"30"	66	184	8	7	96	6	2	0	1	0	9	6	385	0	385	NA
"36"	"31"	40	174	3	3	77	1	0	4	1	0	7	7	317	0	317	NA
"37"	"32"	88	196	7	10	142	3	2	3	3	5	4	17	480	0	480	NA
"38"	"33"	145	49	0	6	167	2	1	2	2	1	4	20	399	0	399	NA
"39"	"34"	201	81	3	6	155	3	1	1	2	3	4	13	473	0	473	NA
"40"	"35"	119	27	4	8	49	0	0	0	2	2	4	7	222	0	222	NA
"41"	"36"	196	308	7	17	55	2	1	5	2	5	17	25	640	0	640	NA
"42"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"44"	"37"	41	305	6	10	364	5	2	7	6	2	13	27	788	0	788	NA
"45"	"38"	24	315	6	9	271	6	3	3	1	3	15	20	676	0	676	NA
"46"	"39"	10	147	2	13	295	2	3	5	4	0	7	18	506	0	506	NA
"47"	"40"	20	175	3	4	136	2	1	1	2	2	6	18	370	0	370	NA
"48"	"41"	74	45	5	6	263	7	3	4	4	4	4	26	445	0	445	NA
"49"	"42"	31	37	5	5	431	11	1	6	0	4	4	38	573	0	573	NA
"50"	"43"	3	9	1	3	170	1	0	3	0	3	1	11	205	0	205	NA
"51"	"44"	10	10	0	2	151	1	1	2	0	0	1	6	184	0	184	NA
"52"	"45"	273	177	8	13	41	9	6	3	2	1	3	24	560	0	560	NA
"53"	"46"	135	237	7	10	28	3	2	1	4	1	7	11	446	0	446	NA
"54"	"47"	188	251	2	6	39	1	0	1	0	1	2	9	500	0	500	NA
"55"	"48"	290	63	1	7	48	3	5	2	3	2	1	18	443	0	443	NA
"56"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"57"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"58"	"49"	209	253	6	12	78	3	4	4	1	3	0	10	583	0	583	NA
"59"	"50"	116	50	0	4	72	2	0	2	3	0	2	8	259	0	259	NA
"60"	"51"	221	279	2	3	7	1	2	1	0	2	2	6	526	0	526	NA
"61"	"52"	20	259	13	15	33	6	3	7	3	3	15	14	391	0	391	NA
"62"	"53"	51	495	10	11	40	6	2	0	1	1	3	2	622	0	622	NA
"63"	"54"	91	272	3	7	16	4	1	3	3	2	10	11	423	0	423	NA
"64"	"55"	41	285	1	5	13	0	1	2	0	0	0	5	353	0	353	NA
"65"	"56"	65	167	1	0	15	0	0	2	0	3	6	7	266	0	266	NA
"66"	"56-A"	25	211	4	2	31	1	1	1	1	1	8	6	292	0	292	NA
"67"	"57"	45	108	5	5	76	1	1	2	4	5	7	23	282	0	282	NA
"68"	"58"	124	82	5	9	156	4	1	3	3	2	5	29	423	0	423	NA
"69"	"59"	3	2	1	1	71	3	1	0	1	1	0	5	89	0	89	NA
"70"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"71"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"72"	"60"	24	5	45	8	409	4	7	2	5	9	10	55	583	0	583	NA
"73"	"61"	1	74	1	7	309	10	0	0	2	5	7	50	466	0	466	NA
"74"	"62"	5	30	2	4	247	8	9	5	3	0	2	17	332	0	332	NA
"75"	"63"	19	66	6	4	234	12	7	13	1	8	7	46	423	0	423	NA
"76"	"64"	11	21	21	3	610	8	5	4	4	5	11	37	740	0	740	NA
"77"	"65"	7	17	9	6	579	12	5	3	3	2	12	46	701	0	701	NA
"78"	"66"	3	13	1	4	565	4	0	4	0	2	0	14	610	0	610	NA
"79"	"67"	10	37	1	5	464	10	11	7	2	8	12	30	597	0	597	NA
"80"	"68"	9	571	4	6	122	4	1	0	0	2	11	9	739	0	739	NA
"81"	"69"	15	121	71	11	343	8	4	9	3	8	13	32	638	0	638	NA
"82"	"70"	8	660	4	2	43	0	0	0	0	1	1	4	723	0	723	NA
"83"	"71"	13	406	0	3	19	1	3	2	0	0	15	3	465	0	465	NA
"84"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"85"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"86"	"72"	5	390	7	5	6	0	1	0	0	2	2	6	424	0	424	NA
"87"	"73"	27	645	8	2	13	0	0	0	0	2	4	1	702	0	702	NA
"88"	"74"	13	600	5	6	46	1	2	6	0	4	7	14	704	0	704	NA
"89"	"75"	11	107	4	2	151	9	20	3	3	2	4	8	324	0	324	NA
"90"	"76"	23	75	3	12	300	12	18	10	1	1	5	49	509	0	509	NA
"91"	"77"	13	117	3	7	178	1	24	1	1	2	4	8	359	0	359	NA
"92"	"78"	10	113	2	2	323	3	35	3	0	1	1	13	506	0	506	NA
"93"	"79"	27	381	22	17	184	3	2	3	3	4	13	28	687	0	687	NA
"94"	"80"	14	379	9	6	39	3	0	4	3	1	5	5	468	0	468	NA
"95"	"80-A"	20	387	8	4	35	2	0	0	0	0	3	2	461	0	461	NA
"96"	"81"	7	213	14	7	66	3	2	7	2	5	17	20	363	0	363	NA
"97"	"82"	17	257	5	1	51	0	1	4	2	3	12	13	366	0	366	NA
"98"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"99"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"100"	"83"	7	513	13	15	111	3	0	2	4	7	17	27	719	0	719	NA
"101"	"84"	7	206	8	10	137	4	3	9	0	5	7	21	417	0	417	NA
"102"	"85"	15	167	17	8	126	9	12	11	7	11	18	22	423	0	423	NA
"103"	"86"	24	90	12	11	173	5	1	4	2	2	4	22	350	0	350	NA
"104"	"87"	14	115	4	14	255	7	4	6	2	10	15	36	482	0	482	NA
"105"	"88"	3	104	3	2	24	1	0	1	0	1	4	13	156	0	156	NA
"106"	"89"	28	237	21	21	215	8	3	5	2	1	6	6	553	0	553	NA
"107"	"90"	20	359	7	16	101	2	2	4	0	2	4	9	526	0	526	NA
"108"	"91"	31	284	15	21	452	14	14	14	10	5	17	54	931	0	931	NA
"109"	"92"	8	470	2	0	6	0	2	0	0	0	2	0	490	0	490	NA
"110"	"93"	9	554	2	5	8	1	0	0	0	1	1	0	581	0	581	NA
"111"	"94"	33	698	12	4	56	1	0	3	4	2	9	5	827	0	827	NA
"112"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"114"	"95"	40	269	38	9	197	5	3	5	3	3	3	21	596	0	596	NA
"115"	"96"	3	68	2	5	235	3	1	2	1	1	3	25	349	0	349	NA
"116"	"97"	30	337	13	12	126	3	7	8	2	6	18	24	586	0	586	NA
"117"	"98"	25	712	10	21	151	7	2	4	2	10	18	25	987	0	987	NA
"118"	"99"	29	273	27	96	291	7	7	10	8	10	13	49	820	0	820	NA
"119"	"100"	13	160	29	7	322	13	1	5	4	4	11	49	618	0	618	NA
"120"	"101"	29	269	4	9	114	5	1	3	2	3	4	12	455	0	455	NA
"121"	"102"	19	255	8	8	218	6	2	0	3	2	8	18	547	0	547	NA
"122"	"103"	23	289	6	4	248	6	14	1	0	1	4	4	600	0	600	NA
"123"	"104"	12	246	5	7	205	4	1	1	0	3	9	11	504	0	504	NA
"124"	"105"	33	276	5	5	135	3	1	2	0	0	3	0	463	0	463	NA
"125"	"106"	14	191	1	2	191	3	3	15	2	0	1	11	434	0	434	NA
"126"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"127"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"128"	"107"	18	46	6	2	277	4	2	8	2	0	5	31	401	0	401	NA
"129"	"108"	14	602	8	8	61	1	0	1	0	0	13	16	724	0	724	NA
"130"	"109"	18	321	9	39	258	2	3	3	9	6	10	24	702	0	702	NA
"131"	"110"	7	226	5	43	202	4	1	2	3	3	2	17	515	0	515	NA
"132"	"111"	15	178	15	33	168	5	2	2	3	1	4	13	439	0	439	NA
"133"	"112"	44	322	12	19	312	18	5	6	3	5	20	41	807	0	807	NA
"134"	"113"	9	156	6	1	222	2	3	0	2	1	6	15	423	0	423	NA
"135"	"114"	26	78	7	10	377	7	10	10	2	6	7	28	568	0	568	NA
"136"	"115"	17	167	4	10	601	8	4	6	0	1	2	25	845	0	845	NA
"137"	"116"	16	93	13	4	434	8	3	2	3	1	3	20	600	0	600	NA
"138"	"117"	11	317	6	8	31	7	1	3	4	6	11	15	420	0	420	NA
"139"	"118"	9	155	4	11	151	2	5	5	0	4	6	5	357	0	357	NA
