"BOOTH.NO"	"PRABHU.NARAYAN.GIRI"	"MAHESHWAR.SINGH"	"YAHYA.KHAN"	"RAM.SARAN.PD..YADAV"	"SACHINDRA.PD..SINGH"	"SUMITRA.KUMARI.YADAV"	"DHRUV.SAHNI"	"JAI.PRAKASH.SAH"	"JYAUL.RASUL"	"BRAJESH.CHOUBEY"	"RAJESH.KUMAR.SINGH"	"TOTAL"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13
"2"	1	43	45	8	118	263	19	33	7	3	12	60	611
"3"	2	4	19	672	11	1	14	0	1	10	2	7	741
"4"	3	0	77	313	7	84	11	7	1	7	4	7	518
"5"	4	2	14	32	21	162	10	22	5	1	23	15	307
"6"	5	18	109	68	35	213	21	11	11	6	15	33	540
"7"	6	7	70	342	42	6	2	4	14	22	6	55	570
"8"	7	13	2	13	76	190	4	13	3	1	4	57	376
"9"	8	13	60	15	78	145	14	5	6	3	14	18	371
"10"	9	12	47	5	70	334	74	16	8	7	25	93	691
"11"	10	24	84	18	102	304	39	8	7	13	11	81	691
"12"	11	2	25	1	6	122	7	1	2	0	51	20	237
"13"	12	8	50	36	91	168	35	24	8	8	23	131	582
"14"	13	32	145	10	88	173	16	4	9	9	9	14	509
"15"	14	4	44	84	84	144	18	3	8	3	4	7	403
"16"	15	19	25	9	41	288	18	6	5	7	3	14	435
"17"	16	4	25	2	70	192	5	1	1	2	3	6	311
"18"	17	6	217	8	81	197	19	4	7	4	4	13	560
"19"	18	15	135	38	55	218	11	10	5	4	13	35	539
"20"	19	15	30	9	161	143	12	98	9	5	7	25	514
"21"	20	17	224	11	76	295	19	11	13	5	10	23	704
"22"	21	14	62	4	52	128	9	89	9	3	10	26	406
"23"	NA	1	16	3	10	177	7	12	4	0	7	36	273
"24"	22	5	119	9	18	132	24	5	7	0	8	5	332
"25"	NA	30	143	7	53	105	9	6	14	11	9	15	402
"26"	23	16	105	24	52	144	33	28	11	11	17	43	484
"27"	24	19	115	83	91	328	10	5	10	8	3	21	693
"28"	25	26	182	47	48	255	18	3	7	6	3	20	615
"29"	26	10	137	2	11	60	2	0	3	2	3	39	269
"30"	27	11	7	9	175	264	13	14	3	5	2	27	530
"31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"32"	1	2	3	4	5	6	7	8	9	10	11	12	13
"33"	28	6	5	12	105	150	8	7	1	3	3	14	314
"34"	29	16	53	78	146	269	13	12	9	9	14	58	677
"35"	30	13	83	1	30	131	10	6	3	5	7	71	360
"36"	31	8	17	5	56	180	11	20	8	5	5	146	461
"37"	32	9	84	3	74	212	37	6	6	9	13	48	501
"38"	33	8	127	23	261	80	7	3	6	1	13	107	636
"39"	34	7	126	9	190	45	2	6	6	4	5	62	462
"40"	35	9	38	2	39	97	25	1	5	1	8	90	315
"41"	36	14	129	6	169	204	9	13	7	2	6	14	573
"42"	37	25	170	24	135	248	4	2	6	5	7	9	635
"43"	38	8	53	9	83	206	21	5	4	1	15	28	433
"44"	NA	10	90	1	129	191	6	5	5	6	7	24	474
"45"	39	16	220	12	306	148	10	9	10	4	9	18	762
"46"	40	4	69	90	210	84	5	3	5	7	1	15	493
"47"	41	24	18	2	61	207	13	9	7	10	8	163	522
"48"	42	10	50	43	75	221	10	11	13	7	64	55	559
"49"	43	10	27	2	53	133	13	2	1	4	7	189	441
"50"	44	3	5	8	80	76	8	2	2	4	5	48	241
"51"	45	1	7	10	73	138	7	0	0	1	3	96	336
"52"	NA	2	14	2	64	80	6	3	5	5	3	109	293
