"Candidates.Name......."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	""	"Upendra Sahni"	"Tahir Anish Khan"	"Mohmmad Jamaludeen"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Khusnandan Ray"	"Ram Swarth Ray"	"Akhilesh Kumar Singh"	"Mohammad Hafij Raien"	"Sanjay Singh"	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"2"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"4"	"1"	"86"	"19"	"9"	"197"	"269"	"8"	"49"	"16"	"3"	"17"	"673"	"0"	"673"	"0"
"5"	"2"	"52"	"16"	"3"	"110"	"81"	"5"	"34"	"5"	"2"	"6"	"314"	"0"	"314"	"0"
"6"	"3"	"19"	"45"	"3"	"120"	"213"	"16"	"76"	"27"	"5"	"12"	"536"	"0"	"536"	"0"
"7"	"4"	"75"	"8"	"3"	"107"	"229"	"11"	"20"	"8"	"8"	"18"	"487"	"0"	"487"	"0"
"8"	"5"	"109"	"7"	"6"	"182"	"128"	"8"	"16"	"29"	"7"	"24"	"516"	"0"	"516"	"0"
"9"	"6"	"5"	"165"	"9"	"98"	"62"	"14"	"16"	"5"	"2"	"6"	"382"	"0"	"382"	"0"
"10"	"7"	"53"	"129"	"12"	"62"	"113"	"8"	"26"	"18"	"9"	"15"	"445"	"0"	"445"	"0"
"11"	"8"	"51"	"11"	"2"	"117"	"189"	"8"	"9"	"17"	"3"	"10"	"417"	"0"	"417"	"0"
"12"	"9"	"4"	"35"	"1"	"43"	"367"	"5"	"8"	"17"	"2"	"4"	"486"	"0"	"486"	"0"
"13"	"10"	"9"	"8"	"8"	"187"	"23"	"2"	"5"	"9"	"3"	"16"	"270"	"0"	"270"	"0"
"14"	"11"	"75"	"232"	"12"	"91"	"120"	"10"	"6"	"12"	"6"	"8"	"572"	"0"	"572"	"0"
"15"	"12"	"34"	"205"	"28"	"59"	"174"	"4"	"7"	"29"	"5"	"8"	"553"	"0"	"553"	"0"
"16"	"13"	"32"	"71"	"4"	"41"	"358"	"13"	"11"	"23"	"18"	"62"	"633"	"0"	"633"	"0"
"17"	"14"	"95"	"39"	"4"	"121"	"214"	"8"	"7"	"21"	"8"	"11"	"528"	"0"	"528"	"0"
"18"	"15"	"18"	"9"	"8"	"206"	"105"	"43"	"64"	"16"	"2"	"13"	"484"	"0"	"484"	"0"
"19"	"16"	"152"	"17"	"1"	"125"	"186"	"13"	"7"	"21"	"5"	"19"	"546"	"0"	"546"	"0"
"20"	"17"	"17"	"22"	"4"	"233"	"71"	"4"	"21"	"15"	"1"	"12"	"400"	"0"	"400"	"0"
"21"	"18"	"18"	"86"	"7"	"88"	"455"	"18"	"15"	"25"	"18"	"29"	"759"	"0"	"759"	"0"
"22"	"19"	"26"	"445"	"21"	"47"	"25"	"7"	"2"	"8"	"15"	"20"	"616"	"0"	"616"	"0"
"23"	"20"	"50"	"195"	"12"	"7"	"247"	"15"	"8"	"20"	"14"	"23"	"591"	"0"	"591"	"0"
"24"	"21"	"9"	"94"	"3"	"43"	"208"	"4"	"3"	"11"	"1"	"3"	"379"	"0"	"379"	"0"
"25"	"22"	"11"	"142"	"7"	"2"	"20"	"3"	"1"	"5"	"2"	"1"	"194"	"0"	"194"	"0"
"26"	"23"	"14"	"225"	"11"	"145"	"268"	"8"	"10"	"20"	"15"	"23"	"739"	"0"	"739"	"0"
"27"	"24"	"15"	"215"	"13"	"27"	"176"	"2"	"3"	"6"	"2"	"7"	"466"	"0"	"466"	"0"
"28"	"25"	"16"	"127"	"5"	"53"	"160"	"3"	"2"	"9"	"4"	"8"	"387"	"0"	"387"	"0"
"29"	"26"	"18"	"100"	"2"	"107"	"39"	"3"	"1"	"1"	"3"	"3"	"277"	"0"	"277"	"0"
"30"	"27"	"104"	"129"	"6"	"106"	"269"	"12"	"19"	"34"	"12"	"31"	"722"	"0"	"722"	"0"
"31"	"28"	"62"	"35"	"3"	"39"	"356"	"7"	"13"	"17"	"7"	"15"	"554"	"0"	"554"	"0"
"32"	"Candidates Name ----->"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	""	"Upendra Sahni"	"Tahir Anish Khan"	"Mohmmad Jamaludeen"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Khusnandan Ray"	"Ram Swarth Ray"	"Akhilesh Kumar Singh"	"Mohammad Hafij Raien"	"Sanjay Singh"	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered votes"
