"Total.No..of.Electors.in.Assembly.Constituency........200204"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"06- Nautan Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"7"	"1"	"33"	"2"	"41"	"79"	"215"	"26"	"7"	"9"	"5"	"6"	"3"	"3"	"7"	"4"	"4"	"9"	"453"	"0"	"453"	"0"	""
"8"	"2"	"53"	"4"	"47"	"89"	"61"	"47"	"2"	"1"	"2"	"5"	"3"	"0"	"8"	"10"	"8"	"5"	"345"	"0"	"345"	"0"	""
"9"	"3"	"26"	"5"	"143"	"44"	"138"	"33"	"6"	"3"	"2"	"12"	"13"	"8"	"57"	"12"	"8"	"55"	"565"	"0"	"565"	"0"	""
"10"	"4"	"122"	"2"	"78"	"128"	"70"	"24"	"3"	"3"	"5"	"4"	"7"	"1"	"16"	"6"	"8"	"14"	"491"	"0"	"491"	"0"	""
"11"	"5"	"24"	"2"	"19"	"41"	"169"	"35"	"3"	"0"	"1"	"26"	"3"	"3"	"104"	"8"	"7"	"122"	"567"	"0"	"567"	"0"	""
"12"	"6"	"191"	"2"	"215"	"15"	"19"	"7"	"6"	"4"	"4"	"66"	"7"	"7"	"12"	"21"	"4"	"14"	"594"	"0"	"594"	"0"	""
"13"	"7"	"26"	"3"	"167"	"49"	"80"	"5"	"3"	"17"	"4"	"33"	"6"	"4"	"95"	"26"	"10"	"14"	"542"	"0"	"542"	"0"	""
"14"	"8"	"36"	"5"	"66"	"114"	"161"	"10"	"2"	"6"	"1"	"5"	"8"	"4"	"4"	"6"	"6"	"11"	"445"	"0"	"445"	"0"	""
"15"	"9"	"14"	"1"	"25"	"187"	"120"	"2"	"4"	"1"	"3"	"7"	"9"	"5"	"18"	"3"	"3"	"2"	"404"	"0"	"404"	"0"	""
"16"	"10"	"44"	"1"	"13"	"45"	"209"	"2"	"1"	"1"	"2"	"6"	"11"	"0"	"3"	"9"	"4"	"10"	"361"	"0"	"361"	"0"	""
"17"	"11"	"59"	"13"	"73"	"133"	"212"	"26"	"12"	"5"	"9"	"10"	"21"	"9"	"74"	"7"	"15"	"19"	"697"	"0"	"697"	"0"	""
"18"	"12"	"100"	"6"	"58"	"44"	"247"	"12"	"6"	"8"	"7"	"18"	"14"	"5"	"10"	"10"	"9"	"15"	"569"	"0"	"569"	"0"	""
"19"	"13"	"153"	"10"	"13"	"141"	"267"	"15"	"4"	"3"	"5"	"18"	"15"	"11"	"16"	"12"	"7"	"35"	"725"	"0"	"725"	"0"	""
"20"	"14"	"140"	"4"	"18"	"60"	"472"	"9"	"3"	"3"	"2"	"13"	"17"	"9"	"7"	"4"	"4"	"33"	"798"	"0"	"798"	"0"	""
"21"	"Total"	"1021"	"60"	"976"	"1169"	"2440"	"253"	"62"	"64"	"52"	"229"	"137"	"69"	"431"	"138"	"97"	"358"	"7556"	"0"	"7556"	"0"	""
"22"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in Assembly Constituency -      200204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"06- Nautan Legislative Assembly Constituency (Round - 2)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
