"Candidates.Name.BOOTH.NO"	"No..of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	""	"DR. ABDUL GAFOOR"	"BEER BIKRAM KUMAR SINGH"	"RAJ KUMAR SAH"	"BIRENDRA KUMAR JHA"	"TIRO SHARMA"	"REKHA DEVI"	"LALAN KUMAR SADA"	"GUNJESHWAR SAH"	"JAWAHAR JHA"	"TUNTUN PASWAN"	"NANHA KHAN"	"PARMESHWER MAHTO"	"MAHARUDRA JHA"	"RAGHUNATH PRASAD YADAV"	"SURENDRA YADAV"	"Total Valid Votes"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"16"
"3"	"1"	"172"	"3"	"17"	"6"	"2"	"2"	"3"	"1"	"2"	"0"	"3"	"4"	"3"	"9"	"165"	"392"
"4"	"2"	"180"	"8"	"87"	"4"	"2"	"1"	"0"	"2"	"4"	"2"	"1"	"2"	"1"	"4"	"345"	"643"
"5"	"3"	"107"	"12"	"146"	"10"	"6"	"2"	"4"	"73"	"5"	"8"	"3"	"2"	"6"	"11"	"124"	"519"
"6"	"4"	"101"	"2"	"54"	"2"	"1"	"3"	"1"	"11"	"3"	"4"	"3"	"1"	"4"	"3"	"125"	"318"
"7"	"5"	"99"	"4"	"77"	"2"	"4"	"1"	"0"	"1"	"4"	"2"	"1"	"4"	"8"	"10"	"165"	"382"
"8"	"6"	"131"	"7"	"4"	"4"	"0"	"3"	"3"	"13"	"0"	"2"	"2"	"6"	"7"	"7"	"202"	"391"
"9"	"7"	"62"	"11"	"207"	"9"	"10"	"0"	"1"	"4"	"3"	"1"	"10"	"3"	"4"	"7"	"69"	"401"
"10"	"8"	"70"	"6"	"267"	"10"	"5"	"2"	"1"	"8"	"3"	"4"	"4"	"7"	"15"	"15"	"137"	"554"
"11"	"9"	"93"	"5"	"240"	"5"	"10"	"1"	"3"	"5"	"3"	"6"	"2"	"6"	"7"	"11"	"124"	"521"
"12"	"10"	"33"	"2"	"205"	"13"	"2"	"2"	"2"	"9"	"2"	"4"	"2"	"2"	"6"	"3"	"33"	"320"
"13"	"11"	"32"	"7"	"76"	"16"	"1"	"1"	"1"	"9"	"2"	"1"	"0"	"1"	"3"	"3"	"74"	"227"
"14"	"12"	"202"	"6"	"329"	"124"	"11"	"2"	"2"	"6"	"17"	"3"	"3"	"7"	"19"	"17"	"44"	"792"
"15"	"13"	"345"	"14"	"206"	"11"	"7"	"3"	"1"	"8"	"1"	"1"	"4"	"3"	"11"	"9"	"137"	"761"
"16"	"14"	"99"	"6"	"172"	"29"	"3"	"1"	"2"	"9"	"6"	"2"	"0"	"3"	"2"	"3"	"23"	"360"
"17"	"15"	"84"	"4"	"395"	"5"	"9"	"4"	"7"	"44"	"5"	"2"	"6"	"1"	"15"	"12"	"24"	"617"
"18"	"16"	"42"	"4"	"324"	"8"	"9"	"11"	"2"	"103"	"5"	"3"	"3"	"3"	"11"	"16"	"20"	"564"
"19"	"17"	"92"	"2"	"291"	"6"	"10"	"3"	"2"	"15"	"3"	"2"	"5"	"7"	"8"	"11"	"111"	"568"
"20"	"18"	"62"	"48"	"130"	"38"	"2"	"3"	"2"	"8"	"5"	"0"	"1"	"1"	"3"	"0"	"6"	"309"
"21"	"19"	"121"	"4"	"109"	"7"	"4"	"0"	"3"	"123"	"8"	"2"	"3"	"2"	"3"	"10"	"119"	"518"
"22"	"20"	"68"	"6"	"88"	"14"	"3"	"2"	"3"	"35"	"4"	"0"	"0"	"1"	"3"	"2"	"22"	"251"
"23"	"21"	"80"	"2"	"12"	"4"	"1"	"0"	"3"	"2"	"1"	"0"	"1"	"3"	"1"	"3"	"179"	"292"
"24"	"22"	"99"	"8"	"308"	"4"	"4"	"1"	"4"	"37"	"4"	"4"	"4"	"6"	"9"	"15"	"97"	"604"
"25"	"23"	"270"	"9"	"124"	"6"	"5"	"1"	"9"	"13"	"2"	"3"	"2"	"2"	"7"	"13"	"102"	"568"
"26"	"24"	"212"	"3"	"45"	"8"	"1"	"0"	"1"	"12"	"1"	"0"	"0"	"0"	"2"	"3"	"146"	"434"
"27"	"25"	"73"	"5"	"57"	"16"	"4"	"1"	"6"	"45"	"0"	"2"	"2"	"2"	"8"	"12"	"191"	"424"
"28"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	""	"DR. ABDUL GAFOOR"	"BEER BIKRAM KUMAR SINGH"	"RAJ KUMAR SAH"	"BIRENDRA KUMAR JHA"	"TIRO SHARMA"	"REKHA DEVI"	"LALAN KUMAR SADA"	"GUNJESHWAR SAH"	"JAWAHAR JHA"	"TUNTUN PASWAN"	"NANHA KHAN"	"PARMESHWER MAHTO"	"MAHARUDRA JHA"	"RAGHUNATH PRASAD YADAV"	"SURENDRA YADAV"	"Total Valid Votes"
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"16"
"31"	"26"	"36"	"2"	"3"	"7"	"0"	"0"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"2"	"268"	"323"
"32"	"27"	"135"	"12"	"128"	"10"	"4"	"0"	"3"	"8"	"1"	"2"	"4"	"9"	"11"	"14"	"214"	"555"
"33"	"28"	"199"	"3"	"34"	"3"	"3"	"2"	"1"	"2"	"5"	"1"	"5"	"3"	"3"	"11"	"156"	"431"
"34"	"29"	"510"	"11"	"42"	"5"	"0"	"1"	"2"	"3"	"1"	"1"	"2"	"0"	"2"	"5"	"40"	"625"
"35"	"30"	"266"	"4"	"3"	"4"	"0"	"0"	"0"	"2"	"0"	"0"	"4"	"1"	"1"	"0"	"2"	"287"
"36"	"31"	"54"	"8"	"238"	"3"	"4"	"2"	"2"	"38"	"2"	"2"	"1"	"2"	"12"	"20"	"108"	"496"
"37"	"32"	"57"	"2"	"184"	"2"	"4"	"1"	"1"	"15"	"2"	"0"	"1"	"1"	"12"	"15"	"234"	"531"
"38"	"33"	"105"	"4"	"180"	"2"	"5"	"0"	"1"	"22"	"7"	"4"	"4"	"2"	"6"	"10"	"349"	"701"
"39"	"34"	"142"	"4"	"62"	"3"	"1"	"2"	"3"	"5"	"1"	"3"	"1"	"0"	"1"	"5"	"200"	"433"
"40"	"35"	"124"	"5"	"107"	"7"	"7"	"5"	"4"	"26"	"6"	"7"	"8"	"7"	"9"	"22"	"198"	"542"
"41"	"36"	"74"	"2"	"103"	"1"	"5"	"3"	"1"	"4"	"1"	"0"	"2"	"1"	"2"	"9"	"246"	"454"
"42"	"37"	"31"	"1"	"68"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"140"	"247"
"43"	"38"	"96"	"0"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"285"	"401"
"44"	"39"	"146"	"3"	"7"	"1"	"0"	"3"	"1"	"1"	"3"	"2"	"4"	"7"	"3"	"10"	"309"	"500"
"45"	"40"	"184"	"2"	"20"	"4"	"2"	"0"	"2"	"2"	"1"	"0"	"0"	"1"	"2"	"1"	"175"	"396"
"46"	"41"	"44"	"8"	"125"	"1"	"1"	"1"	"5"	"23"	"4"	"1"	"2"	"1"	"0"	"13"	"507"	"736"
"47"	"42"	"400"	"11"	"26"	"7"	"7"	"4"	"5"	"26"	"6"	"4"	"9"	"3"	"5"	"15"	"293"	"821"
"48"	"43"	"92"	"4"	"32"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"0"	"4"	"209"	"347"
"49"	"44"	"89"	"3"	"16"	"1"	"2"	"0"	"2"	"1"	"2"	"1"	"0"	"2"	"1"	"9"	"304"	"433"
"50"	"45"	"30"	"1"	"102"	"8"	"8"	"1"	"1"	"13"	"1"	"0"	"3"	"6"	"6"	"9"	"179"	"368"
"51"	"46"	"21"	"3"	"99"	"5"	"5"	"1"	"0"	"4"	"1"	"0"	"1"	"1"	"3"	"7"	"68"	"219"
"52"	"47"	"12"	"3"	"172"	"7"	"29"	"0"	"2"	"2"	"1"	"1"	"1"	"2"	"5"	"6"	"30"	"273"
"53"	"48"	"106"	"3"	"31"	"12"	"6"	"1"	"2"	"18"	"0"	"1"	"1"	"1"	"2"	"2"	"90"	"276"
"54"	"49"	"28"	"3"	"140"	"10"	"43"	"1"	"1"	"11"	"1"	"0"	"0"	"4"	"7"	"8"	"64"	"321"
"55"	"50"	"356"	"2"	"50"	"10"	"1"	"3"	"2"	"30"	"1"	"2"	"5"	"5"	"6"	"1"	"46"	"520"
"56"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	""	"DR. ABDUL GAFOOR"	"BEER BIKRAM KUMAR SINGH"	"RAJ KUMAR SAH"	"BIRENDRA KUMAR JHA"	"TIRO SHARMA"	"REKHA DEVI"	"LALAN KUMAR SADA"	"GUNJESHWAR SAH"	"JAWAHAR JHA"	"TUNTUN PASWAN"	"NANHA KHAN"	"PARMESHWER MAHTO"	"MAHARUDRA JHA"	"RAGHUNATH PRASAD YADAV"	"SURENDRA YADAV"	"Total Valid Votes"
"58"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"16"
"59"	"51"	"307"	"2"	"16"	"8"	"0"	"2"	"1"	"42"	"4"	"0"	"2"	"2"	"0"	"4"	"15"	"405"
"60"	"52"	"170"	"7"	"178"	"14"	"3"	"4"	"4"	"38"	"0"	"5"	"8"	"1"	"4"	"1"	"9"	"446"
