"fuokZpuksa..dk..l.apky.u..fu..e...1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"ºd kuwuh  fu; e  vkSj  vkns' kΩ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"i z: i  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"øfu; e  56xº2ΩºxΩnsf[ k, ¿"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"112&egkj kt xat   fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"pÿ  l a0&01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
"7"	""	"vft r dqekj fl ag"	"bUnq nsoh"	"nkeksnj  fl ag"	"ekfud pUn j k;"	"l quhy j k;"	"ft r sUnz ' kekZ"	": ch v: .k"	"v' kksd j k;"	"mek' kadj fl ag"	"dey i zl kn"	"dqekj  nso j at u fl ag"	"xksfoUn ukj k; .k fl ag"	"u; u i zl kn"	"fuHkk fl ag"	"j fcUnz dqekj"	"j es' k fl ag dq' kokgk"	"j foUnz
; kno"	"Mk0 fo/kq' ks[ kj i kaMs;"	"fouksn dq0 fl ag"	"gseukj k; .k l kg"	""	""	""	""
"8"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"9"	"1"	"10"	"2"	"220"	"57"	"6"	"4"	"3"	"6"	"14"	"2"	"36"	"3"	"3"	"5"	"3"	"6"	"6"	"0"	"5"	"36"	"427"	""	"427"	""
"10"	"1 d"	"9"	"2"	"182"	"65"	"15"	"0"	"0"	"2"	"1"	"1"	"23"	"2"	"3"	"4"	"1"	"63"	"17"	"2"	"3"	"20"	"415"	""	"415"	""
"11"	"2"	"25"	"3"	"150"	"250"	"8"	"4"	"4"	"10"	"6"	"2"	"22"	"3"	"4"	"6"	"6"	"29"	"3"	"6"	"7"	"7"	"555"	""	"555"	""
"12"	"3"	"8"	"2"	"343"	"184"	"11"	"2"	"1"	"4"	"5"	"6"	"31"	"7"	"5"	"4"	"4"	"13"	"2"	"6"	"7"	"5"	"650"	""	"650"	""
"13"	"4"	"18"	"2"	"68"	"120"	"21"	"0"	"6"	"3"	"6"	"2"	"6"	"10"	"5"	"9"	"19"	"12"	"1"	"1"	"2"	"48"	"359"	""	"359"	""
"14"	"5"	"10"	"5"	"34"	"74"	"3"	"1"	"2"	"3"	"0"	"0"	"7"	"3"	"8"	"2"	"6"	"7"	"2"	"3"	"1"	"40"	"211"	""	"211"	""
"15"	"6"	"5"	"4"	"189"	"110"	"6"	"2"	"3"	"7"	"3"	"5"	"4"	"10"	"18"	"28"	"2"	"18"	"3"	"1"	"13"	"9"	"440"	""	"440"	""
"16"	"7"	"19"	"7"	"173"	"270"	"20"	"2"	"1"	"7"	"1"	"4"	"4"	"2"	"1"	"1"	"1"	"5"	"5"	"4"	"1"	"1"	"529"	""	"529"	""
"17"	"; ksx"	"104"	"27"	"1359"	"1130"	"90"	"15"	"20"	"42"	"36"	"22"	"133"	"40"	"47"	"59"	"42"	"153"	"39"	"23"	"39"	"166"	"3586"	"0"	"3586"	"0"
"18"	"fi Nys pdzksa ds er ksa dk
; ksx"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"19"	"dqy  ; ksx"	"104"	"27"	"1359"	"1130"	"90"	"15"	"20"	"42"	"36"	"22"	"133"	"40"	"47"	"59"	"42"	"153"	"39"	"23"	"39"	"166"	"3586"	"0"	"3586"	"0"
"20"	"fuokZph i nkf/kdkj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"112&egkj kt xat   fo0 l 0 fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Page 1 of 31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
"24"	""	"vft r dqekj fl ag"	"bUnq nsoh"	"nkeksnj  fl ag"	"ekfud pUn j k;"	"l quhy j k;"	"ft r sUnz ' kekZ"	": ch v: .k"	"v' kksd j k;"	"mek' kadj fl ag"	"dey i zl kn"	"dqekj  nso j at u fl ag"	"xksfoUn ukj k; .k fl ag"	"u; u i zl kn"	"fuHkk fl ag"	"j fcUnz dqekj"	"j es' k fl ag dq' kokgk"	"j foUnz
; kno"	"MkW0
fo/kq' ks[ kj i k.Ms;"	"fouksn dq0 fl ag"	"gseukj k; .k l kg"	""	""	""	""
"25"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"26"	"8"	"77"	"4"	"212"	"52"	"51"	"1"	"8"	"1"	"9"	"20"	"43"	"15"	"9"	"16"	"8"	"9"	"3"	"5"	"4"	"3"	"550"	""	"550"	""
"27"	"9"	"72"	"5"	"218"	"94"	"72"	"9"	"3"	"3"	"3"	"4"	"27"	"24"	"8"	"18"	"5"	"7"	"20"	"14"	"16"	"4"	"626"	""	"626"	""
"28"	"10"	"12"	"1"	"109"	"252"	"8"	"1"	"3"	"12"	"15"	"7"	"10"	"20"	"22"	"11"	"8"	"59"	"5"	"3"	"5"	"6"	"569"	""	"569"	""
"29"	"11"	"10"	"3"	"57"	"197"	"17"	"2"	"2"	"4"	"0"	"1"	"4"	"2"	"2"	"0"	"1"	"75"	"14"	"9"	"10"	"16"	"426"	""	"426"	""
"30"	"12"	"33"	"1"	"278"	"130"	"18"	"0"	"5"	"4"	"1"	"0"	"30"	"16"	"8"	"16"	"7"	"22"	"5"	"3"	"5"	"4"	"586"	""	"586"	""
"31"	"13"	"14"	"0"	"52"	"5"	"31"	"0"	"1"	"3"	"1"	"5"	"147"	"2"	"1"	"36"	"3"	"0"	"0"	"0"	"2"	"1"	"304"	""	"304"	""
"32"	"14"	"13"	"3"	"68"	"177"	"41"	"7"	"5"	"5"	"5"	"6"	"55"	"17"	"21"	"23"	"15"	"30"	"6"	"6"	"4"	"13"	"520"	""	"520"	""
"33"	"15"	"31"	"19"	"200"	"46"	"33"	"5"	"6"	"3"	"17"	"1"	"43"	"2"	"1"	"4"	"9"	"43"	"34"	"24"	"7"	"15"	"543"	""	"543"	""
"34"	"; ksx"	"262"	"36"	"1194"	"953"	"271"	"25"	"33"	"35"	"51"	"44"	"359"	"98"	"72"	"124"	"56"	"245"	"87"	"64"	"53"	"62"	"4124"	"0"	"4124"	"0"
"35"	"fi Nys pdzksa ds er ksa dk
; ksx"	"104"	"27"	"1359"	"1130"	"90"	"15"	"20"	"42"	"36"	"22"	"133"	"40"	"47"	"59"	"42"	"153"	"39"	"23"	"39"	"166"	"3586"	"0"	"3586"	"0"
"36"	"dqy  ; ksx"	"366"	"63"	"2553"	"2083"	"361"	"40"	"53"	"77"	"87"	"66"	"492"	"138"	"119"	"183"	"98"	"398"	"126"	"87"	"92"	"228"	"7710"	"0"	"7710"	"0"
"37"	"fuokZph i nkf/kdkj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"112&egkj kt xat   fo0 l 0 fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Page 2 of 31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
"41"	""	"vft r dqekj fl ag"	"bUnq nsoh"	"nkeksnj  fl ag"	"ekfud pUn j k;"	"l quhy j k;"	"ft r sUnz ' kekZ"	": ch v: .k"	"v' kksd j k;"	"mek' kadj fl ag"	"dey i zl kn"	"dqekj  nso j at u fl ag"	"xksfoUn ukj k; .k fl ag"	"u; u i zl kn"	"fuHkk fl ag"	"j fcUnz dqekj"	"j es' k fl ag dq' kokgk"	"j foUnz
; kno"	"MkW0
fo/kq' ks[ kj i k.Ms;"	"fouksn dq0 fl ag"	"gseukj k; .k l kg"	""	""	""	""
"42"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"43"	"16"	"18"	"6"	"180"	"163"	"5"	"2"	"3"	"2"	"4"	"3"	"9"	"14"	"12"	"12"	"16"	"14"	"8"	"8"	"2"	"21"	"502"	""	"502"	""
"44"	"17"	"10"	"6"	"167"	"87"	"26"	"4"	"1"	"5"	"3"	"1"	"18"	"7"	"3"	"4"	"4"	"46"	"10"	"2"	"8"	"9"	"421"	""	"421"	""
"45"	"18"	"8"	"2"	"237"	"46"	"3"	"2"	"3"	"5"	"1"	"0"	"17"	"5"	"5"	"10"	"3"	"20"	"27"	"16"	"12"	"17"	"439"	""	"439"	""
"46"	"19"	"13"	"6"	"104"	"78"	"10"	"3"	"4"	"9"	"5"	"4"	"16"	"9"	"15"	"15"	"18"	"28"	"29"	"7"	"14"	"21"	"408"	""	"408"	""
"47"	"20"	"7"	"6"	"128"	"23"	"6"	"1"	"3"	"2"	"2"	"1"	"37"	"8"	"16"	"10"	"33"	"41"	"22"	"1"	"5"	"42"	"394"	""	"394"	""
"48"	"21"	"13"	"8"	"56"	"133"	"13"	"22"	"3"	"10"	"1"	"3"	"16"	"4"	"7"	"3"	"18"	"12"	"3"	"8"	"7"	"47"	"387"	""	"387"	""
"49"	"22"	"22"	"3"	"237"	"44"	"24"	"2"	"2"	"3"	"2"	"1"	"10"	"3"	"0"	"1"	"4"	"6"	"12"	"9"	"4"	"8"	"397"	""	"397"	""
"50"	"23"	"22"	"1"	"68"	"33"	"28"	"6"	"5"	"5"	"3"	"1"	"105"	"9"	"10"	"15"	"13"	"32"	"8"	"3"	"2"	"9"	"378"	""	"378"	""
"51"	"; ksx"	"113"	"38"	"1177"	"607"	"115"	"42"	"24"	"41"	"21"	"14"	"228"	"59"	"68"	"70"	"109"	"199"	"119"	"54"	"54"	"174"	"3326"	"0"	"3326"	"0"
"52"	"fi Nys pdzksa ds er ksa dk
; ksx"	"366"	"63"	"2553"	"2083"	"361"	"40"	"53"	"77"	"87"	"66"	"492"	"138"	"119"	"183"	"98"	"398"	"126"	"87"	"92"	"228"	"7710"	"0"	"7710"	"0"
"53"	"dqy  ; ksx"	"479"	"101"	"3730"	"2690"	"476"	"82"	"77"	"118"	"108"	"80"	"720"	"197"	"187"	"253"	"207"	"597"	"245"	"141"	"146"	"402"	"11036"	"0"	"11036"	"0"
"54"	"fuokZph i nkf/kdkj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"112&egkj kt xat   fo0 l 0 fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"Page 3 of 31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
