"Øeka.d"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"dqy..fof.k.ekU...er"	"i.zfr..ksfi.r..er.ksa.dh.l.a....k"	"X..ksx"	"fufonRr..er.ksa.dh.l.a....k"
"1"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"2"	"1"	"1"	"16"	"5"	"111"	"358"	"15"	"5"	"6"	"9"	"6"	"9"	"8"	"4"	"14"	"4"	"20"	"590"	"0"	"590"	"0"
"3"	"2"	"2"	"19"	"186"	"4"	"167"	"1"	"7"	"1"	"16"	"2"	"3"	"2"	"5"	"2"	"0"	"11"	"426"	"0"	"426"	"0"
"4"	"3"	"3"	"25"	"95"	"74"	"226"	"8"	"4"	"2"	"15"	"4"	"3"	"0"	"3"	"3"	"3"	"11"	"476"	"0"	"476"	"0"
"5"	"4"	"4"	"19"	"240"	"59"	"157"	"8"	"8"	"2"	"6"	"7"	"4"	"3"	"4"	"5"	"4"	"16"	"542"	"0"	"542"	"0"
"6"	"5"	"5"	"22"	"303"	"111"	"195"	"44"	"8"	"5"	"25"	"12"	"10"	"4"	"11"	"6"	"12"	"14"	"782"	"0"	"782"	"0"
"7"	"6"	"6"	"12"	"86"	"116"	"245"	"11"	"6"	"9"	"20"	"25"	"13"	"12"	"8"	"12"	"11"	"16"	"602"	"0"	"602"	"0"
"8"	"7"	"7"	"5"	"365"	"5"	"12"	"20"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"4"	"2"	"1"	"419"	"0"	"419"	"0"
"9"	"8"	"8"	"16"	"286"	"81"	"187"	"5"	"5"	"3"	"13"	"12"	"8"	"1"	"1"	"5"	"6"	"9"	"638"	"0"	"638"	"0"
"10"	"9"	"9"	"10"	"258"	"88"	"41"	"7"	"2"	"1"	"4"	"7"	"4"	"0"	"4"	"3"	"8"	"3"	"440"	"0"	"440"	"0"
"11"	"10"	"10"	"6"	"5"	"20"	"205"	"11"	"3"	"1"	"11"	"2"	"2"	"1"	"5"	"2"	"1"	"8"	"283"	"0"	"283"	"0"
"12"	"11"	"11"	"13"	"41"	"218"	"326"	"11"	"6"	"6"	"26"	"15"	"14"	"13"	"19"	"18"	"13"	"40"	"779"	"0"	"779"	"0"
"13"	"12"	"12"	"23"	"549"	"30"	"100"	"12"	"11"	"1"	"10"	"8"	"2"	"6"	"12"	"11"	"12"	"34"	"821"	"0"	"821"	"0"
"14"	"13"	"13"	"6"	"411"	"15"	"2"	"1"	"0"	"0"	"3"	"0"	"2"	"0"	"0"	"1"	"1"	"2"	"444"	"0"	"444"	"0"
"15"	"14"	"14"	"24"	"137"	"395"	"178"	"11"	"2"	"5"	"13"	"20"	"11"	"2"	"6"	"23"	"16"	"14"	"857"	"0"	"857"	"0"
"16"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"17"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"18"	"15"	"15"	"14"	"4"	"277"	"111"	"9"	"3"	"1"	"5"	"10"	"7"	"2"	"1"	"6"	"3"	"8"	"461"	"0"	"461"	"0"
"19"	"16"	"16"	"5"	"91"	"4"	"193"	"1"	"1"	"1"	"3"	"2"	"0"	"4"	"6"	"3"	"3"	"10"	"327"	"0"	"327"	"0"
"20"	"17"	"17"	"8"	"14"	"72"	"204"	"48"	"10"	"0"	"8"	"4"	"3"	"7"	"5"	"6"	"7"	"17"	"413"	"0"	"413"	"0"
"21"	"18"	"18"	"5"	"450"	"53"	"7"	"17"	"2"	"2"	"1"	"4"	"3"	"0"	"2"	"2"	"3"	"2"	"553"	"0"	"553"	"0"
"22"	"19"	"19"	"15"	"22"	"157"	"164"	"4"	"19"	"3"	"6"	"22"	"11"	"1"	"4"	"7"	"2"	"24"	"461"	"0"	"461"	"0"
"23"	"20"	"20"	"42"	"7"	"39"	"740"	"14"	"17"	"7"	"18"	"12"	"8"	"10"	"4"	"15"	"8"	"35"	"976"	"0"	"976"	"0"
"24"	"21"	"21"	"24"	"22"	"82"	"392"	"21"	"9"	"1"	"18"	"10"	"7"	"4"	"3"	"5"	"4"	"6"	"608"	"0"	"608"	"0"
"25"	"22"	"22"	"8"	"3"	"6"	"271"	"4"	"39"	"0"	"7"	"1"	"1"	"0"	"2"	"4"	"2"	"9"	"357"	"0"	"357"	"0"
"26"	"23"	"23"	"6"	"3"	"8"	"135"	"4"	"27"	"2"	"3"	"1"	"3"	"2"	"3"	"3"	"2"	"13"	"215"	"0"	"215"	"0"
