"er.nku..d.sUnz..dh.Øe..l.a....k"	"fuEufy...kr..d.s..i..k..esa..fn...x...fof.kekU...er.ksa..dh..l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"d.qy.fof.kekU...er"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"3"	"1"	2	2	22	5	288	0	2	139	5	9	0	1	1	""
"4"	"2"	5	1	17	1	175	7	1	57	17	12	1	2	0	""
"5"	"3"	24	0	109	15	62	3	5	58	3	5	1	2	1	""
"6"	"4"	16	1	49	2	38	6	12	206	15	32	4	4	7	""
"7"	"5"	57	1	67	14	172	5	2	33	4	4	1	1	5	""
"8"	"6"	24	6	116	7	110	1	7	116	11	12	2	2	5	""
"9"	"7"	15	1	200	4	84	3	16	86	9	12	4	1	6	""
"10"	"8"	4	4	262	6	130	7	1	43	4	79	3	4	2	""
"11"	"9"	3	1	49	1	155	6	3	134	15	7	2	4	5	""
"12"	"10"	4	1	72	4	124	7	21	164	8	16	2	3	3	""
"13"	"11"	12	0	256	9	62	3	7	42	2	5	0	3	8	""
"14"	"12"	5	8	46	23	70	3	37	94	9	5	0	1	8	""
"15"	"13"	12	1	132	13	95	3	15	20	5	2	5	2	6	""
"16"	"14"	16	1	102	9	58	1	9	22	4	2	1	2	0	""
"17"	"15"	6	3	36	4	111	1	4	54	10	5	4	2	10	""
"18"	"16"	12	1	118	3	11	3	1	135	7	12	4	3	5	""
"19"	"17"	13	4	249	14	39	7	9	37	6	4	8	3	7	""
"20"	"18"	15	5	47	19	94	4	18	112	9	10	27	1	13	""
"21"	"19"	8	1	75	5	9	2	37	142	8	7	1	6	8	""
"22"	"20"	13	1	32	5	305	10	1	46	7	3	5	7	14	""
"23"	"21"	10	2	262	6	81	2	5	84	6	7	7	3	5	""
"24"	"22"	37	1	256	27	23	3	2	61	0	4	2	3	2	""
"25"	"23"	7	1	3	2	272	4	2	3	8	2	1	1	2	""
"26"	"24"	27	0	151	6	234	9	9	171	16	17	6	3	6	""
"27"	"25"	36	3	171	15	14	4	34	146	4	6	1	4	3	""
"28"	"26"	22	4	128	2	83	2	6	123	5	10	5	2	5	""
"29"	"26"	20	1	115	3	18	3	3	55	2	3	3	3	4	""
"30"	"27"	13	2	142	3	67	2	13	18	4	5	1	0	6	""
"31"	"28"	1	0	68	5	310	0	8	33	7	2	1	2	1	""
"32"	"29"	9	2	134	2	105	1	10	48	6	3	3	2	3	""
"33"	"30"	15	3	234	15	17	1	3	95	4	10	5	5	3	""
"34"	"31"	6	0	96	7	301	1	2	75	9	3	4	1	5	""
"35"	"32"	2	1	22	2	303	0	7	6	5	0	0	0	3	""
"36"	"33"	9	1	146	4	69	1	3	201	6	8	4	2	3	""
"37"	"34"	8	1	36	2	68	4	4	251	6	8	2	1	6	""
"38"	"35"	8	3	138	4	109	0	0	30	2	0	3	4	5	""
"39"	"36"	7	2	133	7	52	3	2	136	4	13	0	0	6	""
"40"	"37"	12	0	85	1	106	0	6	49	7	0	3	2	2	""
"41"	"38"	5	1	118	1	80	3	8	105	6	5	9	4	6	""
"42"	"39"	10	1	59	3	62	3	8	97	5	5	7	96	5	""
"43"	"40"	12	0	274	7	94	4	13	99	21	13	15	3	11	""
"44"	"41"	3	2	16	2	10	4	1	178	4	9	2	21	2	""
"45"	"42"	14	2	209	8	120	6	8	102	12	8	12	15	21	""
"46"	"er nku  d sUnz  dh Øe  l a[ ; k"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"d qy
fof/kekU;  er"
"47"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""
"48"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"49"	"43"	12	1	29	3	242	4	4	64	10	11	4	2	5	""
"50"	"44"	15	0	119	13	62	5	6	226	2	11	4	4	4	""
"51"	"45"	10	2	200	6	8	4	2	20	4	1	4	1	3	""
"52"	"46"	18	5	161	5	111	6	5	31	8	3	19	7	9	""
"53"	"47"	14	1	204	6	60	0	10	96	9	4	3	0	6	""
"54"	"48"	9	3	195	7	105	5	4	35	9	9	5	2	6	""
"55"	"49"	17	18	224	5	78	8	8	37	14	7	11	5	7	""
"56"	"50"	18	6	198	49	45	5	16	82	8	6	19	1	4	""
"57"	"51"	10	4	377	7	22	5	29	26	1	6	5	3	6	""
"58"	"52"	29	1	102	15	183	2	9	117	5	14	30	4	11	""
"59"	"53"	11	0	72	3	59	1	4	229	5	9	6	4	2	""
"60"	"54"	15	1	119	10	44	7	5	84	5	7	5	13	5	""
"61"	"55"	23	2	69	4	51	2	44	34	2	2	1	4	1	""
"62"	"56"	10	1	117	7	1	0	34	0	0	2	2	2	0	""
"63"	"57"	7	2	24	4	144	5	3	27	6	2	1	2	7	""
"64"	"58"	15	0	86	2	14	1	8	58	4	2	3	2	3	""
"65"	"59"	8	6	57	4	179	5	31	218	26	19	14	11	25	""
"66"	"60"	4	1	151	4	22	0	4	94	5	4	3	0	2	""
"67"	"61"	20	5	89	6	123	7	27	125	9	5	4	5	26	""
