"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"Form.20"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	""	""	""	""	""	""	""	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 048---Forbesganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20"	""
"4"	"Assembly Constituency :048---Forbesganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :241677"	""	""
"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	""	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""
"7"	"Candidate Name"	"KAFIL AHMAD"	"PADAM PARAG ROY 'VENU'"	"PRAKASH CHOUDHARY"	"MAYA NAND THAKUR"	"SURESH PASWAN"	"CHAMPA LAL MANDAL"	"NARESH KUMAR THAKUR"	"PRADEEP YADAV"	"MANOJ SADA"	"MUKESH KUMAR SINGH"	"LALIT KUMAR BISHWAS"	"SHYAM SUNDAR SHARMA"	"SATYA NARAYAN WRITER"	"JITENDRA ROY"	"RAJA RAMAN BHASKAR"	"RAM KUMAR BHAGAT"	"SUBHASH CHAND JHA"	"Total"
"8"	"Booth No-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"10"	"1"	"21"	"158"	"35"	"307"	"4"	"3"	"4"	"1"	"4"	"3"	"3"	"13"	"25"	"21"	"11"	"15"	"7"	"635"
"11"	"2"	"21"	"49"	"20"	"339"	"6"	"2"	"7"	"1"	"0"	"0"	"1"	"0"	"6"	"11"	"5"	"5"	"9"	"482"
"12"	"3"	"11"	"357"	"39"	"101"	"3"	"2"	"6"	"1"	"0"	"2"	"0"	"1"	"6"	"6"	"11"	"8"	"7"	"561"
"13"	"4"	"11"	"311"	"53"	"71"	"6"	"3"	"7"	"6"	"2"	"0"	"1"	"1"	"1"	"7"	"9"	"1"	"8"	"498"
"14"	"5"	"17"	"318"	"64"	"251"	"11"	"10"	"14"	"9"	"2"	"8"	"11"	"21"	"20"	"25"	"21"	"19"	"11"	"832"
"15"	"6"	"6"	"238"	"53"	"126"	"1"	"2"	"4"	"0"	"2"	"2"	"1"	"2"	"1"	"10"	"3"	"3"	"10"	"464"
"16"	"7"	"18"	"91"	"33"	"324"	"8"	"3"	"9"	"1"	"2"	"1"	"2"	"2"	"2"	"13"	"4"	"2"	"1"	"516"
"17"	"8"	"16"	"232"	"31"	"210"	"3"	"2"	"8"	"3"	"2"	"2"	"3"	"3"	"3"	"14"	"13"	"7"	"9"	"561"
"18"	"9"	"13"	"460"	"51"	"148"	"4"	"0"	"3"	"0"	"2"	"3"	"5"	"8"	"17"	"6"	"19"	"19"	"8"	"766"
"19"	"10"	"1"	"302"	"55"	"81"	"1"	"7"	"0"	"0"	"3"	"0"	"1"	"3"	"2"	"4"	"10"	"5"	"3"	"478"
"20"	"11"	"8"	"315"	"35"	"24"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"3"	"0"	"4"	"7"	"1"	"3"	"405"
"21"	"12"	"8"	"249"	"29"	"35"	"1"	"0"	"0"	"2"	"0"	"2"	"0"	"2"	"0"	"7"	"3"	"4"	"4"	"346"
"22"	"13"	"3"	"192"	"26"	"69"	"1"	"1"	"7"	"1"	"0"	"1"	"2"	"1"	"3"	"3"	"4"	"5"	"1"	"320"
"23"	"14"	"9"	"320"	"23"	"144"	"5"	"3"	"4"	"2"	"2"	"3"	"4"	"2"	"12"	"13"	"18"	"22"	"6"	"592"
"24"	"Round Total"	"163"	"3592"	"547"	"2230"	"55"	"38"	"73"	"28"	"21"	"28"	"36"	"62"	"98"	"144"	"138"	"116"	"87"	"7456"
"25"	"Round-2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"15"	"6"	"353"	"23"	"28"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"3"	"40"	"3"	"4"	"9"	"476"
"27"	"16"	"26"	"179"	"51"	"449"	"15"	"5"	"20"	"6"	"3"	"8"	"5"	"10"	"17"	"28"	"21"	"26"	"24"	"893"
"28"	"17"	"11"	"593"	"46"	"125"	"5"	"0"	"3"	"5"	"7"	"6"	"5"	"8"	"18"	"21"	"42"	"32"	"4"	"931"
"29"	"18"	"13"	"97"	"69"	"297"	"19"	"5"	"13"	"4"	"2"	"7"	"6"	"16"	"23"	"39"	"24"	"58"	"9"	"701"
"30"	"19"	"8"	"36"	"13"	"129"	"1"	"0"	"3"	"2"	"0"	"0"	"0"	"1"	"1"	"3"	"0"	"3"	"1"	"201"
"31"	"20"	"52"	"443"	"101"	"170"	"6"	"5"	"9"	"8"	"4"	"4"	"13"	"15"	"11"	"12"	"22"	"23"	"4"	"902"
"32"	""	""	""	""	""	""	""	"Form 20"	""	""	""	""	""	""	""	""	""	""	""
"33"	""	""	""	""	""	""	""	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"34"	""	""	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 048---Forbesganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20"	""
"36"	"Assembly Constituency :048---Forbesganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :241677"	""	""
"37"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	""	""	""	""	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""
"39"	"Candidate Name"	"KAFIL AHMAD"	"PADAM PARAG ROY 'VENU'"	"PRAKASH CHOUDHARY"	"MAYA NAND THAKUR"	"SURESH PASWAN"	"CHAMPA LAL MANDAL"	"NARESH KUMAR THAKUR"	"PRADEEP YADAV"	"MANOJ SADA"	"MUKESH KUMAR SINGH"	"LALIT KUMAR BISHWAS"	"SHYAM SUNDAR SHARMA"	"SATYA NARAYAN WRITER"	"JITENDRA ROY"	"RAJA RAMAN BHASKAR"	"RAM KUMAR BHAGAT"	"SUBHASH CHAND JHA"	"Total"
"40"	"Booth No-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"42"	"21"	"6"	"1"	"2"	"71"	"4"	"0"	"4"	"0"	"1"	"1"	"0"	"1"	"2"	"3"	"1"	"1"	"5"	"103"
"43"	"22"	"12"	"411"	"12"	"91"	"3"	"2"	"2"	"2"	"0"	"1"	"3"	"2"	"2"	"4"	"2"	"3"	"2"	"554"
"44"	"23"	"10"	"398"	"37"	"382"	"11"	"0"	"13"	"2"	"2"	"1"	"3"	"1"	"14"	"6"	"11"	"12"	"1"	"904"
"45"	"24"	"25"	"180"	"54"	"364"	"11"	"6"	"18"	"1"	"8"	"5"	"6"	"6"	"3"	"8"	"2"	"7"	"12"	"716"
"46"	"25"	"11"	"305"	"26"	"133"	"5"	"1"	"6"	"2"	"1"	"1"	"0"	"1"	"0"	"2"	"2"	"5"	"2"	"503"
"47"	"26"	"11"	"83"	"62"	"335"	"9"	"5"	"7"	"6"	"0"	"4"	"1"	"2"	"10"	"13"	"10"	"8"	"3"	"569"
"48"	"26A"	"15"	"152"	"54"	"201"	"11"	"4"	"8"	"2"	"1"	"6"	"0"	"4"	"6"	"14"	"5"	"12"	"4"	"499"
"49"	"27"	"68"	"30"	"19"	"283"	"5"	"3"	"19"	"5"	"3"	"9"	"4"	"8"	"13"	"24"	"16"	"21"	"3"	"533"
"50"	""	"274"	"3261"	"569"	"3058"	"106"	"37"	"126"	"46"	"32"	"54"	"47"	"76"	"123"	"217"	"161"	"215"	"83"	"8485"
"51"	"Round-3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"27A"	"11"	"254"	"50"	"119"	"4"	"4"	"6"	"3"	"1"	"9"	"6"	"2"	"5"	"11"	"11"	"24"	"4"	"524"
"54"	"28"	"22"	"535"	"42"	"121"	"7"	"2"	"3"	"1"	"3"	"5"	"4"	"5"	"11"	"9"	"19"	"16"	"17"	"822"
"55"	"29"	"14"	"398"	"25"	"29"	"2"	"1"	"3"	"1"	"1"	"2"	"0"	"4"	"2"	"5"	"9"	"4"	"4"	"504"
"56"	"29A"	"13"	"296"	"16"	"138"	"2"	"3"	"5"	"1"	"1"	"0"	"0"	"1"	"2"	"3"	"5"	"1"	"3"	"490"
"57"	"30"	"12"	"552"	"25"	"34"	"2"	"2"	"5"	"0"	"2"	"0"	"0"	"0"	"2"	"2"	"8"	"3"	"3"	"652"
