"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X261312.83.261395.39.Phulparas"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"3"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"4"	"1"	"20"	"254"	"5"	"9"	"98"	"5"	"33"	"7"	"7"	"36"	"6"	"4"	"3"	"3"	"6"	"21"	"5"	"23"	"8"	"14"	"567"	""	"567"	""
"5"	"2"	"10"	"64"	"8"	"3"	"133"	"3"	"31"	"2"	"1"	"28"	"1"	"2"	"2"	"1"	"2"	"5"	"3"	"1"	"0"	"1"	"301"	""	"301"	""
"6"	"3"	"8"	"133"	"2"	"9"	"64"	"8"	"38"	"1"	"5"	"73"	"7"	"6"	"1"	"6"	"5"	"11"	"4"	"3"	"0"	"0"	"384"	""	"384"	""
"7"	"4"	"12"	"29"	"3"	"13"	"210"	"7"	"52"	"6"	"7"	"118"	"7"	"4"	"5"	"1"	"13"	"46"	"4"	"3"	"2"	"9"	"551"	""	"551"	""
"8"	"5"	"3"	"81"	"2"	"3"	"137"	"3"	"52"	"2"	"3"	"21"	"1"	"0"	"0"	"0"	"1"	"16"	"1"	"2"	"2"	"0"	"330"	""	"330"	""
"9"	"6"	"14"	"148"	"3"	"8"	"72"	"2"	"18"	"7"	"12"	"153"	"9"	"9"	"3"	"2"	"8"	"34"	"5"	"2"	"2"	"2"	"513"	""	"513"	""
"10"	"7"	"13"	"112"	"3"	"7"	"161"	"12"	"163"	"4"	"4"	"28"	"9"	"7"	"2"	"6"	"3"	"12"	"4"	"1"	"3"	"2"	"556"	""	"556"	""
"11"	"8"	"13"	"102"	"2"	"16"	"183"	"9"	"77"	"3"	"5"	"35"	"9"	"8"	"0"	"4"	"10"	"23"	"1"	"1"	"2"	"6"	"509"	""	"509"	""
"12"	"9"	"6"	"135"	"8"	"12"	"88"	"3"	"36"	"5"	"3"	"11"	"3"	"4"	"2"	"2"	"0"	"13"	"9"	"11"	"1"	"10"	"362"	""	"362"	""
"13"	"10"	"11"	"146"	"6"	"18"	"208"	"8"	"90"	"15"	"11"	"83"	"11"	"8"	"6"	"7"	"12"	"36"	"11"	"9"	"4"	"8"	"708"	""	"708"	""
"14"	"11"	"9"	"44"	"2"	"6"	"114"	"5"	"138"	"3"	"5"	"116"	"0"	"1"	"0"	"2"	"0"	"2"	"2"	"2"	"0"	"1"	"452"	""	"452"	""
"15"	"12"	"5"	"35"	"2"	"7"	"167"	"6"	"43"	"3"	"4"	"57"	"3"	"1"	"2"	"4"	"2"	"9"	"2"	"1"	"0"	"3"	"356"	""	"356"	""
"16"	"13"	"3"	"253"	"1"	"4"	"12"	"0"	"115"	"1"	"1"	"267"	"6"	"2"	"2"	"3"	"8"	"3"	"0"	"1"	"1"	"1"	"684"	""	"684"	""
"17"	"14"	"9"	"293"	"11"	"19"	"20"	"5"	"95"	"9"	"5"	"317"	"4"	"5"	"0"	"1"	"3"	"8"	"2"	"1"	"1"	"1"	"809"	""	"809"	""
"18"	"Total -1"	"136"	"1829"	"58"	"134"	"1667"	"76"	"981"	"68"	"73"	"1343"	"76"	"61"	"28"	"42"	"73"	"239"	"53"	"61"	"26"	"58"	"7082"	"0"	"7082"	"0"
"19"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"22"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
