"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tender.ed.votes"
"1"	""	""	"AKHILES H PRASAD SINGH"	"ARVIND KUMAR GUPTA"	"GAGAND EO YADAV"	"RADHA MOHAN SINGH"	"RAM CHANDR A PRASAD"	"UMESH KUMAR SINGH"	"NAGEND RA SAHANI"	"SURESH KUMAR RAJAK"	"SURES H KUMAR RAI"	"JHAGA RU MAHAT O"	"PARAS NATH PANDE Y"	"MD. MURTU JA ANSARI"	""	""	""	""
"2"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"3"	"1"	"1"	"50"	"19"	"4"	"161"	"9"	"0"	"50"	"1"	"4"	"0"	"3"	"5"	"306"	"0"	"306"	""
"4"	"2"	"2"	"192"	"16"	"3"	"51"	"4"	"2"	"114"	"2"	"1"	"2"	"3"	"5"	"395"	"0"	"395"	""
"5"	"3"	"3"	"149"	"26"	"25"	"79"	"6"	"6"	"3"	"1"	"0"	"3"	"4"	"18"	"320"	"0"	"320"	""
"6"	"4"	"4"	"170"	"47"	"6"	"80"	"7"	"3"	"141"	"3"	"0"	"1"	"0"	"5"	"463"	"0"	"463"	""
"7"	"5"	"5"	"37"	"5"	"13"	"104"	"5"	"17"	"251"	"7"	"7"	"2"	"1"	"5"	"454"	"0"	"454"	""
"8"	"6"	"6"	"42"	"13"	"3"	"413"	"21"	"2"	"84"	"1"	"3"	"3"	"1"	"7"	"593"	"0"	"593"	""
"9"	"7"	"7"	"174"	"2"	"8"	"32"	"1"	"0"	"68"	"3"	"0"	"1"	"0"	"2"	"291"	"0"	"291"	""
"10"	"8"	"8"	"16"	"0"	"6"	"173"	"9"	"5"	"131"	"7"	"0"	"1"	"0"	"5"	"353"	"0"	"353"	""
"11"	"9"	"9"	"174"	"5"	"7"	"151"	"11"	"10"	"165"	"3"	"0"	"1"	"0"	"7"	"534"	"0"	"534"	""
"12"	"10"	"10"	"32"	"9"	"7"	"230"	"17"	"7"	"208"	"4"	"7"	"5"	"4"	"15"	"545"	"0"	"545"	""
"13"	"11"	"11"	"103"	"26"	"5"	"272"	"9"	"5"	"5"	"7"	"5"	"2"	"1"	"13"	"453"	"0"	"453"	""
"14"	"12"	"12"	"66"	"11"	"3"	"150"	"13"	"6"	"155"	"4"	"7"	"3"	"4"	"5"	"427"	"0"	"427"	""
"15"	"13"	"13"	"145"	"9"	"9"	"160"	"20"	"9"	"265"	"5"	"2"	"1"	"1"	"8"	"634"	"0"	"634"	""
"16"	"14"	"14"	"40"	"20"	"2"	"213"	"13"	"5"	"157"	"3"	"3"	"1"	"0"	"1"	"458"	"0"	"458"	""
"17"	"15"	"15"	"58"	"34"	"3"	"191"	"5"	"10"	"175"	"2"	"3"	"3"	"4"	"13"	"501"	"0"	"501"	""
"18"	"16"	"16"	"79"	"2"	"1"	"119"	"13"	"6"	"164"	"2"	"3"	"2"	"1"	"4"	"396"	"0"	"396"	""
"19"	"17"	"17"	"64"	"78"	"3"	"246"	"8"	"5"	"70"	"3"	"4"	"3"	"2"	"2"	"488"	"0"	"488"	""
"20"	"18"	"18"	"51"	"78"	"9"	"121"	"11"	"9"	"249"	"5"	"4"	"3"	"3"	"14"	"557"	"0"	"557"	""
"21"	"19"	"19"	"25"	"20"	"0"	"106"	"4"	"3"	"137"	"4"	"3"	"3"	"1"	"1"	"307"	"0"	"307"	""
"22"	"20"	"20"	"55"	"3"	"4"	"135"	"7"	"5"	"174"	"5"	"5"	"3"	"2"	"10"	"408"	"0"	"408"	""
"23"	"21"	"21"	"131"	"3"	"29"	"92"	"7"	"6"	"247"	"6"	"5"	"1"	"3"	"7"	"537"	"0"	"537"	""
"24"	"22"	"22"	"28"	"10"	"1"	"87"	"15"	"5"	"329"	"4"	"4"	"1"	"0"	"3"	"487"	"0"	"487"	""
"25"	"23"	"23"	"243"	"42"	"7"	"130"	"16"	"11"	"109"	"4"	"3"	"4"	"7"	"15"	"591"	"0"	"591"	""
"26"	"24"	"24"	"22"	"14"	"1"	"54"	"7"	"6"	"269"	"5"	"3"	"1"	"0"	"9"	"391"	"0"	"391"	""
"27"	"25"	"25"	"90"	"12"	"2"	"145"	"7"	"5"	"86"	"3"	"2"	"0"	"0"	"2"	"354"	"0"	"354"	""
"28"	"26"	"26"	"94"	"18"	"3"	"111"	"4"	"8"	"175"	"0"	"2"	"1"	"3"	"8"	"427"	"0"	"427"	""
"29"	"27"	"27"	"13"	"79"	"2"	"74"	"2"	"2"	"192"	"3"	"4"	"1"	"0"	"3"	"375"	"0"	"375"	""
"30"	"28"	"28"	"38"	"24"	"0"	"53"	"3"	"7"	"233"	"1"	"1"	"3"	"0"	"0"	"363"	"0"	"363"	""
