"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"X."	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tender.ed.votes"
"1"	"Booth No."	1	2	3	4	5	6	7	8	""	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"2"	"Round 1"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	14	87	24	150	2	2	5	124	""	5	0	0	0	1	0	0	11	2	1	1	0	0	0	0	0	1	430	NA	430	NA
"4"	"2"	67	57	1	101	1	2	0	219	""	2	1	2	0	0	0	1	7	2	0	0	0	0	0	0	0	1	464	NA	464	NA
"5"	"3"	80	54	1	20	1	1	0	145	""	4	1	0	0	1	1	1	6	0	0	0	0	1	0	0	1	0	318	NA	318	NA
"6"	"4"	18	108	6	110	2	6	2	109	""	3	3	0	1	2	3	0	6	1	0	0	2	0	1	1	1	4	389	NA	389	NA
"7"	"5"	54	285	80	38	5	4	0	82	""	2	3	0	2	1	1	3	18	10	7	7	5	3	2	2	2	4	620	NA	620	NA
"8"	"6"	55	13	2	170	1	0	0	13	""	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	258	NA	258	NA
"9"	"7"	119	135	1	93	5	4	0	74	""	1	0	2	1	3	3	0	6	3	0	1	2	1	0	2	1	1	458	NA	458	NA
"10"	"8"	59	117	5	108	5	2	1	37	""	1	0	2	0	1	0	0	12	2	0	1	91	1	0	0	1	1	447	NA	447	NA
"11"	"9"	43	142	17	149	4	3	0	10	""	1	2	0	0	3	1	1	6	3	1	2	5	0	2	0	1	0	396	NA	396	NA
"12"	"10"	89	22	0	154	3	0	3	1	""	0	1	1	1	0	0	0	4	0	0	0	0	0	0	0	1	2	282	NA	282	NA
"13"	"11"	49	92	20	25	2	1	2	11	""	0	1	0	1	0	2	1	8	4	2	1	1	0	2	0	2	2	229	NA	229	NA
"14"	"12"	64	184	4	118	1	3	1	20	""	1	2	0	1	1	1	1	12	1	0	0	1	1	0	2	0	0	419	NA	419	NA
"15"	"13"	213	224	20	56	4	2	2	76	""	6	2	1	0	0	1	2	7	2	2	3	3	0	1	0	2	3	632	NA	632	NA
"16"	"14"	28	121	37	235	6	4	2	3	""	1	1	1	1	0	2	1	6	6	1	1	9	3	0	4	0	6	479	NA	479	NA
"17"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"Total"	952	1641	218	1527	42	34	18	924	""	27	17	10	8	13	15	11	112	36	14	17	119	10	8	11	12	25	5821	NA	5821	NA
"19"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"Booth No."	1	2	3	4	5	6	7	8	""	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"21"	"Round 2"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	"15"	10	24	46	220	5	4	0	7	""	0	0	0	0	3	1	2	13	0	0	0	0	0	0	0	0	0	335	NA	335	NA
"23"	"16"	13	1	0	235	3	0	0	4	""	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	260	NA	260	NA
"24"	"17"	32	300	3	107	2	2	1	2	""	0	0	2	0	1	1	0	5	5	1	7	5	3	2	0	1	1	483	NA	483	NA
"25"	"18"	9	0	1	0	0	1	1	2	""	1	2	2	2	191	5	160	46	7	4	3	2	3	0	1	0	0	443	NA	443	NA
"26"	"19"	7	70	47	962	3	1	0	10	""	6	0	0	0	1	13	0	1	1	0	2	0	0	1	0	0	0	1125	NA	1125	NA
"27"	"20"	23	121	29	73	3	2	1	86	""	2	0	1	2	1	0	2	15	2	1	0	0	0	1	0	0	1	366	NA	366	NA
"28"	"21"	25	171	3	18	2	1	3	25	""	2	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	1	257	NA	257	NA
"29"	"22"	0	7	0	437	1	1	0	1	""	0	0	1	0	0	0	0	1	0	0	0	0	26	0	0	0	0	475	NA	475	NA
"30"	"23"	20	103	8	563	1	1	0	8	""	0	0	0	0	1	1	3	0	1	1	1	1	0	0	0	0	1	714	NA	714	NA
"31"	"24"	33	18	5	317	3	5	0	15	""	1	0	0	3	1	1	2	9	5	1	0	2	0	2	0	0	2	425	NA	425	NA
"32"	"25"	52	127	186	238	4	1	4	45	""	3	0	0	4	1	1	0	10	3	2	0	2	3	1	2	1	3	693	NA	693	NA
"33"	"26"	1	11	1	347	2	0	0	24	""	0	0	0	0	0	0	0	7	1	0	1	0	0	0	1	0	0	396	NA	396	NA
