"PC.No."	"AC.No."	"BOOTH.No."	"BOOTH.EXT"	"ARCHN.A.CHAND.RA"	"NIKHIL.KUMAR"	"SHAKIL.AHMAD.KHAN"	"SUSHIL.KUMAR.SINGH"	"ANIL.KUMAR.SINGH"	"AMERIK.A.MAHTO"	"RAM.KUMAR.MEHTA"	"VIJAY.PASWA.N"	"ASLAM.ANSARI"	"INDRA.DEO.RAM"	"UDAY.PASWAN"	"PUNA.DAS"	"RANJEE.T.KUMAR"	"RAJEND.RA.YADAV"	"RAMSW.ARUP.PRASAD.YADAV"	"SANTOS.H.KUMAR"	"TOTAL"
"1"	37	227	1	""	5	1	442	6	0	0	2	0	0	1	0	1	0	0	0	0	458
"2"	37	227	2	""	40	16	128	28	3	1	2	0	0	0	0	1	2	0	0	4	225
"3"	37	227	3	""	11	4	53	35	5	6	1	3	1	1	1	6	9	10	0	5	151
"4"	37	227	4	""	0	7	249	120	4	7	0	0	5	0	0	3	2	5	2	2	406
"5"	37	227	5	""	20	21	197	70	7	6	6	5	1	3	4	14	6	10	8	14	392
"6"	37	227	6	""	14	3	245	72	2	4	2	2	0	2	1	1	0	2	1	3	354
"7"	37	227	7	""	4	12	38	164	0	0	0	2	2	0	0	1	0	1	0	1	225
"8"	37	227	8	""	10	25	76	184	3	1	0	0	0	0	1	1	3	0	0	4	308
"9"	37	227	9	""	2	4	20	15	1	0	2	1	1	0	0	0	1	1	2	0	50
"10"	37	227	10	""	20	21	170	43	7	2	5	6	1	4	1	7	5	7	6	8	313
"11"	37	227	11	""	23	15	192	71	6	2	5	2	3	1	3	5	3	7	0	7	345
"12"	37	227	12	""	16	7	240	115	5	7	3	1	2	2	0	3	2	0	0	2	405
"13"	37	227	13	""	18	10	113	187	5	0	2	5	3	0	2	2	1	2	1	1	352
"14"	37	227	14	""	11	3	42	52	7	3	1	1	0	0	2	6	3	0	3	4	138
"15"	37	227	15	""	26	4	33	72	1	2	1	4	3	2	4	4	3	3	1	4	167
"16"	37	227	16	""	7	8	102	187	5	7	1	3	3	2	2	12	7	11	2	11	370
"17"	37	227	17	""	39	18	130	218	6	7	3	5	1	2	2	7	2	4	5	21	470
