"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X226899.32.Benipatti"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"4"	"Round No.1"	"1"	"172"	"12"	"59"	"222"	"21"	"4"	"2"	"2"	"1"	"2"	"2"	"0"	"3"	"20"	"522"	""	"522"	""
"5"	""	"2"	"133"	"4"	"61"	"47"	"15"	"3"	"1"	"4"	"4"	"5"	"5"	"7"	"6"	"31"	"326"	""	"326"	""
"6"	""	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"7"	""	"4"	"3"	"0"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"21"	""	"21"	""
"8"	""	"5"	"53"	"1"	"4"	"30"	"13"	"1"	"2"	"0"	"0"	"1"	"1"	"2"	"1"	"187"	"296"	""	"296"	""
"9"	""	"6"	"84"	"16"	"7"	"20"	"8"	"2"	"1"	"1"	"3"	"1"	"5"	"1"	"1"	"74"	"224"	""	"224"	""
"10"	""	"7"	"29"	"5"	"78"	"75"	"38"	"3"	"3"	"3"	"1"	"5"	"4"	"1"	"6"	"12"	"263"	""	"263"	""
"11"	""	"8"	"48"	"24"	"62"	"108"	"75"	"6"	"6"	"3"	"3"	"3"	"3"	"2"	"4"	"11"	"358"	""	"358"	""
"12"	""	"9"	"77"	"11"	"86"	"303"	"22"	"5"	"3"	"8"	"3"	"4"	"5"	"1"	"3"	"9"	"540"	""	"540"	""
