"er.nku.dsUnz.l.a....k"	"vfu....i.zl.kn.mQZ.l.k.kq...kno"	"i.zdk..k..k"	"j.kekJ..fl.ag"	"X..kEHkw.i.zl.kn.xqIr.k"	"Mk0.l.at...t.k..l.oky"	"QS..kt.qy.vkt.e"	"eukst...dqekj"	"l.S..n...kehe.v..r.j"	"uQhl...vgen"	"Jheku.feJk"	"l.S..n.bj.l.kn.v..r.j"	"oS....er.i...dk...ksx"	"vLohd.r.er.i...dk...ksx"	"X..ksx"	"fufonr.er.i..ksa.dh.l.a....k"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"2"	1	15	97	8	5	324	4	4	2	0	1	2	462	NA	462	NA
"3"	2	38	93	3	1	327	2	4	3	1	1	2	475	NA	475	NA
"4"	3	41	209	3	4	349	9	0	2	4	3	0	624	NA	624	NA
"5"	4	27	127	2	1	224	1	1	3	2	2	3	393	NA	393	NA
"6"	5	78	132	13	2	347	4	3	0	0	2	5	586	NA	586	NA
"7"	6	123	136	1	2	106	0	2	1	0	0	4	375	NA	375	NA
"8"	7	40	183	6	6	211	15	6	8	4	5	2	486	NA	486	NA
"9"	8	57	117	1	9	159	3	3	3	2	1	0	355	NA	355	NA
"10"	9	24	112	3	3	211	3	2	3	2	3	4	370	NA	370	NA
"11"	10	16	217	6	0	49	18	9	2	2	1	5	325	NA	325	NA
"12"	11	24	170	2	0	90	5	0	0	1	1	2	295	NA	295	NA
"13"	12	78	152	3	2	267	4	6	0	0	1	3	516	NA	516	NA
"14"	13	38	145	12	5	254	4	2	3	3	4	2	472	NA	472	NA
"15"	14	9	111	0	1	261	8	4	0	1	4	2	401	NA	401	NA
"16"	NA	608	2001	63	41	3179	80	46	30	22	29	36	6135	0	6135	0
"17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"19"	15	19	148	4	2	195	3	8	0	1	4	0	384	NA	384	NA
"20"	16	8	73	3	4	437	3	3	0	0	5	3	539	NA	539	NA
"21"	17	16	107	5	1	449	5	4	1	1	3	4	596	NA	596	NA
"22"	18	4	43	0	2	267	3	2	0	0	1	1	323	NA	323	NA
"23"	19	8	54	2	3	375	10	2	0	2	1	2	459	NA	459	NA
"24"	20	12	316	9	0	53	4	5	63	1	2	1	466	NA	466	NA
"25"	21	27	141	1	2	201	5	11	3	1	15	5	412	NA	412	NA
"26"	22	56	153	6	15	92	5	10	1	3	5	3	349	NA	349	NA
"27"	23	19	371	8	4	84	2	4	3	3	8	3	509	NA	509	NA
"28"	24	42	387	2	3	69	1	18	22	3	15	13	575	NA	575	NA
"29"	25	42	462	11	5	164	7	13	3	9	7	8	731	NA	731	NA
"30"	26	8	95	1	7	370	7	5	1	3	2	8	507	NA	507	NA
"31"	27	26	245	6	3	179	5	8	1	2	8	4	487	NA	487	NA
"32"	28	22	196	4	9	298	12	5	3	3	17	4	573	NA	573	NA
"33"	NA	309	2791	62	60	3233	72	98	101	32	93	59	6910	0	6910	0
"34"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"36"	29	29	179	7	12	283	5	11	1	9	19	6	561	NA	561	NA
"37"	30	14	94	1	28	392	18	12	2	10	10	14	595	NA	595	NA
"38"	31	14	145	2	10	357	9	11	2	2	6	5	563	NA	563	NA
"39"	32	10	288	13	3	123	8	4	2	3	12	3	469	NA	469	NA
"40"	33	23	338	8	6	97	2	16	8	18	31	9	556	NA	556	NA
"41"	34	12	258	13	2	268	7	5	5	4	5	10	589	NA	589	NA
"42"	35	28	400	4	12	92	4	6	8	4	5	5	568	NA	568	NA
"43"	36	9	135	4	27	535	7	4	1	2	3	3	730	NA	730	NA
"44"	37	5	72	1	0	196	1	1	7	1	1	0	285	NA	285	NA
"45"	38	61	220	7	2	81	3	4	47	1	4	3	433	NA	433	NA
"46"	39	29	443	7	0	232	7	8	8	0	2	2	738	NA	738	NA
"47"	40	20	187	2	4	446	3	6	1	0	0	3	672	NA	672	NA
"48"	41	12	111	2	2	378	4	1	2	1	2	0	515	NA	515	NA
"49"	42	25	110	2	4	519	12	3	1	3	2	5	686	NA	686	NA
