"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…80 - BENIPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of electors in Assembly constituency / Segment  : 224899"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	""	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"7"	""	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	""	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	""	"Prof. Hareram Acharya"	""	""	""	""	""
"8"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"9"	"1"	"1"	""	"27"	"60"	"154"	"6"	"2"	""	"3"	"6"	"3"	"3"	"1"	"2"	"2"	"2"	""	"0"	"271"	"-"	"271"	""	""
"10"	"2"	"2"	""	"31"	"138"	"129"	"3"	"2"	""	"5"	"2"	"1"	"2"	"1"	"7"	"4"	"10"	""	"25"	"360"	"-"	"360"	""	""
"11"	"3"	"3"	""	"95"	"25"	"269"	"9"	"3"	""	"0"	"2"	"3"	"1"	"2"	"1"	"2"	"1"	""	"4"	"417"	"-"	"417"	""	""
"12"	"4"	"4"	""	"91"	"174"	"235"	"21"	"4"	""	"13"	"4"	"10"	"3"	"4"	"5"	"4"	"5"	""	"9"	"582"	"-"	"582"	""	""
"13"	"5"	"5"	""	"37"	"331"	"48"	"1"	"2"	""	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"10"	""	"0"	"433"	"-"	"433"	""	""
"14"	"6"	"6"	""	"42"	"218"	"79"	"7"	"10"	""	"8"	"7"	"3"	"2"	"4"	"6"	"6"	"26"	""	"48"	"466"	"-"	"466"	""	""
"15"	"7"	"7"	""	"34"	"153"	"66"	"5"	"1"	""	"3"	"3"	"2"	"2"	"2"	"4"	"9"	"15"	""	"29"	"328"	"-"	"328"	""	""
"16"	"8"	"8"	""	"24"	"100"	"575"	"7"	"2"	""	"0"	"1"	"3"	"1"	"4"	"1"	"5"	"5"	""	"13"	"741"	"-"	"741"	""	""
"17"	"9"	"9"	""	"20"	"18"	"447"	"4"	"0"	""	"1"	"1"	"0"	"3"	"0"	"0"	"2"	"1"	""	"0"	"497"	"-"	"497"	""	""
"18"	"10"	"10"	""	"60"	"213"	"110"	"5"	"2"	""	"1"	"2"	"8"	"10"	"5"	"10"	"13"	"27"	""	"31"	"497"	"-"	"497"	""	""
"19"	"11"	"11"	""	"29"	"161"	"129"	"4"	"2"	""	"2"	"2"	"4"	"0"	"5"	"5"	"7"	"15"	""	"14"	"379"	"-"	"379"	""	""
"20"	"12"	"12"	""	"43"	"52"	"216"	"15"	"3"	""	"5"	"8"	"6"	"5"	"2"	"3"	"0"	"3"	""	"1"	"362"	"-"	"362"	""	""
"21"	"13"	"13"	""	"17"	"4"	"287"	"2"	"1"	""	"0"	"1"	"0"	"3"	"2"	"0"	"4"	"1"	""	"7"	"329"	"-"	"329"	""	""
"22"	"14"	"14"	""	"31"	"194"	"63"	"5"	"5"	""	"2"	"4"	"4"	"3"	"3"	"5"	"9"	"26"	""	"13"	"367"	"-"	"367"	""	""
"23"	"15"	"15"	""	"31"	"79"	"185"	"1"	"2"	""	"3"	"0"	"3"	"2"	"1"	"5"	"4"	"8"	""	"13"	"337"	"-"	"337"	""	""
"24"	"16"	"16"	""	"46"	"272"	"97"	"16"	"2"	""	"4"	"4"	"1"	"9"	"5"	"8"	"12"	"33"	""	"43"	"552"	"-"	"552"	""	""
"25"	"17"	"17"	""	"61"	"195"	"127"	"8"	"6"	""	"3"	"7"	"8"	"5"	"3"	"2"	"5"	"10"	""	"12"	"452"	"-"	"452"	""	""
"26"	"18"	"18"	""	"34"	"229"	"142"	"12"	"3"	""	"6"	"4"	"6"	"6"	"2"	"8"	"10"	"16"	""	"22"	"500"	"-"	"500"	""	""
