"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"X."	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tender.ed.votes"
"1"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"2"	"Round 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	22	212	62	153	2	1	3	10	0	2	0	0	2	2	0	16	""	0	0	0	0	0	0	0	0	0	487	NA	487	NA
"4"	"2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	NA	0	NA
"5"	"3"	4	67	10	112	1	1	1	0	0	0	0	0	1	0	1	12	""	1	1	0	0	0	0	0	1	0	213	NA	213	NA
"6"	"4"	9	43	13	68	1	2	0	10	2	0	2	1	0	0	2	9	""	0	1	0	0	1	0	0	0	0	164	NA	164	NA
"7"	"5"	1	92	1	534	3	2	0	9	0	0	1	0	0	2	2	6	""	1	0	0	0	0	1	0	0	0	655	NA	655	NA
"8"	"6"	93	285	60	22	0	1	0	4	0	0	0	0	0	0	1	3	""	0	1	0	0	0	0	0	0	0	470	NA	470	NA
"9"	"7"	6	264	2	28	0	1	0	33	0	1	0	0	0	0	0	2	""	1	3	2	0	0	0	0	2	0	345	NA	345	NA
"10"	"8"	3	47	90	99	1	5	0	0	0	0	0	0	0	0	0	23	""	1	1	1	0	0	0	0	0	0	271	NA	271	NA
"11"	"9"	6	50	0	757	1	0	0	2	11	0	0	0	0	0	0	0	""	0	0	1	0	1	0	0	0	0	829	NA	829	NA
"12"	"10"	43	180	26	176	1	3	0	1	1	3	2	0	1	2	2	6	""	3	0	1	1	0	0	0	0	0	452	NA	452	NA
"13"	"11"	45	63	31	191	5	2	0	1	1	0	0	1	0	0	1	12	""	0	0	6	4	1	0	0	0	0	364	NA	364	NA
"14"	"12"	2	109	4	187	4	11	1	38	5	1	1	1	1	7	2	32	""	2	0	4	0	2	0	1	1	4	420	NA	420	NA
"15"	"13"	46	182	0	6	2	3	1	61	7	3	2	0	0	2	4	6	""	1	0	0	1	0	0	0	0	1	328	NA	328	NA
"16"	"14"	0	0	1	126	3	0	0	5	0	0	0	0	0	0	0	0	""	1	0	0	0	0	0	0	0	0	136	NA	136	NA
"17"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"Total"	280	1594	300	2459	24	32	6	174	27	10	8	3	5	15	15	127	""	11	7	15	6	5	1	1	4	5	5134	NA	5134	NA
"19"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"22"	"Round 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	"15"	15	103	1	1	1	1	0	4	0	0	0	0	0	0	0	5	""	0	0	0	0	0	0	0	0	0	131	NA	131	NA
"24"	"16"	3	48	8	24	1	0	0	125	1	2	1	0	0	0	0	4	""	3	2	0	1	0	2	2	3	6	236	NA	236	NA
"25"	"17"	403	90	0	10	0	0	0	1	0	0	0	0	0	0	0	100	""	1	0	0	0	0	0	0	0	0	605	NA	605	NA
"26"	"18"	5	42	0	217	5	0	0	31	0	0	0	0	1	0	1	6	""	2	0	0	0	0	0	0	0	0	310	NA	310	NA
"27"	"19"	20	934	4	1	0	0	0	0	0	0	0	0	0	1	0	0	""	0	0	0	0	0	0	0	0	0	960	NA	960	NA
"28"	"20"	74	479	2	0	0	0	0	0	0	0	0	0	0	1	0	1	""	0	0	0	0	0	0	0	0	0	557	NA	557	NA
"29"	"21"	30	93	5	138	2	8	0	1	0	0	0	0	0	0	1	2	""	0	0	0	1	0	0	0	1	0	282	NA	282	NA
"30"	"22"	3	69	2	148	5	7	0	0	0	0	0	0	3	1	0	14	""	5	4	4	1	0	0	0	1	2	269	NA	269	NA
"31"	"23"	37	148	5	411	4	1	0	11	0	0	0	0	0	0	0	4	""	0	0	0	0	0	0	0	0	0	621	NA	621	NA
"32"	"24"	8	244	29	161	3	2	1	25	1	0	0	0	2	1	0	3	""	1	0	1	0	1	0	0	1	1	485	NA	485	NA
