"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favou.r.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"1"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"2"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"3"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"4"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"5"	"1"	"1"	"59"	"7"	"7"	"174"	"12"	"5"	"32"	"2"	"4"	"0"	"1"	"5"	"308"	"0"	"308"	""
"6"	"2"	"2"	"141"	"172"	"2"	"6"	"18"	"0"	"0"	"1"	"1"	"1"	"3"	"7"	"352"	"0"	"352"	""
"7"	"3"	"3"	"75"	"68"	"2"	"98"	"3"	"0"	"0"	"1"	"1"	"1"	"4"	"7"	"260"	"0"	"260"	""
"8"	"4"	"4"	"9"	"52"	"4"	"117"	"10"	"3"	"28"	"2"	"1"	"1"	"3"	"7"	"237"	"0"	"237"	""
"9"	"5"	"5"	"40"	"45"	"2"	"211"	"8"	"5"	"1"	"0"	"1"	"1"	"1"	"7"	"322"	"0"	"322"	""
"10"	"6"	"6"	"180"	"190"	"5"	"2"	"17"	"3"	"2"	"0"	"2"	"3"	"1"	"20"	"425"	"0"	"425"	""
"11"	"7"	"7"	"151"	"10"	"0"	"48"	"2"	"1"	"5"	"2"	"2"	"0"	"6"	"4"	"231"	"0"	"231"	""
"12"	"8"	"8"	"66"	"30"	"6"	"97"	"9"	"3"	"0"	"0"	"2"	"1"	"0"	"7"	"221"	"0"	"221"	""
"13"	"9"	"9"	"241"	"22"	"1"	"74"	"11"	"1"	"6"	"1"	"2"	"1"	"1"	"3"	"364"	"0"	"364"	""
"14"	"10"	"10"	"123"	"27"	"4"	"106"	"15"	"8"	"5"	"2"	"4"	"1"	"1"	"11"	"307"	"0"	"307"	""
"15"	"11"	"11"	"5"	"24"	"1"	"83"	"4"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"121"	"0"	"121"	""
