"Candidates.Name.."	"Arjun.Roy"	"Maya.Shanka.r.Sharan"	"Samir.Kumar.Mahase.th"	"Sitaram.Yadav"	"S..Abu.Daujan.a"	"Chitra.njan.Giri"	"Mohammad.Afzal.Painther"	"Shankar.Sinha"	"Chandr.ika.Prasad"	"Zahid"	"Dinesh.Prasad"	"Pappu.Kumar.Mishra"	"Mukesh.Kumar.Gupta"	"Total"
"1"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"4"	"1"	"210"	"7"	"118"	"71"	"17"	"2"	"4"	"12"	"6"	"3"	"0"	"2"	"5"	"457"
"5"	"2"	"214"	"10"	"78"	"149"	"3"	"2"	"5"	"13"	"5"	"5"	"3"	"5"	"2"	"494"
"6"	"3"	"126"	"52"	"69"	"40"	"4"	"0"	"0"	"7"	"0"	"1"	"1"	"1"	"2"	"303"
"7"	"4"	"168"	"9"	"113"	"33"	"1"	"0"	"4"	"11"	"1"	"1"	"0"	"0"	"0"	"341"
"8"	"5"	"234"	"8"	"232"	"9"	"6"	"2"	"2"	"11"	"1"	"1"	"2"	"0"	"0"	"508"
"9"	"6"	"299"	"5"	"70"	"132"	"4"	"0"	"3"	"8"	"2"	"2"	"6"	"2"	"2"	"535"
"10"	"7"	"170"	"6"	"187"	"78"	"3"	"3"	"2"	"4"	"4"	"1"	"2"	"1"	"2"	"463"
"11"	"8"	"72"	"0"	"25"	"9"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"111"
"12"	"9"	"77"	"1"	"83"	"153"	"6"	"1"	"2"	"3"	"0"	"1"	"0"	"1"	"2"	"330"
"13"	"10"	"141"	"20"	"272"	"9"	"0"	"0"	"2"	"4"	"1"	"1"	"0"	"0"	"0"	"450"
"14"	"11"	"210"	"14"	"93"	"13"	"2"	"3"	"2"	"6"	"1"	"2"	"2"	"0"	"0"	"348"
"15"	"12"	"160"	"10"	"123"	"27"	"105"	"6"	"7"	"9"	"3"	"2"	"0"	"1"	"3"	"456"
"16"	"13"	"71"	"5"	"28"	"167"	"4"	"6"	"3"	"6"	"1"	"0"	"1"	"1"	"1"	"294"
"17"	"14"	"347"	"10"	"33"	"282"	"4"	"6"	"3"	"5"	"2"	"0"	"1"	"4"	"2"	"699"
"18"	"15"	"139"	"5"	"9"	"142"	"11"	"3"	"1"	"10"	"1"	"1"	"1"	"1"	"7"	"331"
"19"	"16"	"40"	"3"	"29"	"197"	"8"	"4"	"4"	"5"	"1"	"1"	"2"	"4"	"5"	"303"
"20"	"17"	"38"	"1"	"28"	"132"	"3"	"1"	"3"	"5"	"1"	"1"	"2"	"0"	"2"	"217"
"21"	"18"	"148"	"6"	"84"	"49"	"5"	"0"	"4"	"6"	"1"	"4"	"2"	"3"	"0"	"312"
"22"	"19"	"107"	"5"	"89"	"48"	"2"	"4"	"3"	"5"	"1"	"0"	"0"	"2"	"0"	"266"
"23"	"20"	"79"	"3"	"41"	"150"	"13"	"3"	"2"	"10"	"6"	"5"	"3"	"4"	"4"	"323"
"24"	"21"	"53"	"2"	"131"	"94"	"10"	"3"	"2"	"3"	"1"	"0"	"3"	"0"	"1"	"303"
"25"	"22"	"181"	"3"	"147"	"48"	"4"	"1"	"0"	"6"	"1"	"0"	"1"	"0"	"1"	"393"
