"fo.kku.l.Hkk..ks..l.a....k...oa.uke..04.cxgk"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fuokZpdksa dh dqy  l a[ ; k&235166"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"8"	"1"	"16"	"178"	"18"	"119"	"57"	"4"	"6"	"2"	"4"	"2"	"4"	"5"	"5"	"2"	"5"	"11"	"438"	""	"438"	""
"9"	"2"	"16"	"287"	"4"	"1"	"28"	"7"	"7"	"1"	"0"	"3"	"15"	"1"	"2"	"1"	"2"	"1"	"376"	""	"376"	""
"10"	"3"	"27"	"374"	"7"	"10"	"121"	"10"	"9"	"6"	"3"	"6"	"20"	"7"	"7"	"7"	"10"	"21"	"645"	""	"645"	""
"11"	"4"	"32"	"374"	"45"	"19"	"15"	"4"	"3"	"2"	"3"	"4"	"11"	"2"	"3"	"1"	"6"	"4"	"528"	""	"528"	""
"12"	"5"	"46"	"121"	"14"	"4"	"9"	"3"	"3"	"2"	"2"	"2"	"152"	"0"	"9"	"2"	"1"	"4"	"374"	""	"374"	""
"13"	"6"	"39"	"236"	"19"	"6"	"13"	"4"	"3"	"1"	"1"	"1"	"17"	"1"	"2"	"0"	"2"	"4"	"349"	""	"349"	""
"14"	"7"	"23"	"385"	"24"	"55"	"50"	"5"	"0"	"1"	"5"	"3"	"0"	"1"	"2"	"1"	"3"	"2"	"560"	""	"560"	""
"15"	"8"	"29"	"296"	"67"	"105"	"24"	"7"	"0"	"4"	"2"	"8"	"45"	"4"	"13"	"12"	"9"	"17"	"642"	""	"642"	""
"16"	"9"	"10"	"343"	"67"	"8"	"54"	"3"	"3"	"1"	"3"	"1"	"2"	"1"	"2"	"0"	"6"	"2"	"506"	""	"506"	""
"17"	"10"	"46"	"306"	"7"	"19"	"31"	"1"	"6"	"3"	"2"	"3"	"14"	"2"	"1"	"2"	"0"	"6"	"449"	""	"449"	""
"18"	"11"	"50"	"266"	"43"	"9"	"4"	"3"	"3"	"1"	"1"	"1"	"39"	"2"	"9"	"10"	"4"	"5"	"450"	""	"450"	""
"19"	"12"	"19"	"196"	"5"	"19"	"10"	"3"	"0"	"1"	"0"	"0"	"18"	"1"	"1"	"4"	"5"	"11"	"293"	""	"293"	""
"20"	"13"	"2"	"89"	"29"	"27"	"26"	"4"	"7"	"55"	"2"	"3"	"101"	"0"	"6"	"1"	"3"	"8"	"363"	""	"363"	""
"21"	"14"	"23"	"114"	"6"	"32"	"13"	"4"	"7"	"3"	"5"	"6"	"280"	"3"	"14"	"1"	"1"	"6"	"518"	""	"518"	""
"22"	"VksVy"	"378"	"3565"	"355"	"433"	"455"	"62"	"57"	"83"	"33"	"43"	"718"	"30"	"76"	"44"	"57"	"102"	"6491"	"0"	"6491"	"0"
"23"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"24"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"25"	"15"	"7"	"275"	"2"	"25"	"8"	"0"	"40"	"0"	"0"	"0"	"4"	"1"	"1"	"1"	"2"	"2"	"368"	""	"368"	""
"26"	"16"	"6"	"262"	"42"	"5"	"62"	"7"	"8"	"6"	"7"	"1"	"129"	"5"	"7"	"2"	"4"	"6"	"559"	""	"559"	""
"27"	"17"	"24"	"310"	"4"	"10"	"9"	"5"	"4"	"0"	"1"	"1"	"2"	"0"	"3"	"2"	"4"	"9"	"388"	""	"388"	""
"28"	"18"	"14"	"283"	"107"	"6"	"73"	"2"	"4"	"2"	"4"	"8"	"2"	"2"	"1"	"1"	"8"	"15"	"532"	""	"532"	""
"29"	"19"	"9"	"187"	"52"	"1"	"47"	"2"	"1"	"2"	"2"	"7"	"7"	"3"	"1"	"7"	"5"	"6"	"339"	""	"339"	""
"30"	"20"	"10"	"253"	"51"	"3"	"16"	"1"	"1"	"2"	"2"	"1"	"18"	"1"	"3"	"1"	"0"	"0"	"363"	""	"363"	""
"31"	"21"	"13"	"234"	"16"	"22"	"25"	"9"	"7"	"1"	"1"	"0"	"51"	"2"	"4"	"3"	"4"	"2"	"394"	""	"394"	""
"32"	"22"	"19"	"274"	"16"	"2"	"8"	"7"	"0"	"3"	"2"	"5"	"108"	"3"	"10"	"10"	"12"	"21"	"500"	""	"500"	""
"33"	"23"	"10"	"307"	"36"	"14"	"19"	"6"	"1"	"1"	"0"	"7"	"80"	"5"	"6"	"9"	"14"	"10"	"525"	""	"525"	""
"34"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"35"	"25"	"12"	"327"	"134"	"8"	"109"	"4"	"6"	"2"	"5"	"4"	"16"	"4"	"3"	"7"	"3"	"18"	"662"	""	"662"	""
"36"	"26"	"10"	"220"	"57"	"9"	"154"	"4"	"2"	"0"	"1"	"1"	"9"	"3"	"2"	"2"	"2"	"5"	"481"	""	"481"	""
"37"	"27"	"17"	"420"	"41"	"17"	"48"	"6"	"2"	"2"	"2"	"3"	"4"	"0"	"1"	"2"	"3"	"2"	"570"	""	"570"	""
"38"	"28"	"7"	"189"	"11"	"3"	"70"	"0"	"0"	"3"	"1"	"3"	"20"	"4"	"2"	"1"	"1"	"7"	"322"	""	"322"	""
"39"	"VksVy"	"158"	"3541"	"569"	"125"	"648"	"53"	"76"	"24"	"28"	"41"	"450"	"33"	"44"	"48"	"62"	"103"	"6003"	"0"	"6003"	"0"
"40"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"42"	"29"	"10"	"405"	"45"	"11"	"45"	"2"	"5"	"6"	"4"	"5"	"83"	"5"	"6"	"6"	"5"	"6"	"649"	""	"649"	""
"43"	"30"	"2"	"157"	"48"	"1"	"44"	"2"	"0"	"0"	"2"	"2"	"4"	"3"	"0"	"4"	"0"	"0"	"269"	""	"269"	""
"44"	"31"	"8"	"236"	"20"	"11"	"33"	"4"	"1"	"3"	"3"	"1"	"64"	"0"	"4"	"1"	"3"	"1"	"393"	""	"393"	""
"45"	"32"	"6"	"216"	"6"	"8"	"27"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"269"	""	"269"	""
"46"	"33"	"15"	"431"	"16"	"51"	"18"	"2"	"5"	"5"	"5"	"7"	"6"	"4"	"9"	"13"	"11"	"25"	"623"	""	"623"	""
"47"	"34"	"8"	"347"	"42"	"67"	"19"	"2"	"0"	"1"	"3"	"1"	"6"	"3"	"4"	"1"	"7"	"12"	"523"	""	"523"	""
"48"	"35"	"9"	"257"	"101"	"30"	"19"	"4"	"2"	"1"	"1"	"4"	"22"	"1"	"3"	"1"	"4"	"2"	"461"	""	"461"	""
"49"	"36"	"18"	"187"	"92"	"14"	"54"	"3"	"1"	"2"	"2"	"1"	"7"	"4"	"2"	"4"	"1"	"1"	"393"	""	"393"	""
"50"	"37"	"20"	"566"	"66"	"72"	"25"	"4"	"7"	"4"	"3"	"2"	"0"	"0"	"2"	"1"	"5"	"3"	"780"	""	"780"	""
"51"	"38"	"6"	"354"	"100"	"45"	"17"	"5"	"1"	"1"	"2"	"4"	"39"	"1"	"4"	"4"	"3"	"7"	"593"	""	"593"	""
"52"	"39"	"13"	"437"	"63"	"23"	"62"	"4"	"11"	"3"	"3"	"5"	"2"	"5"	"3"	"7"	"8"	"11"	"660"	""	"660"	""
"53"	"40"	"12"	"385"	"57"	"9"	"27"	"6"	"3"	"2"	"2"	"7"	"20"	"2"	"3"	"7"	"5"	"11"	"558"	""	"558"	""
"54"	"41"	"13"	"320"	"12"	"16"	"20"	"2"	"2"	"3"	"1"	"0"	"20"	"1"	"2"	"3"	"3"	"7"	"425"	""	"425"	""
"55"	"42"	"17"	"360"	"47"	"18"	"70"	"5"	"2"	"2"	"3"	"4"	"80"	"1"	"5"	"2"	"2"	"4"	"622"	""	"622"	""
"56"	"VksVy"	"157"	"4658"	"715"	"376"	"480"	"46"	"42"	"34"	"34"	"43"	"353"	"30"	"47"	"55"	"58"	"90"	"7218"	"0"	"7218"	"0"
"57"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"58"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"59"	"43"	"11"	"364"	"55"	"15"	"157"	"8"	"2"	"3"	"6"	"6"	"15"	"2"	"3"	"4"	"5"	"8"	"664"	""	"664"	""
"60"	"44"	"14"	"438"	"15"	"22"	"91"	"7"	"3"	"5"	"5"	"6"	"38"	"1"	"6"	"2"	"1"	"10"	"664"	""	"664"	""
"61"	"45"	"9"	"297"	"10"	"43"	"39"	"3"	"2"	"0"	"4"	"5"	"60"	"2"	"3"	"0"	"5"	"5"	"487"	""	"487"	""
"62"	"46"	"9"	"396"	"12"	"19"	"33"	"4"	"5"	"4"	"3"	"4"	"11"	"3"	"5"	"3"	"5"	"4"	"520"	""	"520"	""
