"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X225702.33.Khajauli"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"4"	"Round No.1"	"1"	"106"	"4"	"201"	"317"	"7"	"9"	"11"	"10"	"5"	"10"	"16"	"696"	""	"696"	""
"5"	""	"2"	"121"	"4"	"55"	"214"	"15"	"15"	"17"	"9"	"8"	"14"	"34"	"506"	""	"506"	""
"6"	""	"3"	"76"	"5"	"82"	"158"	"13"	"9"	"6"	"6"	"4"	"5"	"8"	"372"	""	"372"	""
"7"	""	"4"	"138"	"6"	"87"	"292"	"11"	"8"	"2"	"1"	"1"	"0"	"4"	"550"	""	"550"	""
"8"	""	"5"	"147"	"8"	"217"	"123"	"12"	"8"	"4"	"3"	"0"	"3"	"1"	"526"	""	"526"	""
"9"	""	"6"	"84"	"5"	"110"	"82"	"1"	"7"	"1"	"0"	"3"	"4"	"7"	"304"	""	"304"	""
"10"	""	"7"	"53"	"1"	"202"	"151"	"6"	"4"	"10"	"5"	"10"	"9"	"12"	"463"	""	"463"	""
