"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X248902.39.Phulparas"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"4"	"Round No.1"	"1"	"28"	"7"	"170"	"299"	"9"	"4"	"3"	"1"	"0"	"2"	"6"	"529"	""	"529"	""
"5"	""	"2"	"7"	"3"	"175"	"80"	"3"	"1"	"0"	"3"	"1"	"3"	"5"	"281"	""	"281"	""
"6"	""	"3"	"19"	"4"	"154"	"194"	"4"	"0"	"3"	"1"	"0"	"4"	"0"	"383"	""	"383"	""
"7"	""	"4"	"8"	"4"	"336"	"63"	"2"	"0"	"0"	"1"	"3"	"1"	"3"	"421"	""	"421"	""
"8"	""	"5"	"6"	"3"	"150"	"82"	"1"	"0"	"1"	"1"	"0"	"3"	"1"	"248"	""	"248"	""
"9"	""	"6"	"8"	"0"	"217"	"142"	"6"	"3"	"3"	"1"	"3"	"3"	"5"	"391"	""	"391"	""
"10"	""	"7"	"19"	"11"	"208"	"178"	"7"	"4"	"4"	"2"	"3"	"6"	"10"	"452"	""	"452"	""
"11"	""	"8"	"8"	"1"	"286"	"49"	"3"	"3"	"3"	"4"	"2"	"2"	"8"	"369"	""	"369"	""
"12"	""	"9"	"4"	"0"	"152"	"74"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"231"	""	"231"	""
"13"	""	"10"	"7"	"3"	"167"	"416"	"0"	"3"	"4"	"1"	"1"	"0"	"3"	"605"	""	"605"	""
"14"	""	"11"	"6"	"5"	"272"	"110"	"5"	"7"	"1"	"1"	"1"	"2"	"4"	"414"	""	"414"	""
"15"	""	"12"	"5"	"2"	"192"	"56"	"7"	"2"	"2"	"2"	"4"	"2"	"5"	"279"	""	"279"	""
"16"	""	"13"	"12"	"4"	"432"	"60"	"11"	"4"	"2"	"7"	"2"	"5"	"6"	"545"	""	"545"	""
"17"	""	"14"	"11"	"6"	"590"	"64"	"4"	"2"	"2"	"4"	"5"	"7"	"12"	"707"	""	"707"	""
"18"	""	"Total -1"	"148"	"53"	"3501"	"1867"	"62"	"33"	"28"	"29"	"25"	"40"	"69"	"5855"	"0"	"5855"	"0"
"19"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"20"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"22"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"23"	"Round No.2"	"15"	"9"	"1"	"124"	"308"	"7"	"5"	"2"	"5"	"1"	"4"	"8"	"474"	""	"474"	""
"24"	""	"16"	"16"	"4"	"108"	"301"	"3"	"2"	"0"	"4"	"3"	"2"	"4"	"447"	""	"447"	""
"25"	""	"17"	"64"	"2"	"57"	"271"	"2"	"4"	"3"	"3"	"1"	"3"	"4"	"414"	""	"414"	""
"26"	""	"18"	"2"	"3"	"109"	"131"	"2"	"3"	"5"	"2"	"3"	"2"	"5"	"267"	""	"267"	""
"27"	""	"19"	"6"	"3"	"163"	"256"	"5"	"0"	"4"	"3"	"4"	"4"	"2"	"450"	""	"450"	""
"28"	""	"20"	"6"	"4"	"90"	"96"	"1"	"1"	"0"	"1"	"5"	"1"	"2"	"207"	""	"207"	""
"29"	""	"21"	"6"	"1"	"16"	"734"	"8"	"4"	"5"	"4"	"0"	"4"	"12"	"794"	""	"794"	""
"30"	""	"22"	"36"	"8"	"232"	"206"	"11"	"3"	"2"	"9"	"6"	"4"	"18"	"535"	""	"535"	""
"31"	""	"23"	"21"	"3"	"155"	"151"	"2"	"3"	"6"	"1"	"1"	"4"	"7"	"354"	""	"354"	""
"32"	""	"24"	"17"	"5"	"29"	"281"	"5"	"1"	"9"	"7"	"3"	"2"	"12"	"371"	""	"371"	""
"33"	""	"25"	"18"	"4"	"11"	"296"	"2"	"3"	"2"	"2"	"1"	"6"	"3"	"348"	""	"348"	""
"34"	""	"26"	"14"	"2"	"24"	"333"	"11"	"6"	"5"	"8"	"2"	"8"	"27"	"440"	""	"440"	""
"35"	""	"27"	"19"	"12"	"62"	"325"	"7"	"9"	"8"	"3"	"4"	"1"	"15"	"465"	""	"465"	""
"36"	""	"28"	"17"	"23"	"367"	"261"	"7"	"8"	"6"	"4"	"4"	"7"	"17"	"721"	""	"721"	""
"37"	""	"Total -2"	"251"	"75"	"1547"	"3950"	"73"	"52"	"57"	"56"	"38"	"52"	"136"	"6287"	"0"	"6287"	"0"
"38"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"39"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"40"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"41"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"42"	"Round No.3"	"29"	"72"	"2"	"145"	"135"	"6"	"4"	"3"	"3"	"7"	"5"	"11"	"393"	""	"393"	""
"43"	""	"30"	"13"	"3"	"150"	"123"	"3"	"0"	"4"	"3"	"1"	"3"	"6"	"309"	""	"309"	""
"44"	""	"31"	"23"	"5"	"234"	"237"	"3"	"2"	"3"	"2"	"3"	"5"	"2"	"519"	""	"519"	""
"45"	""	"32"	"43"	"7"	"186"	"92"	"5"	"1"	"4"	"2"	"8"	"2"	"3"	"353"	""	"353"	""
"46"	""	"33"	"182"	"6"	"11"	"87"	"3"	"2"	"0"	"3"	"1"	"0"	"13"	"308"	""	"308"	""
"47"	""	"34"	"15"	"1"	"202"	"240"	"1"	"6"	"2"	"2"	"2"	"5"	"0"	"476"	""	"476"	""
"48"	""	"35"	"20"	"5"	"40"	"317"	"2"	"6"	"6"	"2"	"1"	"4"	"7"	"410"	""	"410"	""
