"Sl..No."	"No..of.Polli.ng.Station"	"No..of.Valid..votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.reject.ed.votes"	"Total"	"No..of.Tender.ed.votes"
"1"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARU N SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDRI KA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"2"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"3"	"1"	"1"	"60"	"5"	"78"	"250"	"83"	"1"	"2"	"0"	"2"	"1"	"4"	"2"	"1"	"2"	"6"	"497"	"0"	"497"	""
"4"	"2"	"2"	"67"	"25"	"176"	"14"	"134"	"1"	"0"	"5"	"2"	"0"	"0"	"3"	"9"	"3"	"12"	"451"	"0"	"451"	""
"5"	"3"	"3"	"300"	"8"	"178"	"71"	"75"	"6"	"2"	"1"	"2"	"2"	"1"	"2"	"6"	"6"	"10"	"670"	"0"	"670"	""
"6"	"4"	"4"	"170"	"26"	"249"	"176"	"66"	"1"	"4"	"7"	"1"	"2"	"0"	"1"	"3"	"2"	"8"	"716"	"0"	"716"	""
"7"	"5"	"5"	"34"	"20"	"182"	"46"	"37"	"2"	"5"	"3"	"1"	"4"	"4"	"4"	"4"	"4"	"11"	"361"	"0"	"361"	""
"8"	"6"	"6"	"3"	"4"	"401"	"29"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"2"	"1"	"457"	"0"	"457"	""
"9"	"7"	"7"	"49"	"28"	"518"	"33"	"28"	"3"	"1"	"4"	"1"	"0"	"3"	"1"	"12"	"5"	"8"	"694"	"0"	"694"	""
"10"	"8"	"8"	"80"	"15"	"522"	"39"	"43"	"3"	"3"	"1"	"2"	"1"	"2"	"3"	"3"	"4"	"5"	"726"	"0"	"726"	""
"11"	"9"	"9"	"86"	"21"	"268"	"13"	"41"	"2"	"1"	"3"	"3"	"1"	"0"	"0"	"4"	"5"	"9"	"457"	"0"	"457"	""
"12"	"10"	"10"	"20"	"16"	"168"	"53"	"191"	"2"	"2"	"3"	"1"	"0"	"3"	"1"	"4"	"2"	"2"	"468"	"0"	"468"	""
"13"	"11"	"11"	"57"	"11"	"256"	"93"	"33"	"1"	"4"	"1"	"0"	"1"	"2"	"0"	"3"	"2"	"1"	"465"	"0"	"465"	""
"14"	"12"	"12"	"132"	"7"	"158"	"76"	"44"	"1"	"0"	"0"	"0"	"1"	"2"	"2"	"3"	"3"	"8"	"437"	"0"	"437"	""
"15"	"13"	"13"	"42"	"22"	"155"	"122"	"145"	"7"	"1"	"2"	"2"	"0"	"2"	"2"	"4"	"6"	"10"	"522"	"0"	"522"	""
"16"	"14"	"14"	"115"	"42"	"301"	"90"	"33"	"2"	"2"	"2"	"2"	"1"	"2"	"3"	"2"	"5"	"16"	"618"	"0"	"618"	""
"17"	"15"	"15"	"28"	"9"	"160"	"26"	"12"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"239"	"0"	"239"	""
"18"	"16"	"16"	"51"	"29"	"281"	"48"	"106"	"0"	"2"	"1"	"2"	"2"	"5"	"3"	"11"	"8"	"15"	"564"	"0"	"564"	""
"19"	"17"	"17"	"39"	"36"	"219"	"91"	"129"	"3"	"1"	"1"	"4"	"0"	"6"	"1"	"12"	"3"	"12"	"557"	"0"	"557"	""
"20"	"18"	"18"	"80"	"37"	"344"	"69"	"37"	"3"	"2"	"6"	"6"	"0"	"5"	"4"	"7"	"5"	"3"	"608"	"0"	"608"	""
"21"	"19"	"19"	"9"	"17"	"230"	"48"	"57"	"1"	"3"	"5"	"0"	"1"	"3"	"3"	"3"	"4"	"4"	"388"	"0"	"388"	""
"22"	"20"	"20"	"77"	"42"	"230"	"110"	"201"	"10"	"4"	"10"	"4"	"7"	"8"	"12"	"20"	"5"	"15"	"755"	"0"	"755"	""
"23"	"21"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"24"	"22"	"22"	"31"	"39"	"463"	"155"	"51"	"3"	"3"	"7"	"5"	"1"	"2"	"7"	"6"	"5"	"10"	"788"	"0"	"788"	""
"25"	"23"	"23"	"27"	"19"	"317"	"38"	"77"	"1"	"1"	"3"	"3"	"0"	"0"	"2"	"8"	"12"	"13"	"521"	"0"	"521"	""
"26"	"24"	"24"	"21"	"24"	"260"	"101"	"43"	"2"	"1"	"3"	"4"	"2"	"1"	"3"	"9"	"3"	"12"	"489"	"0"	"489"	""
"27"	"25"	"25"	"31"	"13"	"206"	"222"	"41"	"4"	"1"	"4"	"1"	"0"	"2"	"4"	"5"	"4"	"15"	"553"	"0"	"553"	""
"28"	"26"	"26"	"11"	"19"	"257"	"89"	"48"	"2"	"3"	"4"	"0"	"1"	"2"	"3"	"8"	"6"	"14"	"467"	"0"	"467"	""
"29"	"27"	"27"	"80"	"8"	"197"	"36"	"32"	"2"	"0"	"1"	"0"	"0"	"1"	"2"	"5"	"3"	"5"	"372"	"0"	"372"	""
"30"	"28"	"28"	"48"	"15"	"479"	"31"	"229"	"8"	"3"	"4"	"3"	"0"	"2"	"3"	"14"	"6"	"9"	"854"	"0"	"854"	""
"31"	"29"	"29"	"118"	"15"	"141"	"62"	"139"	"3"	"1"	"5"	"1"	"0"	"6"	"5"	"7"	"8"	"15"	"526"	"0"	"526"	""
"32"	"30"	"30"	"102"	"20"	"191"	"46"	"107"	"5"	"4"	"1"	"2"	"2"	"2"	"2"	"4"	"2"	"4"	"494"	"0"	"494"	""
"33"	"31"	"31"	"23"	"3"	"26"	"33"	"218"	"3"	"1"	"2"	"1"	"1"	"0"	"1"	"1"	"1"	"3"	"317"	"0"	"317"	""
"34"	"32"	"32"	"30"	"6"	"206"	"16"	"231"	"3"	"4"	"10"	"3"	"1"	"1"	"2"	"4"	"2"	"3"	"522"	"0"	"522"	""
"35"	"33"	"33"	"13"	"8"	"276"	"58"	"213"	"6"	"1"	"4"	"1"	"0"	"2"	"2"	"4"	"2"	"1"	"591"	"0"	"591"	""
"36"	"34"	"34"	"82"	"15"	"323"	"36"	"97"	"4"	"1"	"7"	"0"	"1"	"4"	"8"	"15"	"9"	"12"	"614"	"0"	"614"	""
"37"	"35"	"35"	"51"	"10"	"189"	"48"	"112"	"2"	"3"	"4"	"1"	"1"	"0"	"5"	"6"	"7"	"8"	"447"	"0"	"447"	""
"38"	"36"	"36"	"12"	"8"	"285"	"32"	"78"	"1"	"1"	"2"	"2"	"0"	"2"	"0"	"1"	"4"	"5"	"433"	"0"	"433"	""
"39"	"37"	"37"	"18"	"15"	"152"	"116"	"30"	"3"	"0"	"1"	"0"	"0"	"2"	"1"	"2"	"3"	"5"	"348"	"0"	"348"	""
"40"	"38"	"38"	"122"	"12"	"73"	"112"	"163"	"2"	"2"	"3"	"0"	"1"	"2"	"2"	"5"	"2"	"9"	"510"	"0"	"510"	""
"41"	"39"	"39"	"17"	"8"	"365"	"20"	"36"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"454"	"0"	"454"	""
