"TOTAL.NO.OF.ELECTORS.IN.93.KUDHANI.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X210265"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"1"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	""	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"2"	"1"	""	""	"185"	""	"244"	"15"	"15"	""	"0"	"2"	"3"	"4"	"2"	"4"	"2"	"4"	"1"	"5"	"18"	"15"	"2"	"15"	"1"	"45"	"2"	"0"	"0"	"1"	"585"	""	""	""
"3"	"2"	""	""	"203"	""	"6"	"173"	"4"	""	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"0"	"2"	"5"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"402"	""	""	""
"4"	"3"	""	""	"212"	""	"38"	"127"	"4"	""	"2"	"2"	"1"	"5"	"3"	"0"	"1"	"1"	"0"	"4"	"1"	"0"	"2"	"4"	"0"	"1"	"2"	"0"	"1"	"1"	"412"	""	""	""
"5"	"4"	""	""	"72"	""	"120"	"47"	"10"	""	"1"	"2"	"3"	"2"	"3"	"2"	"4"	"5"	"1"	"13"	"8"	"20"	"10"	"2"	"7"	"4"	"2"	"2"	"2"	"16"	"358"	""	""	""
"6"	"5"	""	""	"197"	""	"84"	"134"	"12"	""	"1"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"7"	"3"	"6"	"4"	"3"	"3"	"6"	"0"	"2"	"4"	"4"	"474"	""	""	""
"7"	"6"	""	""	"245"	""	"32"	"231"	"3"	""	"0"	"3"	"1"	"2"	"4"	"1"	"0"	"0"	"2"	"7"	"4"	"1"	"5"	"22"	"2"	"5"	"0"	"0"	"3"	"0"	"573"	""	""	""
"8"	"7"	""	""	"75"	""	"108"	"42"	"14"	""	"10"	"7"	"2"	"1"	"7"	"1"	"3"	"3"	"4"	"7"	"11"	"16"	"13"	"12"	"2"	"19"	"3"	"4"	"2"	"14"	"380"	""	""	""
"9"	"8"	""	""	"113"	""	"49"	"52"	"8"	""	"6"	"2"	"5"	"5"	"2"	"1"	"5"	"3"	"1"	"3"	"7"	"11"	"15"	"3"	"7"	"150"	"6"	"3"	"6"	"6"	"469"	""	""	""
"10"	"9"	""	""	"80"	""	"30"	"60"	"3"	""	"1"	"1"	"0"	"2"	"1"	"0"	"2"	"1"	"2"	"5"	"3"	"12"	"12"	"3"	"2"	"56"	"3"	"1"	"6"	"6"	"292"	""	""	""
"11"	"10"	""	""	"172"	""	"118"	"24"	"8"	""	"5"	"5"	"5"	"2"	"10"	"9"	"1"	"3"	"3"	"14"	"17"	"10"	"6"	"18"	"1"	"137"	"3"	"2"	"5"	"5"	"583"	""	""	""
"12"	"11"	""	""	"15"	""	"48"	"145"	"15"	""	"11"	"1"	"0"	"1"	"0"	"3"	"1"	"1"	"1"	"5"	"5"	"6"	"3"	"2"	"1"	"13"	"1"	"2"	"1"	"0"	"281"	""	""	""
"13"	"12"	""	""	"121"	""	"131"	"135"	"4"	""	"2"	"2"	"3"	"3"	"6"	"5"	"1"	"2"	"2"	"8"	"7"	"17"	"4"	"3"	"4"	"40"	"2"	"0"	"4"	"3"	"509"	""	""	""
"14"	"13"	""	""	"86"	""	"78"	"52"	"5"	""	"0"	"5"	"1"	"5"	"2"	"5"	"3"	"3"	"3"	"8"	"20"	"13"	"2"	"0"	"1"	"95"	"4"	"2"	"1"	"1"	"395"	""	""	""
"15"	"14"	""	""	"63"	""	"68"	"207"	"14"	""	"5"	"3"	"3"	"3"	"1"	"4"	"4"	"7"	"6"	"10"	"12"	"9"	"1"	"3"	"1"	"120"	"1"	"0"	"1"	"3"	"549"	""	""	""
"16"	"15"	""	""	"18"	""	"117"	"196"	"5"	""	"5"	"2"	"0"	"2"	"0"	"3"	"2"	"5"	"1"	"1"	"8"	"6"	"2"	"5"	"1"	"58"	"3"	"2"	"0"	"1"	"443"	""	""	""
"17"	"16"	""	""	"107"	""	"131"	"118"	"6"	""	"4"	"6"	"5"	"3"	"3"	"3"	"1"	"2"	"5"	"8"	"9"	"22"	"11"	"11"	"9"	"62"	"6"	"3"	"3"	"14"	"552"	""	""	""
"18"	"17"	""	""	"257"	""	"99"	"51"	"11"	""	"1"	"1"	"2"	"3"	"4"	"1"	"0"	"2"	"1"	"6"	"5"	"9"	"37"	"20"	"13"	"66"	"4"	"4"	"18"	"26"	"641"	""	""	""
"19"	"18"	""	""	"92"	""	"73"	"226"	"39"	""	"3"	"4"	"3"	"7"	"5"	"4"	"4"	"6"	"12"	"20"	"12"	"17"	"7"	"2"	"6"	"48"	"1"	"5"	"5"	"9"	"610"	""	""	""
"20"	"19"	""	""	"321"	""	"69"	"123"	"4"	""	"1"	"2"	"2"	"1"	"2"	"3"	"1"	"2"	"1"	"11"	"11"	"9"	"7"	"2"	"1"	"66"	"1"	"2"	"2"	"2"	"646"	""	""	""
"21"	"20"	""	""	"159"	""	"336"	"52"	"4"	""	"3"	"12"	"1"	"3"	"3"	"3"	"3"	"1"	"3"	"3"	"12"	"6"	"3"	"4"	"3"	"112"	"0"	"0"	"0"	"1"	"727"	""	""	""
"22"	"21"	""	""	"171"	""	"348"	"15"	"6"	""	"2"	"22"	"3"	"1"	"3"	"3"	"1"	"1"	"0"	"5"	"14"	"8"	"8"	"13"	"3"	"25"	"1"	"1"	"1"	"0"	"655"	""	""	""
"23"	"22"	""	""	"13"	""	"191"	"2"	"0"	""	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"19"	"0"	"1"	"0"	"1"	"230"	""	""	""
"24"	"23"	""	""	"106"	""	"297"	"145"	"15"	""	"6"	"6"	"2"	"4"	"6"	"3"	"6"	"2"	"5"	"11"	"17"	"19"	"2"	"15"	"4"	"89"	"3"	"9"	"5"	"13"	"790"	""	""	""
"25"	"24"	""	""	"93"	""	"460"	"65"	"5"	""	"3"	"6"	"3"	"2"	"2"	"3"	"1"	"1"	"2"	"3"	"2"	"4"	"5"	"12"	"2"	"15"	"3"	"0"	"0"	"4"	"696"	""	""	""
"26"	"25"	""	""	"18"	""	"175"	"115"	"30"	""	"4"	"2"	"5"	"1"	"3"	"2"	"1"	"2"	"2"	"4"	"11"	"9"	"4"	"2"	"2"	"66"	"2"	"3"	"4"	"6"	"473"	""	""	""
"27"	"26"	""	""	"211"	""	"55"	"205"	"5"	""	"21"	"0"	"1"	"2"	"2"	"1"	"0"	"1"	"2"	"4"	"0"	"3"	"4"	"1"	"3"	"13"	"2"	"1"	"5"	"5"	"547"	""	""	""
"28"	"TOTAL NO OF ELECTORS IN 93-KUDHANI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	""	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"30"	"27"	""	""	"110"	""	"74"	"61"	"5"	""	"7"	"2"	"2"	"2"	"3"	"1"	"1"	"1"	"2"	"7"	"4"	"9"	"3"	"1"	"2"	"40"	"1"	"1"	"4"	"3"	"346"	""	""	""
"31"	"28"	""	""	"213"	""	"116"	"27"	"3"	""	"1"	"3"	"2"	"5"	"6"	"4"	"1"	"3"	"6"	"17"	"19"	"38"	"4"	"1"	"1"	"4"	"0"	"1"	"0"	"5"	"480"	""	""	""
"32"	"29"	""	""	"45"	""	"16"	"310"	"1"	""	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"3"	"0"	"12"	"1"	"0"	"0"	"0"	"394"	""	""	""
"33"	"30"	""	""	"149"	""	"134"	"309"	"3"	""	"1"	"2"	"0"	"4"	"3"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"3"	"2"	"1"	"22"	"0"	"1"	"1"	"7"	"648"	""	""	""
"34"	"31"	""	""	"225"	""	"65"	"12"	"4"	""	"0"	"5"	"1"	"3"	"3"	"1"	"3"	"0"	"3"	"8"	"5"	"21"	"5"	"1"	"3"	"4"	"0"	"1"	"1"	"5"	"379"	""	""	""
"35"	"32"	""	""	"53"	""	"425"	"17"	"4"	""	"5"	"3"	"4"	"6"	"3"	"3"	"0"	"6"	"4"	"13"	"27"	"9"	"5"	"19"	"0"	"14"	"0"	"1"	"0"	"1"	"622"	""	""	""
"36"	"33"	""	""	"50"	""	"252"	"173"	"31"	""	"2"	"1"	"6"	"3"	"2"	"5"	"1"	"4"	"7"	"6"	"22"	"16"	"1"	"19"	"4"	"21"	"0"	"2"	"3"	"5"	"636"	""	""	""
"37"	"34"	""	""	"131"	""	"117"	"163"	"4"	""	"7"	"4"	"1"	"1"	"1"	"3"	"1"	"4"	"1"	"7"	"5"	"3"	"5"	"7"	"2"	"54"	"3"	"0"	"1"	"2"	"527"	""	""	""
"38"	"35"	""	""	"55"	""	"125"	"99"	"2"	""	"0"	"2"	"0"	"0"	"1"	"1"	"2"	"3"	"2"	"0"	"3"	"4"	"3"	"13"	"0"	"134"	"3"	"3"	"2"	"1"	"458"	""	""	""
"39"	"36"	""	""	"29"	""	"143"	"180"	"3"	""	"0"	"2"	"0"	"2"	"3"	"5"	"3"	"3"	"3"	"0"	"6"	"6"	"1"	"6"	"0"	"16"	"3"	"0"	"1"	"3"	"418"	""	""	""
"40"	"37"	""	""	"11"	""	"134"	"16"	"6"	""	"2"	"3"	"2"	"0"	"0"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"7"	"3"	"78"	"0"	"1"	"0"	"1"	"274"	""	""	""
"41"	"38"	""	""	"11"	""	"73"	"157"	"4"	""	"1"	"1"	"0"	"3"	"3"	"2"	"1"	"0"	"0"	"4"	"2"	"9"	"1"	"5"	"0"	"11"	"0"	"1"	"0"	"1"	"290"	""	""	""
"42"	"39"	""	""	"31"	""	"108"	"218"	"3"	""	"0"	"2"	"1"	"2"	"2"	"4"	"0"	"0"	"0"	"6"	"7"	"5"	"2"	"1"	"0"	"10"	"0"	"0"	"0"	"2"	"404"	""	""	""
"43"	"40"	""	""	"148"	""	"170"	"65"	"4"	""	"5"	"2"	"3"	"10"	"5"	"3"	"2"	"2"	"6"	"7"	"24"	"20"	"3"	"5"	"2"	"101"	"4"	"4"	"1"	"3"	"599"	""	""	""
"44"	"41"	""	""	"71"	""	"61"	"401"	"23"	""	"6"	"3"	"3"	"1"	"2"	"1"	"1"	"2"	"2"	"4"	"0"	"1"	"8"	"8"	"3"	"10"	"2"	"1"	"2"	"5"	"621"	""	""	""
"45"	"42"	""	""	"139"	""	"229"	"148"	"6"	""	"0"	"4"	"0"	"0"	"3"	"2"	"0"	"0"	"1"	"6"	"6"	"1"	"6"	"6"	"0"	"30"	"0"	"3"	"4"	"2"	"596"	""	""	""
"46"	"43"	""	""	"47"	""	"298"	"19"	"2"	""	"1"	"5"	"3"	"2"	"1"	"6"	"2"	"4"	"4"	"8"	"19"	"24"	"5"	"22"	"10"	"56"	"3"	"2"	"7"	"7"	"557"	""	""	""
"47"	"44"	""	""	"53"	""	"215"	"40"	"3"	""	"0"	"3"	"2"	"1"	"0"	"0"	"1"	"1"	"2"	"5"	"7"	"6"	"9"	"18"	"6"	"31"	"1"	"2"	"2"	"6"	"414"	""	""	""
