"Candidate.Name.U.2192..Booth.No.U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"1"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"2"	"1"	"32"	"118"	"154"	"33"	"1"	"0"	"1"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"2"	"4"	"2"	"2"	"355"	"0"	"355"	"0"
"3"	"2"	"10"	"22"	"253"	"6"	"6"	"0"	"5"	"2"	"2"	"2"	"2"	"5"	"2"	"5"	"3"	"10"	"5"	"20"	"360"	"0"	"360"	"0"
"4"	"3"	"13"	"66"	"212"	"52"	"1"	"2"	"0"	"1"	"2"	"0"	"0"	"2"	"0"	"1"	"2"	"3"	"2"	"1"	"360"	"0"	"360"	"0"
"5"	"4"	"3"	"69"	"273"	"26"	"6"	"2"	"5"	"1"	"6"	"6"	"3"	"3"	"4"	"6"	"4"	"19"	"2"	"9"	"447"	"0"	"447"	"0"
"6"	"5"	"6"	"140"	"185"	"24"	"2"	"3"	"1"	"0"	"2"	"7"	"2"	"1"	"3"	"4"	"10"	"6"	"1"	"14"	"411"	"0"	"411"	"0"
"7"	"6"	"3"	"216"	"245"	"44"	"4"	"3"	"2"	"3"	"6"	"8"	"4"	"3"	"1"	"9"	"6"	"28"	"0"	"0"	"585"	"0"	"585"	"0"
"8"	"7"	"6"	"37"	"398"	"24"	"4"	"1"	"2"	"2"	"7"	"2"	"7"	"6"	"9"	"26"	"12"	"100"	"3"	"9"	"655"	"0"	"655"	"0"
"9"	"8"	"25"	"206"	"232"	"9"	"0"	"3"	"0"	"2"	"4"	"2"	"1"	"0"	"0"	"4"	"6"	"10"	"1"	"10"	"515"	"0"	"515"	"0"
"10"	"9"	"55"	"190"	"82"	"5"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"4"	"3"	"4"	"5"	"353"	"0"	"353"	"0"
