"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 31-PATLIPUTRA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-243655"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"10"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"11"	"1"	"244"	"51"	"7"	"16"	"1"	"2"	"1"	"1"	"1"	"10"	"2"	"50"	"9"	"4"	"2"	"19"	"420"	"0"	"420"	"0"
"12"	"2"	"54"	"236"	"10"	"3"	"2"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"3"	"2"	"6"	"8"	"328"	"0"	"328"	"0"
"13"	"3"	"40"	"274"	"16"	"2"	"2"	"3"	"2"	"0"	"1"	"4"	"0"	"6"	"3"	"8"	"29"	"22"	"412"	"0"	"412"	"0"
"14"	"4"	"88"	"203"	"8"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"1"	"309"	"0"	"309"	"0"
"15"	"5"	"22"	"322"	"6"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"0"	"8"	"0"	"0"	"6"	"1"	"370"	"0"	"370"	"0"
"16"	"6"	"10"	"472"	"12"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"496"	"0"	"496"	"0"
"17"	"7"	"18"	"253"	"39"	"3"	"0"	"1"	"0"	"1"	"1"	"3"	"1"	"2"	"0"	"0"	"3"	"1"	"326"	"0"	"326"	"0"
"18"	"8"	"26"	"408"	"11"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"3"	"19"	"10"	"493"	"0"	"493"	"0"
"19"	"9"	"10"	"343"	"22"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"2"	"9"	"4"	"398"	"0"	"398"	"0"
