"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-291290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 184-PATNA SAHIB"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"10"	""	"Vijay Kumar"	"Shatrughan Sinha"	"Shekhar Suman"	"On Masumi"	"Dr. Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""
"11"	"1"	"62"	"109"	"32"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"0"	"205"	"0"
"12"	"2"	"138"	"206"	"116"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"470"	"0"	"470"	"0"
"13"	"3"	"115"	"2"	"63"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"0"	"181"	"0"
"14"	"4"	"153"	"123"	"135"	"0"	"3"	"1"	"0"	"0"	"0"	"2"	"2"	"0"	"1"	"1"	"0"	"1"	"422"	"0"	"422"	"0"
"15"	"5"	"89"	"252"	"31"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"2"	"2"	"10"	"2"	"1"	"6"	"400"	"0"	"400"	"0"
"16"	"6"	"193"	"42"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"276"	"0"	"276"	"0"
"17"	"7"	"157"	"87"	"75"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"327"	"0"	"327"	"0"
"18"	"8"	"197"	"9"	"112"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"327"	"0"	"327"	"0"
"19"	"9"	"246"	"6"	"114"	"5"	"4"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"379"	"0"	"379"	"0"
"20"	"10"	"117"	"73"	"77"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"274"	"0"	"274"	"0"
"21"	"11"	"239"	"11"	"117"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"373"	"0"	"373"	"0"
"22"	"12"	"199"	"70"	"87"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"359"	"0"	"359"	"0"
"23"	"13"	"80"	"244"	"53"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"384"	"0"	"384"	"0"
"24"	"14"	"100"	"217"	"19"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"5"	"1"	"9"	"2"	"6"	"12"	"374"	"0"	"374"	"0"
"25"	"Total :-"	"2085"	"1451"	"1067"	"12"	"13"	"10"	"3"	"3"	"6"	"8"	"12"	"6"	"24"	"8"	"10"	"33"	"4751"	"0"	"4751"	"0"
"26"	"Till Last Total :-"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
