"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 8---SUPAUL CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ParliamentConstituency :8---SUPAUL                                                                                                                     Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :45---Chhatarpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of valid votes caste in favour of                                                                              Total Valid Votes-125412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRASAD
MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"8"	"1"	"8"	"7"	"67"	"314"	"6"	"72"	"5"	"1"	"0"	"0"	"8"	"0"	"10"	"2"	"2"	"3"	"505"
"9"	"2"	"2"	"7"	"47"	"209"	"11"	"70"	"9"	"1"	"3"	"0"	"3"	"1"	"10"	"0"	"1"	"7"	"381"
"10"	"3"	"1"	"1"	"49"	"100"	"1"	"31"	"4"	"0"	"3"	"0"	"1"	"0"	"3"	"0"	"0"	"4"	"198"
"11"	"4"	"3"	"83"	"145"	"9"	"34"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"2"	"1"	"284"
"12"	"5"	"5"	"4"	"23"	"300"	"20"	"59"	"2"	"4"	"2"	"1"	"2"	"1"	"7"	"3"	"3"	"3"	"439"
"13"	"6"	"19"	"26"	"160"	"384"	"171"	"71"	"11"	"6"	"4"	"2"	"4"	"14"	"11"	"2"	"0"	"3"	"888"
"14"	"7"	"16"	"7"	"157"	"328"	"87"	"82"	"4"	"2"	"7"	"5"	"11"	"4"	"11"	"3"	"3"	"6"	"733"
"15"	"8"	"10"	"7"	"36"	"384"	"107"	"40"	"7"	"1"	"3"	"2"	"8"	"11"	"11"	"3"	"3"	"4"	"637"
"16"	"9"	"8"	"1"	"5"	"163"	"3"	"31"	"0"	"0"	"1"	"0"	"8"	"2"	"1"	"0"	"0"	"1"	"224"
"17"	"10"	"2"	"2"	"50"	"216"	"10"	"12"	"1"	"1"	"1"	"2"	"0"	"3"	"8"	"0"	"6"	"3"	"317"
"18"	"11"	"17"	"8"	"82"	"306"	"9"	"35"	"4"	"4"	"3"	"2"	"8"	"3"	"7"	"0"	"1"	"4"	"493"
"19"	"12"	"6"	"1"	"16"	"413"	"4"	"31"	"1"	"0"	"1"	"2"	"15"	"0"	"2"	"1"	"0"	"0"	"493"
"20"	"13"	"8"	"2"	"109"	"267"	"218"	"52"	"14"	"2"	"10"	"2"	"6"	"33"	"21"	"5"	"7"	"18"	"774"
"21"	"14"	"7"	"7"	"40"	"269"	"195"	"37"	"5"	"3"	"5"	"4"	"14"	"21"	"13"	"1"	"0"	"5"	"626"
"22"	"15"	"2"	"4"	"60"	"170"	"61"	"62"	"6"	"1"	"0"	"1"	"8"	"18"	"8"	"1"	"3"	"4"	"409"
"23"	"16"	"1"	"1"	"85"	"129"	"6"	"44"	"1"	"1"	"2"	"1"	"3"	"3"	"2"	"1"	"0"	"6"	"286"
"24"	"17"	"5"	"2"	"122"	"212"	"44"	"61"	"1"	"3"	"0"	"0"	"5"	"1"	"2"	"0"	"0"	"5"	"463"
"25"	"18"	"6"	"4"	"114"	"510"	"20"	"77"	"3"	"4"	"2"	"4"	"16"	"7"	"19"	"3"	"6"	"6"	"801"
"26"	"19"	"5"	"5"	"65"	"353"	"31"	"109"	"5"	"2"	"0"	"2"	"47"	"4"	"13"	"2"	"1"	"2"	"646"
"27"	"20"	"5"	"3"	"89"	"409"	"11"	"80"	"5"	"0"	"1"	"2"	"38"	"3"	"3"	"1"	"1"	"2"	"653"
"28"	"21"	"9"	"8"	"380"	"243"	"20"	"33"	"3"	"1"	"2"	"0"	"7"	"3"	"1"	"4"	"1"	"2"	"717"
"29"	"22"	"5"	"5"	"270"	"210"	"43"	"61"	"7"	"1"	"9"	"4"	"27"	"5"	"6"	"12"	"3"	"6"	"674"
"30"	"23"	"4"	"2"	"35"	"140"	"5"	"34"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"2"	"226"
"31"	"24"	"4"	"6"	"94"	"259"	"73"	"67"	"1"	"3"	"1"	"1"	"7"	"10"	"11"	"1"	"0"	"3"	"541"
"32"	"25"	"13"	"5"	"65"	"562"	"89"	"90"	"5"	"4"	"5"	"4"	"4"	"19"	"13"	"6"	"6"	"6"	"896"
"33"	"26"	"21"	"14"	"58"	"386"	"231"	"97"	"12"	"8"	"9"	"0"	"6"	"23"	"4"	"1"	"2"	"5"	"877"
"34"	"27"	"19"	"9"	"189"	"266"	"79"	"74"	"11"	"6"	"2"	"1"	"14"	"8"	"4"	"6"	"3"	"7"	"698"
"35"	"28"	"20"	"11"	"116"	"509"	"164"	"69"	"9"	"3"	"7"	"3"	"8"	"13"	"8"	"6"	"1"	"13"	"960"
"36"	"29"	"8"	"7"	"38"	"504"	"140"	"52"	"10"	"2"	"3"	"0"	"11"	"10"	"14"	"3"	"0"	"3"	"805"
"37"	"30"	"7"	"2"	"71"	"314"	"41"	"37"	"4"	"1"	"2"	"4"	"7"	"5"	"5"	"2"	"0"	"2"	"504"
"38"	"31"	"6"	"3"	"14"	"189"	"170"	"31"	"5"	"5"	"2"	"1"	"2"	"11"	"6"	"2"	"1"	"3"	"451"
"39"	"32"	"13"	"5"	"321"	"51"	"58"	"5"	"5"	"0"	"2"	"3"	"3"	"3"	"5"	"11"	"3"	"5"	"493"
