"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"ParliamentConstituency :8---SUPAUL                                                                                                                                                                                                                                            Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Assembly Constituency :72---Singheshwar(sc)                                                                                                                                                                                                                               No of Voters :235237"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total Valid Votes-125342"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN KUMAR"	"SURYA NARAYAN YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR CHOUDHARY"	"SURESH PRASAD MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"TOTAL"
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"6"	"1"	"7"	"6"	"79"	"421"	"51"	"55"	"10"	"8"	"3"	"3"	"4"	"7"	"2"	"1"	"1"	"3"	"661"
"7"	"2"	"22"	"2"	"53"	"425"	"8"	"14"	"2"	"4"	"3"	"0"	"0"	"0"	"4"	"5"	"4"	"6"	"552"
"8"	"3"	"6"	"1"	"140"	"192"	"12"	"33"	"7"	"3"	"2"	"2"	"3"	"3"	"3"	"2"	"1"	"1"	"411"
"9"	"4"	"8"	"1"	"58"	"307"	"12"	"19"	"7"	"1"	"3"	"0"	"0"	"3"	"4"	"2"	"1"	"0"	"426"
"10"	"5"	"9"	"3"	"80"	"242"	"9"	"30"	"24"	"1"	"4"	"0"	"3"	"2"	"3"	"0"	"0"	"0"	"410"
"11"	"6"	"8"	"1"	"53"	"271"	"22"	"22"	"3"	"2"	"3"	"1"	"2"	"2"	"3"	"2"	"0"	"6"	"401"
"12"	"7"	"24"	"4"	"71"	"462"	"78"	"56"	"5"	"0"	"1"	"3"	"2"	"7"	"10"	"1"	"3"	"8"	"735"
"13"	"8"	"8"	"4"	"48"	"238"	"28"	"26"	"1"	"2"	"0"	"2"	"2"	"1"	"2"	"11"	"0"	"4"	"377"
"14"	"9"	"2"	"3"	"30"	"135"	"75"	"10"	"3"	"0"	"0"	"3"	"4"	"14"	"5"	"0"	"2"	"12"	"298"
"15"	"10"	"12"	"3"	"79"	"330"	"38"	"49"	"9"	"2"	"2"	"0"	"2"	"7"	"7"	"8"	"1"	"11"	"560"
"16"	"11"	"7"	"0"	"80"	"274"	"42"	"23"	"11"	"0"	"1"	"0"	"2"	"6"	"10"	"9"	"2"	"13"	"480"
"17"	"12"	"19"	"3"	"109"	"298"	"68"	"48"	"6"	"3"	"1"	"1"	"6"	"12"	"9"	"1"	"5"	"15"	"604"
"18"	"13"	"7"	"2"	"78"	"262"	"9"	"33"	"5"	"3"	"5"	"1"	"1"	"2"	"8"	"2"	"1"	"3"	"422"
"19"	"14"	"11"	"2"	"13"	"235"	"4"	"31"	"2"	"1"	"1"	"1"	"2"	"0"	"2"	"0"	"0"	"2"	"307"
"20"	"15"	"7"	"2"	"74"	"223"	"32"	"56"	"5"	"2"	"2"	"3"	"3"	"10"	"17"	"7"	"4"	"19"	"466"
"21"	"16"	"7"	"2"	"85"	"325"	"15"	"20"	"1"	"3"	"2"	"0"	"1"	"2"	"3"	"4"	"1"	"8"	"479"
"22"	"17"	"10"	"4"	"176"	"180"	"8"	"23"	"6"	"6"	"4"	"5"	"0"	"3"	"8"	"6"	"1"	"10"	"450"
"23"	"18"	"6"	"1"	"70"	"244"	"5"	"16"	"5"	"5"	"3"	"0"	"0"	"4"	"10"	"2"	"0"	"6"	"377"
"24"	"19"	"16"	"12"	"90"	"263"	"54"	"38"	"8"	"1"	"3"	"0"	"2"	"2"	"5"	"0"	"3"	"4"	"501"
"25"	"20"	"13"	"3"	"55"	"552"	"16"	"64"	"10"	"1"	"2"	"0"	"4"	"0"	"4"	"2"	"2"	"5"	"733"
"26"	"21"	"9"	"12"	"269"	"103"	"85"	"20"	"5"	"3"	"6"	"3"	"2"	"7"	"7"	"5"	"6"	"8"	"550"
"27"	"22"	"9"	"10"	"56"	"268"	"299"	"24"	"5"	"3"	"11"	"4"	"8"	"17"	"2"	"2"	"1"	"5"	"724"
"28"	"23"	"6"	"2"	"13"	"154"	"114"	"16"	"7"	"2"	"7"	"1"	"5"	"8"	"7"	"4"	"4"	"7"	"357"
"29"	"24"	"3"	"56"	"141"	"197"	"158"	"54"	"13"	"7"	"8"	"9"	"11"	"12"	"8"	"7"	"5"	"31"	"720"
"30"	"25"	"7"	"31"	"151"	"135"	"109"	"57"	"6"	"4"	"5"	"3"	"5"	"7"	"5"	"1"	"8"	"18"	"552"
"31"	"26"	"1"	"11"	"70"	"67"	"141"	"17"	"8"	"2"	"6"	"3"	"2"	"15"	"6"	"3"	"3"	"14"	"369"
"32"	"27"	"24"	"13"	"128"	"442"	"53"	"23"	"8"	"3"	"9"	"2"	"7"	"3"	"4"	"2"	"1"	"6"	"728"
"33"	"28"	"8"	"2"	"99"	"223"	"134"	"42"	"12"	"8"	"9"	"2"	"6"	"18"	"8"	"1"	"10"	"20"	"602"
"34"	"29"	"12"	"12"	"82"	"156"	"150"	"35"	"7"	"4"	"12"	"1"	"5"	"12"	"7"	"3"	"3"	"5"	"506"
"35"	"30"	"30"	"12"	"64"	"495"	"128"	"36"	"4"	"2"	"5"	"1"	"2"	"8"	"1"	"1"	"1"	"5"	"795"
"36"	"31"	"22"	"8"	"101"	"295"	"107"	"60"	"4"	"2"	"4"	"2"	"5"	"5"	"6"	"1"	"2"	"5"	"629"
"37"	"32"	"21"	"5"	"273"	"107"	"60"	"18"	"1"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"4"	"498"
"38"	"33"	"11"	"4"	"125"	"299"	"26"	"30"	"3"	"2"	"2"	"2"	"0"	"0"	"10"	"2"	"3"	"8"	"527"
"39"	"34"	"19"	"10"	"123"	"240"	"169"	"60"	"18"	"4"	"3"	"5"	"2"	"9"	"4"	"4"	"2"	"13"	"685"
"40"	"35"	"2"	"3"	"60"	"412"	"6"	"57"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	"1"	"1"	"549"
